Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore
JJ,1603852025632,3,17815,17316,53447,0.0,0,0,0,6321,1,SUCCESS,53447
flatearth,1604022145716,3,18824,18411,56472,0.0,0,0,0,2,2,SUCCESS,56472
ChihYu-NCTU-CGI,1603909207162,3,18859,18403,56579,0.0,0,0,0,3675,3,SUCCESS,56579
McMurphy,1603906402932,3,18878,18190,56635,0.0,0,0,0,1071,4,SUCCESS,56635
dartjason,1602624929660,3,20031,19875,60093,0.0,0,0,0,704,5,SUCCESS,60093
Duckworth,1602637867292,3,20527,20420,61581,0.0,0,0,0,1726,6,SUCCESS,61581
Ernesto,1603989367368,3,21066,20588,63200,0.0,0,0,0,3954,7,SUCCESS,63200
JPMC-Pirates,1603407990961,3,21916,21406,65750,0.0,0,0,0,444,8,SUCCESS,65750
ep-dr-racer1,1603649049307,3,22055,21206,66166,0.0,0,0,0,2017,9,SUCCESS,66166
PolishThunder,1603362569245,3,22062,21309,66188,0.0,0,0,0,6463,10,SUCCESS,66188
blueberrypie,1604087434395,3,22078,21277,66236,0.0,0,0,0,1428,11,SUCCESS,66236
JonathanRacer,1603944158221,3,22144,21584,66434,0.0,0,0,0,1613,12,SUCCESS,66434
CGS-LargeLattice,1603916800517,3,22726,22322,68178,0.0,0,0,0,225,13,SUCCESS,68178
kimmizian,1603541158553,3,23479,23062,70438,0.0,0,0,0,4828,14,SUCCESS,70438
skoota,1604042880977,3,23828,23583,71485,0.0,0,0,0,952,15,SUCCESS,71485
S-P-,1602899857536,3,24872,24195,74616,0.0,0,0,0,86,16,SUCCESS,74616
Tyler1,1602669441319,3,24979,24531,74937,0.0,0,0,0,4,17,SUCCESS,74937
Hyderabad-3-Vega,1604046263346,3,25038,24267,75115,0.0,0,0,0,73,18,SUCCESS,75115
RogerRabbit,1603736262613,3,25312,20732,75938,0.6666666666666666,0,2,2,5,19,SUCCESS,75938
ABaykov,1603719926499,3,25642,23732,76927,0.3333333333333333,0,1,1,123,20,SUCCESS,76927
nalbam-me,1602908671168,3,25678,25146,77036,0.0,0,0,0,547,21,SUCCESS,77036
MiLKB-DBS,1604114173375,3,26141,21804,78423,0.6666666666666666,0,2,2,50,22,SUCCESS,78423
UncleGK-DBS,1603904326181,3,26171,25667,78514,0.0,0,0,0,91,23,SUCCESS,78514
Arcjude,1603917758315,3,26909,26561,80728,0.0,0,0,0,456,24,SUCCESS,80728
VaughanDiesel,1604158386335,3,27226,26925,81680,0.0,0,0,0,14,25,SUCCESS,81680
Matt,1602768326328,3,27248,26423,81745,0.0,0,0,0,303,26,SUCCESS,81745
RichardFan,1602426038921,3,27761,26996,83285,0.0,0,0,0,44,27,SUCCESS,83285
Yxcas-DBS,1601600593313,3,27885,27419,83657,0.0,0,0,0,3,28,SUCCESS,83657
Mungi,1604040053044,3,27993,26939,83981,0.0,0,0,0,73,29,SUCCESS,83981
Jochem,1604171648792,3,28347,24467,85043,0.6666666666666666,0,2,2,35,30,SUCCESS,85043
Tyler1-KMITL,1604187937937,3,28442,22671,85326,1.0,0,3,3,8,31,SUCCESS,85326
Jianlong-DBS,1602110161111,3,28962,27739,86887,0.0,0,0,0,1704,32,SUCCESS,86887
WaveLabCup-test,1604111511091,3,29755,27276,89266,0.3333333333333333,0,1,1,58,33,SUCCESS,89266
TienHoang-DBS,1601650673711,3,30129,27684,90387,0.3333333333333333,0,1,1,5,34,SUCCESS,90387
Airborne,1603385828457,3,30529,29742,91587,0.0,0,0,0,4,35,SUCCESS,91587
SK-DENSO,1602569037475,3,30627,30179,91883,0.0,0,0,0,49,36,SUCCESS,91883
Mentaiko-DevelopersIO,1603645566194,3,30911,29907,92734,0.0,0,0,0,2207,37,SUCCESS,92734
Yeti,1603788521664,3,31053,30556,93161,0.0,0,0,0,7,38,SUCCESS,93161
Tyler97-KMITL,1601969132472,3,31189,25336,93567,1.0,0,3,3,2,39,SUCCESS,93567
Kire,1603818357017,3,31369,30672,94108,0.0,0,0,0,54,40,SUCCESS,94108
tranvietdung-DBS,1602572478054,3,32078,31581,96236,0.0,0,0,0,2,41,SUCCESS,96236
BoogieTimeProductions,1603895201887,3,32270,30670,96812,0.0,0,0,0,1542,42,SUCCESS,96812
London-1-Racers,1604140829322,3,32754,28940,98264,0.6666666666666666,0,2,2,141,43,SUCCESS,98264
Test1-2,1603943661006,3,33020,32125,99061,0.0,0,0,0,20,44,SUCCESS,99061
Messi,1603945680722,3,33054,31737,99162,0.0,0,0,0,12,45,SUCCESS,99162
