Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore
ChihYu-NCTU-CGI,1606868163454,1,23128.0,23128.0,177321.0,1.5,6,3,9,0,1,SUCCESS,23128
PoChun-NCTU-CGI,1606842801492,1,24299.0,24299.0,178288.0,1.6666666666666667,3,7,10,0,2,SUCCESS,24299
ShaoXiong-NCTU-CGI,1606844754504,1,24910.0,24910.0,175494.0,1.3333333333333333,2,6,8,0,3,SUCCESS,24910
Kuei-NCTU-CGI,1606843483375,1,26711.0,26711.0,175554.0,1.3333333333333333,4,4,8,0,4,SUCCESS,26711
Fumiaki,1606869376488,1,28948.0,28948.0,28948.0,0.0,0,0,0,0,5,SUCCESS,28948
Sola-DNPds,1606866875488,1,42524.0,42524.0,166586.0,4.0,6,6,12,0,6,SUCCESS,42524
gigi-DNPds,1606864680969,1,46568.0,46568.0,127144.0,6.5,9,4,13,0,7,SUCCESS,46568
Penguin-DNPds,1606870107568,1,53468.0,53468.0,115763.0,6.0,12,0,12,0,8,SUCCESS,53468
Granville777,1606868701782,1,54414.0,54414.0,170205.0,13.5,24,3,27,0,9,SUCCESS,54414
Mentaiko-DevelopersIO,1606867870318,1,126200.0,126200.0,126200.0,25.0,17,8,25,0,10,SUCCESS,126200
MING-CHUN,1606819273307,1,131513.0,131513.0,131513.0,18.0,18,0,18,0,11,SUCCESS,131513
onlythree,1606756152137,0,,,,0.0,0,0,0,0,12,SUCCESS,9223372036854775732
hiroisojp,1606866259522,0,,,,0.0,0,0,0,0,13,SUCCESS,9223372036854775769
