Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore
Kalky,1614587539566,3,46614,42730,139844,1.6666666666666667,0,5,5,1,1,SUCCESS,139844
NowSomeDonkeyCar,1614590961844,3,55575,45001,166727,4.0,0,12,12,8,2,SUCCESS,166727
GoodmanKR,1614585105343,3,56314,40072,168944,4.0,0,12,12,23,3,SUCCESS,168944
Heisenberg,1614564865681,3,63099,60566,189299,0.6666666666666666,0,2,2,1,4,SUCCESS,189299
funny,1614582927969,3,68906,65052,206719,1.0,0,3,3,0,5,SUCCESS,206719
TechGenius,1614591271767,3,86816,84342,260449,1.3333333333333333,0,4,4,0,6,SUCCESS,260449
CPTest,1614576637324,3,93804,91425,281413,0.0,0,0,0,0,7,SUCCESS,281413
Dharani1,1614567227623,3,94853,90202,284561,9.666666666666666,0,29,29,0,8,SUCCESS,284561
Weaver,1614594673986,3,103614,97334,310842,1.3333333333333333,0,4,4,2,9,SUCCESS,310842
DR-1,1614588653474,3,104970,85636,314911,11.666666666666666,0,35,35,1,10,SUCCESS,314911
MariusAndersen,1614594600699,3,105781,94939,317345,11.0,0,33,33,0,11,SUCCESS,317345
AskJag07,1614588122875,3,111187,105658,333562,3.6666666666666665,0,11,11,1,12,SUCCESS,333562
amol-league,1614580683532,3,114203,110148,342611,5.333333333333333,0,16,16,1,13,SUCCESS,342611
GregRacing,1614580643220,3,125120,120030,375360,10.0,0,30,30,0,14,SUCCESS,375360
ConnorSutton-01,1614584551571,3,133119,127392,399357,14.333333333333334,0,43,43,0,15,SUCCESS,399357
dsh01,1614574201367,3,136236,132800,408710,1.0,0,3,3,2,16,SUCCESS,408710
DH,1614571274580,3,139037,126724,417111,17.333333333333332,0,52,52,0,17,SUCCESS,417111
2021PreSeason-SmartModel24,1614581089552,3,149183,134421,447550,12.666666666666666,0,38,38,0,18,SUCCESS,447550
RCube,1614575327912,3,159032,132039,477098,12.0,0,36,36,0,19,SUCCESS,477098
Priyal318,1614573940259,3,180667,156210,542002,13.333333333333334,0,40,40,1,20,SUCCESS,542002
KeisukeKondo,1614580238691,3,206772,197513,620317,30.666666666666668,0,92,92,6,21,SUCCESS,620317
Amaranth,1614574923876,3,295816,291074,887450,22.666666666666668,0,68,68,0,22,SUCCESS,887450
NationalDayniehongbo,1614586476254,3,328203,313253,984609,50.666666666666664,0,152,152,0,23,SUCCESS,984609
