Alias,SubmissionTime,AvgLapTime,Rank,LeaderboardSubmissionStatusType,RankingScore
mc,1556371245181,11459,1,SUCCESS,11459
Nick-K,1555839816248,11486,2,SUCCESS,11486
kazuyaM,1556240653059,11547,3,SUCCESS,11547
Nick,1555674216000,11555,4,SUCCESS,11555
BartCallant,1556477549561,11677,5,SUCCESS,11677
Fumiaki,1556339466150,11704,6,SUCCESS,11704
vinas,1555963248395,11764,7,SUCCESS,11764
OBAKE,1556530028874,11775,8,SUCCESS,11775
cheungt,1556387414682,11811,9,SUCCESS,11811
JRacer,1555967514109,11882,10,SUCCESS,11882
bart,1555847739062,11990,11,SUCCESS,11990
Koopa-Haziq,1556460268269,12022,12,SUCCESS,12022
Chuongster,1556549345111,12060,13,SUCCESS,12060
fail-man,1555690283086,12202,14,SUCCESS,12202
Lars,1556501855365,12295,15,SUCCESS,12295
MR,1556030363317,12418,16,SUCCESS,12418
yamane3ch,1556417552383,12837,17,SUCCESS,12837
KoopaLoopa,1556345795582,13001,18,SUCCESS,13001
HY-DNP,1556262394467,13168,19,SUCCESS,13168
TONY,1556004926804,13261,20,SUCCESS,13261
del,1556513191922,13924,21,SUCCESS,13924
Gael,1556017071964,14563,22,SUCCESS,14563
F1Spirit,1555978059473,14582,23,SUCCESS,14582
kt,1555587998753,15304,24,SUCCESS,15304
YONGHANKIM-HCC,1555691028715,15801,25,SUCCESS,15801
TCO-Z,1556362266339,16120,26,SUCCESS,16120
Gael-TD,1556309251074,16178,27,SUCCESS,16178
rkom,1556115461292,16942,28,SUCCESS,16942
AdoRacer,1555822820552,17028,29,SUCCESS,17028
Tom,1556104416468,17050,30,SUCCESS,17050
Hyeonwoo-hcc,1555554801124,17103,31,SUCCESS,17103
RL-Nuvolari,1556298786049,17312,32,SUCCESS,17312
cml,1556517096841,17909,33,SUCCESS,17909
jschwenn,1556367620691,18139,34,SUCCESS,18139
AndyMilne,1556237845613,18270,35,SUCCESS,18270
pre-racer,1555979675262,18409,36,SUCCESS,18409
AiiA-Team,1556539010418,18427,37,SUCCESS,18427
onu-racer,1555855313703,18432,38,SUCCESS,18432
nalbam-me,1556210630625,18563,39,SUCCESS,18563
mura,1556263224869,18677,40,SUCCESS,18677
aaronwalker,1556283818382,18755,41,SUCCESS,18755
CmRacer3,1556347095639,18864,42,SUCCESS,18864
MattC,1556542042673,18874,43,SUCCESS,18874
TCO-Z2,1556362774711,18880,44,SUCCESS,18880
20190417,1555551412152,18897,45,SUCCESS,18897
nalbam,1556530611760,18921,46,SUCCESS,18921
DrunkCar,1556358740099,19237,47,SUCCESS,19237
