Alias,SubmissionTime,AvgLapTime,Rank,LeaderboardSubmissionStatusType,RankingScore
Fumiaki,1561354638532,10312,1,SUCCESS,10312
Karl-NAB,1560887971400,10609,2,SUCCESS,10609
kimwooglae,1561093436296,10639,3,SUCCESS,10639
think,1561849520536,11091,4,SUCCESS,11091
kito-DNPds,1561954969122,11120,5,SUCCESS,11120
Sola-DNPds,1561959105901,11167,6,SUCCESS,11167
maeda-ai,1561116183111,11245,7,SUCCESS,11245
nero-DNPds,1560237763048,11607,8,SUCCESS,11607
PGS-Tomasz-Panek,1561795189919,11706,9,SUCCESS,11706
Breadcentric,1561953661081,11876,10,SUCCESS,11876
hiroisojp,1561947507312,12124,11,SUCCESS,12124
RichardFan,1561619440229,12154,12,SUCCESS,12154
Jochem,1561632748371,12243,13,SUCCESS,12243
T-Matsu,1561941135958,12468,14,SUCCESS,12468
Lars,1561811976675,12561,15,SUCCESS,12561
leo-DNPds,1560389014465,12655,16,SUCCESS,12655
Jouni-Cybercom,1560323449292,12706,17,SUCCESS,12706
KR-seren,1560909301820,12720,18,SUCCESS,12720
hayakawa-ULS,1561352575493,12762,19,SUCCESS,12762
Aiis-DNP,1561721857113,12763,20,SUCCESS,12763
nalbam-me,1561619598601,12937,21,SUCCESS,12937
DANKracer,1561646597608,13146,22,SUCCESS,13146
Etaggel,1561746481469,13162,23,SUCCESS,13162
ABaykov,1561461396458,13260,24,SUCCESS,13260
t-maru078,1560061895292,13324,25,SUCCESS,13324
mogamin,1561037698623,13359,26,SUCCESS,13359
JasonLian,1561953433462,13494,27,SUCCESS,13494
ICBart,1559714738962,13544,28,SUCCESS,13544
hyeonwoo,1560178571235,13865,29,SUCCESS,13865
NSD,1561297948023,13942,30,SUCCESS,13942
Cartral,1561176124847,14285,31,SUCCESS,14285
SF,1561506602899,14363,32,SUCCESS,14363
Floppy-Driver,1559745171152,14391,33,SUCCESS,14391
TonyJ,1560277754062,14396,34,SUCCESS,14396
KJH,1560432246295,14450,35,SUCCESS,14450
JKY-JB1,1561709442339,14540,36,SUCCESS,14540
nalbam,1559779565284,14555,37,SUCCESS,14555
yojio,1561505644917,14595,38,SUCCESS,14595
BespinRacer,1560208842845,14597,39,SUCCESS,14597
MrMo,1561958174660,14928,40,SUCCESS,14928
Rokki,1559814729580,14935,41,SUCCESS,14935
yuki-h,1561346717221,14944,42,SUCCESS,14944
akari-DevelopersIO,1561962579671,14947,43,SUCCESS,14947
ECMC,1561397375528,14968,44,SUCCESS,14968
YiLunLi,1561887147285,15082,45,SUCCESS,15082
funakisu,1561646005210,15254,46,SUCCESS,15254
CharlieB,1559949578209,15274,47,SUCCESS,15274
2edgy,1561604409864,15448,48,SUCCESS,15448
Kire,1561502782267,15600,49,SUCCESS,15600
hikarim-ULS,1560643702207,15629,50,SUCCESS,15629
Jonas-Cybercom,1560450751413,15787,51,SUCCESS,15787
Robin-Castro,1561907479448,15836,52,SUCCESS,15836
Fluffy-Kittens,1560453820763,15941,53,SUCCESS,15941
BlackBookCoop,1560827014228,15950,54,SUCCESS,15950
ELO-Kingfisher,1561703469277,16053,55,SUCCESS,16053
GWP,1559770692709,16264,56,SUCCESS,16264
HarveyBC,1560271827437,16412,57,SUCCESS,16412
zurit-v0,1560948811687,16421,58,SUCCESS,16421
CELI-T1,1560510760478,16435,59,SUCCESS,16435
GDIT-EB-Racer,1560951932757,16465,60,SUCCESS,16465
SpeedRacer,1560546181990,16682,61,SUCCESS,16682
Whirlwind,1561945286522,16723,62,SUCCESS,16723
Mentaiko-DevelopersIO,1561961850258,16726,63,SUCCESS,16726
RoboHide,1560268808648,16850,64,SUCCESS,16850
JimWu,1561942565333,16861,65,SUCCESS,16861
Momotaro-DevelopersIO,1561957178472,16912,66,SUCCESS,16912
yonaha,1559714558602,17016,67,SUCCESS,17016
SlowDownForWhat,1561947548720,17044,68,SUCCESS,17044
Jean-donald,1561936468373,17090,69,SUCCESS,17090
TemperanceSystemTechnologies,1560459696411,17131,70,SUCCESS,17131
DAITOKAI-CM,1561711445798,17144,71,SUCCESS,17144
Paul-NAB,1561630817490,17190,72,SUCCESS,17190
first-deepracer-model,1560258381037,17215,73,SUCCESS,17215
DrunkCar,1560353915027,17324,74,SUCCESS,17324
Falkor,1561505807432,17382,75,SUCCESS,17382
KevinGoGo,1561963764997,17441,76,SUCCESS,17441
