Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore
JJ,1591481675927,3,11285,8175,33855,0.3333333333333333,1,0,1,3844,1,SUCCESS,33855
Karl-NAB,1593156079619,3,11850,8827,35550,0.6666666666666666,1,1,2,6224,2,SUCCESS,35550
Jianlong-DBS,1592924842439,3,12514,11139,37542,0.3333333333333333,0,1,1,4072,3,SUCCESS,37542
Giacomo,1593229237967,3,13917,11956,41751,0.3333333333333333,1,0,1,2671,4,SUCCESS,41751
flatearth,1593468666209,3,13935,9627,41805,1.0,2,1,3,228,5,SUCCESS,41805
Fumiaki,1591093383501,3,14167,12650,42503,0.3333333333333333,0,1,1,3687,6,SUCCESS,42503
PolishThunder,1592939091022,3,14489,11285,43467,0.6666666666666666,2,0,2,5886,7,SUCCESS,43467
Ernesto,1592040552865,3,14489,10720,43468,1.0,2,1,3,4970,8,SUCCESS,43468
TARS,1593473665979,3,14553,12053,43661,1.0,2,1,3,373,9,SUCCESS,43661
EngChi,1593553374838,3,14737,13397,44212,1.0,1,2,3,417,10,SUCCESS,44212
Smiles93,1593360956155,3,14949,13339,44849,1.3333333333333333,1,3,4,407,11,SUCCESS,44849
OneDudeDesign,1592067781983,3,15036,10217,45109,1.3333333333333333,2,2,4,2242,12,SUCCESS,45109
Mentaiko-DevelopersIO,1592572250626,3,15419,11146,46258,1.0,1,2,3,364,13,SUCCESS,46258
ABaykov,1592093974212,3,15482,11394,46446,1.0,2,1,3,390,14,SUCCESS,46446
nero-DNPds,1590991667026,3,15555,14865,46665,0.3333333333333333,0,1,1,2482,15,SUCCESS,46665
MattCamp,1592362952796,3,15997,12320,47993,1.6666666666666667,1,4,5,3663,16,SUCCESS,47993
ShinyThings-DBS,1592041742614,3,16047,12070,48143,1.0,2,1,3,3692,17,SUCCESS,48143
iana,1593310260978,3,16323,9937,48971,1.3333333333333333,2,2,4,46,18,SUCCESS,48971
Granville777,1593258625006,3,16911,14593,50734,2.3333333333333335,2,5,7,504,19,SUCCESS,50734
Kire,1593335266497,3,16946,14266,50838,1.3333333333333333,1,3,4,464,20,SUCCESS,50838
DBro,1591995625422,3,17056,10388,51168,1.3333333333333333,2,2,4,3547,21,SUCCESS,51168
Yeti,1593495956652,3,17555,14986,52667,1.6666666666666667,4,1,5,142,22,SUCCESS,52667
GT-DevelopersIO,1592496631963,3,17652,12145,52958,2.3333333333333335,1,6,7,163,23,SUCCESS,52958
BSi,1590981521433,3,18140,12833,54420,1.6666666666666667,1,4,5,1,24,SUCCESS,54420
mayurmadnani,1593413774011,3,18228,14616,54686,1.6666666666666667,3,2,5,671,25,SUCCESS,54686
Duckworth,1593340592172,3,18302,16494,54906,1.3333333333333333,3,1,4,15,26,SUCCESS,54906
Galileo,1591042756885,3,18600,11994,55800,1.6666666666666667,2,3,5,338,27,SUCCESS,55800
nalbam-me,1591654652189,3,18978,15074,56935,1.6666666666666667,2,3,5,515,28,SUCCESS,56935
Tarun99,1593269196863,3,19342,18532,58026,1.6666666666666667,4,1,5,972,29,SUCCESS,58026
HarinWu,1593382316102,3,19850,17607,59550,2.3333333333333335,4,3,7,45,30,SUCCESS,59550
hiroisojp,1593486616608,3,20380,18010,61142,3.3333333333333335,1,9,10,463,31,SUCCESS,61142
Yxcas-DBS,1593154571236,3,20531,15999,61594,2.0,4,2,6,197,32,SUCCESS,61594
think,1593212446163,3,20699,17325,62098,0.6666666666666666,2,0,2,2807,33,SUCCESS,62098
Jackandwho,1593135573497,3,20878,13930,62634,2.0,4,2,6,956,34,SUCCESS,62634
X-DENSO,1593500820911,3,21559,15030,64679,2.0,4,2,6,89,35,SUCCESS,64679
kimwooglae,1591850527580,3,21637,17359,64912,1.0,1,2,3,2939,36,SUCCESS,64912
Asumi,1593174664567,3,21873,16504,65620,1.3333333333333333,2,2,4,48,37,SUCCESS,65620
GDMSDeepRacerRI-1,1593381444907,3,22040,20326,66121,2.6666666666666665,5,3,8,1,38,SUCCESS,66121
andypandyncandy,1593530841286,3,22070,12474,66212,3.6666666666666665,3,8,11,21,39,SUCCESS,66212
piano,1593508504106,3,22167,20528,66503,2.0,4,2,6,3198,40,SUCCESS,66503
