Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore
JJ,1593337105471,3,7732,7262,23198,0.0,0,0,0,4675,1,SUCCESS,23198
Karl-NAB,1591252115343,3,7787,7383,23363,0.0,0,0,0,7084,2,SUCCESS,23363
Granville777,1593386841137,3,8206,7818,24619,0.0,0,0,0,1027,3,SUCCESS,24619
flatearth,1593492873305,3,8386,8002,25160,0.0,0,0,0,590,4,SUCCESS,25160
PolishThunder,1593327670320,3,8388,7998,25164,0.0,0,0,0,6871,5,SUCCESS,25164
Ernesto,1593491800115,3,8411,8009,25233,0.0,0,0,0,3155,6,SUCCESS,25233
GT-DevelopersIO,1592529913361,3,8491,8038,25475,0.0,0,0,0,166,7,SUCCESS,25475
OneDudeDesign,1591813248721,3,8669,8335,26008,0.0,0,0,0,3746,8,SUCCESS,26008
MattCamp,1593310018133,3,8741,8330,26224,0.0,0,0,0,3665,9,SUCCESS,26224
Yeti,1592624921107,3,8862,8559,26588,0.0,0,0,0,1172,10,SUCCESS,26588
Duckworth,1593549174341,3,8988,8400,26966,0.0,0,0,0,50,11,SUCCESS,26966
Mentaiko-DevelopersIO,1592586615675,3,9029,8601,27088,0.0,0,0,0,364,12,SUCCESS,27088
IcePandaBoom,1593469888203,3,9127,8471,27383,0.0,0,0,0,35,13,SUCCESS,27383
Carl,1593457593807,3,9211,8335,27634,0.0,0,0,0,2005,14,SUCCESS,27634
DBro,1591173645920,3,9266,9108,27799,0.0,0,0,0,5260,15,SUCCESS,27799
Giacomo,1592691154035,3,9287,9048,27862,0.0,0,0,0,5069,16,SUCCESS,27862
Yxcas-DBS,1593277838531,3,9480,9000,28441,0.0,0,0,0,212,17,SUCCESS,28441
Robin-Castro,1590998645696,3,9491,9198,28475,0.0,0,0,0,84,18,SUCCESS,28475
Joffe,1592863982762,3,9512,8983,28536,0.0,0,0,0,364,19,SUCCESS,28536
ShinyThings-DBS,1593506718632,3,9565,8999,28696,0.0,0,0,0,3887,20,SUCCESS,28696
bluetulipz,1593418931185,3,9611,9195,28833,0.0,0,0,0,123,21,SUCCESS,28833
svenus,1591501713215,3,9636,9069,28908,0.0,0,0,0,558,22,SUCCESS,28908
Smiles93,1593502619145,3,9645,9340,28937,0.0,0,0,0,368,23,SUCCESS,28937
GummyBear,1593536820330,3,9724,9274,29172,0.0,0,0,0,242,24,SUCCESS,29172
Galileo,1591555635852,3,9784,9193,29353,0.0,0,0,0,402,25,SUCCESS,29353
Fumiaki,1592225287726,3,9867,9405,29603,0.0,0,0,0,3660,26,SUCCESS,29603
nero-DNPds,1591059613599,3,10095,9790,30285,0.0,0,0,0,2205,27,SUCCESS,30285
NewSpeed,1591365481799,3,10131,9608,30394,0.0,0,0,0,4,28,SUCCESS,30394
Team3D-Internal-Race1,1592564257574,3,10222,10005,30667,0.0,0,0,0,35,29,SUCCESS,30667
GDMSDeepRacerRI-1,1592596428443,3,10322,10015,30967,0.0,0,0,0,71,30,SUCCESS,30967
ABaykov,1591021848966,3,10326,9862,30978,0.0,0,0,0,87,31,SUCCESS,30978
Jianlong-DBS,1593325933291,3,10364,10116,31094,0.0,0,0,0,4254,32,SUCCESS,31094
HarinWu,1593027708501,3,10378,10169,31135,0.0,0,0,0,51,33,SUCCESS,31135
json,1590992625550,3,10388,10015,31166,0.0,0,0,0,59,34,SUCCESS,31166
X-DENSO,1593552587045,3,10484,9663,31453,0.0,0,0,0,405,35,SUCCESS,31453
Team-3D-Internal-Race-2B,1592552554230,3,10523,9456,31570,0.3333333333333333,0,1,1,19,36,SUCCESS,31570
Test01-azusawa-001,1592534180142,3,10526,10292,31579,0.0,0,0,0,12,37,SUCCESS,31579
Garage-ISEP,1592775455778,3,10651,10329,31954,0.0,0,0,0,133,38,SUCCESS,31954
