Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore
JJ,1585352686307,3,14131,13676,42393,0.0,0,0,0,3221,1,SUCCESS,42393
TonyJ,1585515342652,3,15008,14645,45026,0.0,0,0,0,1009,2,SUCCESS,45026
Fumiaki,1585644989934,3,15294,14401,45882,0.0,0,0,0,1054,3,SUCCESS,45882
Keaton,1584811826034,3,16686,16073,50060,0.0,0,0,0,3673,4,SUCCESS,50060
dartjason,1585515004175,3,16778,15965,50334,0.0,0,0,0,3595,5,SUCCESS,50334
RayG,1585689335653,3,16851,16663,50553,0.0,0,0,0,1971,6,SUCCESS,50553
ShibaInu-DevelopersIO,1584852627788,3,17252,16853,51757,0.0,0,0,0,4421,7,SUCCESS,51757
PolishThunder,1584895917541,3,17457,16914,52372,0.0,0,0,0,3594,8,SUCCESS,52372
Robin-Castro,1585218380482,3,17513,17156,52540,0.0,0,0,0,1220,9,SUCCESS,52540
DBro,1585670770129,3,18153,17926,54460,0.0,0,0,0,3286,10,SUCCESS,54460
Hagibis,1584972363935,3,18558,17772,55674,0.0,0,0,0,150,11,SUCCESS,55674
GT-DevelopersIO,1583674241596,3,18562,18353,55688,0.0,0,0,0,167,12,SUCCESS,55688
Galileo,1585589751322,3,18630,17766,55892,0.3333333333333333,0,1,1,458,13,SUCCESS,55892
Duckworth,1585581897222,3,18672,17760,56016,0.3333333333333333,0,1,1,69,14,SUCCESS,56016
Jochem,1585230869650,3,18696,18300,56089,0.0,0,0,0,150,15,SUCCESS,56089
nero-DNPds,1585208970274,3,18745,18589,56237,0.0,0,0,0,402,16,SUCCESS,56237
London-1-Racers,1585696112720,3,18989,18148,56968,0.3333333333333333,0,1,1,324,17,SUCCESS,56968
ABaykov,1584914049849,3,19347,19017,58041,0.0,0,0,0,266,18,SUCCESS,58041
TRS-DR,1584978840729,3,19605,16747,58817,1.0,0,3,3,32,19,SUCCESS,58817
RichardFan,1584670644225,3,19642,18918,58928,0.3333333333333333,0,0,1,5508,20,SUCCESS,58928
Karl-NAB,1585663299859,3,19716,18450,59149,0.0,0,0,0,71,21,SUCCESS,59149
Kire,1585681250023,3,19879,19296,59637,0.0,0,0,0,228,22,SUCCESS,59637
nalbam-me,1585011238093,3,19942,19588,59828,0.0,0,0,0,1672,23,SUCCESS,59828
Dalyo,1584896470351,3,19990,19402,59972,0.0,0,0,0,975,24,SUCCESS,59972
OneDudeDesign,1585355328527,3,20032,19529,60098,0.0,0,0,0,104,25,SUCCESS,60098
ChangsooCap,1585154347529,3,20153,20071,60461,0.0,0,0,0,1077,26,SUCCESS,60461
think,1584526053141,3,20182,19727,60548,1.0,0,3,3,4793,27,SUCCESS,60548
kimwooglae,1585220110487,3,20197,19628,60591,1.0,0,3,3,4369,28,SUCCESS,60591
TimothyTan,1585236740696,3,20400,20222,61200,0.0,0,0,0,129,29,SUCCESS,61200
MING-CHUN,1585468244232,3,20709,20336,62128,0.0,0,0,0,46,30,SUCCESS,62128
Lazuli,1585385924418,3,21012,20111,63037,0.3333333333333333,0,1,1,1,31,SUCCESS,63037
Taketo,1585526371422,3,21440,20302,64322,0.3333333333333333,0,1,1,173,32,SUCCESS,64322
RomanKoles,1583552637398,3,21509,19590,64527,1.6666666666666667,0,5,5,35,33,SUCCESS,64527
MinShi,1585431199212,3,21528,20214,64584,0.3333333333333333,0,1,1,22,34,SUCCESS,64584
Momotaro-DevelopersIO,1585647789179,3,21738,21610,65215,0.0,0,0,0,30,35,SUCCESS,65215
Mentaiko-DevelopersIO,1584109774662,3,21838,19829,65514,0.6666666666666666,0,2,2,59,36,SUCCESS,65514
Jerec,1584648705766,3,22170,22089,66511,0.0,0,0,0,19,37,SUCCESS,66511
ARISE-DRC,1583332860987,3,22290,20856,66872,0.6666666666666666,0,2,2,8,38,SUCCESS,66872
muzi,1584830071774,3,22638,21255,67915,1.3333333333333333,0,4,4,33,39,SUCCESS,67915
chilmeran,1583761527170,3,22743,21377,68230,0.6666666666666666,0,2,2,89,40,SUCCESS,68230
BR4M,1585037328799,3,22874,22642,68623,0.0,0,0,0,13,41,SUCCESS,68623
hiroisojp,1584504894195,3,23158,21936,69476,0.6666666666666666,0,2,2,30,42,SUCCESS,69476
RacingAbeam,1584535444837,3,23656,22551,70969,1.6666666666666667,0,4,5,410,43,SUCCESS,70969
DarkChocolate,1585666300780,3,24169,22672,72507,0.6666666666666666,0,2,2,153,44,SUCCESS,72507
UNO-DENSO,1585021225830,3,24300,23378,72902,0.6666666666666666,0,1,2,31,45,SUCCESS,72902
nalbam-mz,1584965748083,3,24436,24059,73310,0.3333333333333333,0,0,1,11,46,SUCCESS,73310
Roxies-Racer,1584223831558,3,24552,24375,73658,0.0,0,0,0,4,47,SUCCESS,73658
satussy777,1583878581282,3,24561,23932,73684,0.0,0,0,0,12,48,SUCCESS,73684
stupidModel,1585449372112,3,24788,22315,74366,0.6666666666666666,0,2,2,8,49,SUCCESS,74366
DR-Boong,1585665738136,3,24801,22809,74403,0.6666666666666666,0,2,2,34,50,SUCCESS,74403
evanca,1584022617136,3,24886,23998,74659,1.3333333333333333,0,4,4,15,51,SUCCESS,74659
Giacomo,1584730191535,3,25005,24317,75015,0.0,0,0,0,30,52,SUCCESS,75015
Adam-H,1584207235401,3,25045,23778,75136,1.3333333333333333,0,4,4,7,53,SUCCESS,75136
NTHU-elsalab,1584449122166,3,25110,24412,75331,3.0,0,9,9,9,54,SUCCESS,75331
MattCamp,1583332607389,3,25337,23989,76013,0.6666666666666666,0,2,2,21,55,SUCCESS,76013
Ted,1584452138595,3,25377,25164,76131,0.0,0,0,0,7,56,SUCCESS,76131
megadriver,1585618507600,3,25451,25130,76355,0.0,0,0,0,4,57,SUCCESS,76355
Joffe-Cybercom,1583360686683,3,25461,25183,76383,0.0,0,0,0,10,58,SUCCESS,76383
Garage-ISEP,1585661528019,3,25522,24824,76566,0.0,0,0,0,77,59,SUCCESS,76566
DTNDeepRacer,1583798364690,3,25767,25046,77303,0.0,0,0,0,10,60,SUCCESS,77303
leo-DNPds,1585652139270,3,25784,23884,77354,1.0,0,2,3,8,61,SUCCESS,77354
Levvel,1584366467264,3,26146,25070,78438,0.3333333333333333,0,0,1,2,62,SUCCESS,78438
acn-torchcar-msasaki-01,1583788548097,3,26225,25102,78676,1.3333333333333333,0,4,4,8,63,SUCCESS,78676
Lilou-2,1583502798478,3,26358,25369,79075,0.0,0,0,0,12,64,SUCCESS,79075
piano,1583873569400,3,26459,22229,79378,4.333333333333333,0,13,13,4622,65,SUCCESS,79378
JamesPeru,1585636256838,3,26479,24575,79437,3.6666666666666665,0,11,11,9,66,SUCCESS,79437
BlueLithium,1584171770928,3,26483,26246,79451,0.0,0,0,0,8,67,SUCCESS,79451
TeamMadison,1583993537628,3,26712,26203,80136,0.0,0,0,0,3,68,SUCCESS,80136
RunBabyRun,1584883260310,3,26721,25800,80165,0.3333333333333333,0,1,1,86,69,SUCCESS,80165
Mano,1584172638906,3,26800,24989,80400,1.6666666666666667,0,5,5,6,70,SUCCESS,80400
PaulMR,1583489360114,3,26805,23157,80415,2.3333333333333335,0,6,7,60,71,SUCCESS,80415
YUTAM-DENSO,1585668993413,3,26817,24835,80453,0.6666666666666666,0,2,2,2,72,SUCCESS,80453
PCI,1585426453962,3,27465,26784,82396,0.3333333333333333,0,0,1,4,73,SUCCESS,82396
