Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore
JJ,1593202217809,3,25202,21375,75608,0.6666666666666666,2,0,2,4513,1,SUCCESS,75608
Jianlong-DBS,1592025505361,3,31004,28881,93013,0.3333333333333333,1,0,1,3557,2,SUCCESS,93013
ShinyThings-DBS,1593156167879,3,32335,29681,97005,0.3333333333333333,1,0,1,3541,3,SUCCESS,97005
gigi-DNPds,1593315679701,3,32714,28798,98142,0.6666666666666666,2,0,2,39,4,SUCCESS,98142
PolishThunder,1593378436843,3,33556,31078,100668,0.3333333333333333,1,0,1,5140,5,SUCCESS,100668
RayG,1591328868424,3,33692,30080,101077,0.6666666666666666,2,0,2,296,6,SUCCESS,101077
Fumiaki,1593506527579,3,35690,31408,107071,1.6666666666666667,4,1,5,160,7,SUCCESS,107071
DBro,1593546566845,3,36022,33668,108068,0.3333333333333333,1,0,1,3469,8,SUCCESS,108068
Yeti,1593500552284,3,36695,31084,110087,2.0,6,0,6,142,9,SUCCESS,110087
Asumi,1593261967306,3,37710,35203,113131,0.3333333333333333,0,1,1,66,10,SUCCESS,113131
Mentaiko-DevelopersIO,1592064307772,3,38004,30713,114013,2.3333333333333335,2,5,7,1529,11,SUCCESS,114013
OneDudeDesign,1593270499477,3,38189,37299,114568,2.0,4,2,6,3744,12,SUCCESS,114568
GT-DevelopersIO,1593235531975,3,40265,35710,120795,2.0,3,3,6,1137,13,SUCCESS,120795
London-1-Racers,1593461037162,3,43366,31672,130098,2.0,3,3,6,20,14,SUCCESS,130098
nero-DNPds,1591655468647,3,43950,41482,131852,0.3333333333333333,1,0,1,454,15,SUCCESS,131852
X-DENSO,1592044569261,3,44298,35100,132895,2.6666666666666665,5,3,8,41,16,SUCCESS,132895
satussy777,1591446854443,3,45943,39065,137830,1.0,1,2,3,107,17,SUCCESS,137830
IcePandaBoom,1593548194241,3,46108,41034,138325,3.0,8,1,9,3,18,SUCCESS,138325
powerpeter,1591428487301,3,46658,44924,139974,1.0,3,0,3,9,19,SUCCESS,139974
mayurmadnani,1593311750554,3,47424,41028,142272,3.0,4,5,9,467,20,SUCCESS,142272
Karl-NAB,1593555621363,3,47444,36019,142332,4.0,6,6,12,14,21,SUCCESS,142332
Smiles93,1593346096654,3,50421,39043,151265,3.0,5,4,9,318,22,SUCCESS,151265
Galileo,1591267751109,3,51188,45441,153565,2.0,5,1,6,156,23,SUCCESS,153565
ABaykov,1590978111679,3,51283,47951,153851,3.3333333333333335,6,4,10,72,24,SUCCESS,153851
UNO-DENSO,1592321127240,3,52766,46094,158298,3.0,2,7,9,35,25,SUCCESS,158298
Lina,1593544554901,3,52991,46565,158973,1.3333333333333333,2,2,4,13,26,SUCCESS,158973
Adam-H,1592088721850,3,53333,49003,159999,2.0,3,3,6,12,27,SUCCESS,159999
Kire,1592695980191,3,54464,46116,163392,3.3333333333333335,6,4,10,34,28,SUCCESS,163392
MING-CHUN,1592996517896,3,54884,45374,164654,1.6666666666666667,4,1,5,7,29,SUCCESS,164654
kimwooglae,1591079455164,3,55958,46201,167875,1.3333333333333333,2,2,4,1785,30,SUCCESS,167875
