Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,UserId
JJ,1637185952621,1,31323,31323,170858,1.6,7,1,8,2,1,SUCCESS,31323,afdcX_4vRH6Ussd0mbg5LQ
PolishThunder,1637196805207,1,32189,32189,152172,2.5,7,3,10,2,2,SUCCESS,32189,qi512oGVTry8V-KtP6j2_w
flatearth,1637196934014,1,32600,32600,176511,2.0,10,0,10,2,3,SUCCESS,32600,9e3a9607a4e04ba2b1a49w
JPMC-DriftKing-Houston,1637196807624,1,33260,33260,146107,2.75,11,0,11,2,4,SUCCESS,33260,fngewpiZSZm11yX7YgwnMA
JPMC-RogerRabbit-Houston,1637197175291,1,35168,35168,155524,3.0,10,2,12,2,5,SUCCESS,35168,DXXOncNRR1iiqhBvpPO-_A
JPMC-TeamOne-BuenosAires,1637196948230,1,37122,37122,173417,3.75,12,3,15,2,6,SUCCESS,37122,Fy8bvUIzSN-N-e3D74JhPw
AIDeepRacer,1637196802688,1,38204,38204,162860,3.5,8,6,14,2,7,SUCCESS,38204,pIRbdCx6QYatgVXm2p5GbA
BackloggedLoop#1107,1637123230339,1,42938,42938,147950,5.666666666666667,8,9,17,2,8,SUCCESS,42938,CxLK5itDR7u7cqofttCr_A
Carvai,1637196797701,1,43309,43309,158760,5.333333333333333,12,4,16,2,9,SUCCESS,43309,SsDvF8JeRvaeXye0kQfvpA
WilliamH-UNT,1637196802224,1,65425,65425,144965,8.0,7,9,16,1,10,SUCCESS,65425,P82LA-7cRnSOQn5GHkINWw
