Rank,Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,LeaderboardSubmissionStatusType,RankingScore,UserId
1,rosscomp1,1685565173883,3,20175,19797,60526,0.0,0,0,0,50,SUCCESS,60526,fb0d597a87f94697aa1c6w
2,JJ,1685565178091,3,20262,20058,60787,0.0,0,0,0,50,SUCCESS,60787,afdcX_4vRH6Ussd0mbg5LQ
3,Duckworth,1685438036878,3,20886,20668,62658,0.0,0,0,0,50,SUCCESS,62658,VIu9BQ4-Th6gUqu60ztwUQ
4,Karl-NAB,1685569654274,3,20930,20596,62792,0.0,0,0,0,50,SUCCESS,62792,4vOOxLIsSjeL2WFaO5o_fQ
5,DaVinciDriver,1685558851798,3,20931,20665,62794,0.0,0,0,0,50,SUCCESS,62794,XtzXYz2pRByDnXz90XNGSw
6,RayG-DBS,1685505396304,3,20997,20665,62991,0.0,0,0,0,50,SUCCESS,62991,YNrvM9f5RteeSrCl7oFC5w
7,AJM-Model-1,1685561639093,3,20997,20874,62992,0.0,0,0,0,31,SUCCESS,62992,gdsU9bkGRWW7LTEHP4rGgQ
8,AIDeepRacer,1684982991482,3,21020,20410,63060,0.0,0,0,0,8,SUCCESS,63060,pIRbdCx6QYatgVXm2p5GbA
9,CodeMachine,1684673177116,3,21196,20938,63590,0.0,0,0,0,20,SUCCESS,63590,b_WzN_r8ToGPle_8bl2tMA
10,ADA,1683854647919,3,21219,20943,63658,0.0,0,0,0,16,SUCCESS,63658,KiqOhQPjTamuBXicXnKGEA
11,RobinCastro-DBS,1685484318802,3,21307,21067,63923,0.0,0,0,0,31,SUCCESS,63923,7KrbyQXvTBOxnBa0p9YuUA
12,kashi,1685518100936,3,21310,20940,63932,0.0,0,0,0,43,SUCCESS,63932,oq7yCLy5QAeEP6k7o53L8A
13,Off-track,1685491650153,3,21331,21002,63994,0.0,0,0,0,50,SUCCESS,63994,1R021ZoDQrqxSUiHfBvyEw
14,Ernesto-PhilJ,1684329002956,3,21440,21138,64322,0.0,0,0,0,50,SUCCESS,64322,8zBEAp0-S5yGbcZvytGZGQ
15,Jochem,1683651076712,3,21464,21001,64392,0.0,0,0,0,11,SUCCESS,64392,RBPhZc5eTVmEF_gpSV7skg
16,Ele1,1685406809547,3,21488,21134,64465,0.0,0,0,0,27,SUCCESS,64465,lC8NDiafTl6ctjONtbT0Uw
17,Fumiaki,1685564675445,3,21508,21262,64524,0.0,0,0,0,47,SUCCESS,64524,5RzBNYRAQoWVausi3eyhRg
18,JPMC-Spyder-HongKong,1684723620072,3,21510,21210,64530,0.0,0,0,0,50,SUCCESS,64530,zKdKXknwQVCObGdEgutObQ
19,nickyl,1685230106947,3,21555,21332,64666,0.0,0,0,0,23,SUCCESS,64666,O0GALYAoRfGA0kUV6ftgqQ
20,ferrite,1685565703651,3,21643,21204,64929,0.0,0,0,0,34,SUCCESS,64929,SRAgn9lMTCmIjaBREP7hxA
21,Rober-rNiubo,1685465578021,3,21663,21135,64991,0.0,0,0,0,50,SUCCESS,64991,KrRSYhzKTfONjRaDUc_ubQ
22,BennyLBS,1685553064374,3,21686,21331,65060,0.0,0,0,0,44,SUCCESS,65060,wD3fjDFZTJaZd9AU7WRDlA
23,Marco-Solo,1685565648161,3,21686,21203,65060,0.0,0,0,0,50,SUCCESS,65060,Hg2CJNXMRmijQmd_jMSJyw
24,Atubee,1685505377711,3,21770,21338,65311,0.0,0,0,0,9,SUCCESS,65311,1z0O0ZjuQH6joGqmg1qXtA
25,Hins,1685562661508,3,21798,21334,65394,0.0,0,0,0,50,SUCCESS,65394,TrdfMZyuRVWfUUCH-IYRKg
26,Velocity-5dl,1685505456816,3,21799,21600,65398,0.0,0,0,0,16,SUCCESS,65398,DBVc9n_uQ0-r-Cqkz3YweA
27,TonyJ,1685255776386,3,21819,21672,65457,0.0,0,0,0,50,SUCCESS,65457,af962be5a4ed4c57af807w
28,Jerec,1685577543055,3,21864,21674,65593,0.0,0,0,0,50,SUCCESS,65593,RH6ep-5mRmmVLqHClba8_Q
29,JPMC-LONDON-HandsFree,1685527182210,3,21886,21335,65659,0.0,0,0,0,34,SUCCESS,65659,DZAYqyd-Tp6eE15IopWCgQ
30,LeadingAI,1685552107471,3,21908,21398,65726,0.0,0,0,0,29,SUCCESS,65726,VP5wwaH5T4GciaMX2ocEvQ
31,Eviden-Mark-Ross,1685544026725,3,21930,21593,65790,0.0,0,0,0,50,SUCCESS,65790,F_ThjPFRSx-guPadHlwEuA
32,MadCross,1685550446747,3,22063,21799,66189,0.0,0,0,0,21,SUCCESS,66189,Msh-oGccTR2Yn31a5coUHA
33,m45,1685555013408,3,22242,22135,66726,0.0,0,0,0,46,SUCCESS,66726,EUSWllrrTRep0vB4VQ4RSg
34,JPMC-HYD-02,1685040914526,3,22351,21919,67055,0.0,0,0,0,26,SUCCESS,67055,LKdw_hyKTSu7moFuxbmiZw
