Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
JJ,1646175969428,3,31931,29484,95793,0.6666666666666666,2,0,2,1,1,SUCCESS,95793,PRO,afdcX_4vRH6Ussd0mbg5LQ
PolishThunder,1646172742915,3,38552,35335,115657,3.0,0,9,9,31,2,SUCCESS,115657,PRO,qi512oGVTry8V-KtP6j2_w
AJM-Model-1,1646174300027,3,41216,35401,123649,3.3333333333333335,2,8,10,2,3,SUCCESS,123649,PRO,gdsU9bkGRWW7LTEHP4rGgQ
Yuliya,1646168019412,3,43763,40601,131291,2.0,2,4,6,8,4,SUCCESS,131291,PRO,JWJgkv8bSKeMIGYZ9roR-A
AIDeepRacer,1646163928137,3,50442,48863,151327,6.666666666666667,1,19,20,2,5,SUCCESS,151327,PRO,pIRbdCx6QYatgVXm2p5GbA
DoomBuggy,1646176133515,3,52509,41998,157529,6.0,5,13,18,1,6,SUCCESS,157529,PRO,QakV_nzOTm2q_NhqUMwIJw
Doug-Racer,1646164862237,3,55708,54268,167124,5.333333333333333,5,11,16,1,7,SUCCESS,167124,PRO,1R021ZoDQrqxSUiHfBvyEw
LeadingAI,1646163171492,3,57134,53329,171403,7.666666666666667,3,20,23,4,8,SUCCESS,171403,PRO,VP5wwaH5T4GciaMX2ocEvQ
gcjordi,1646165002456,3,61715,56871,185146,4.666666666666667,6,8,14,1,9,SUCCESS,185146,PRO,4n-0HYIyQ2241dJ4tZirRg
DaVinciDriver,1646173029013,3,69641,58391,208923,11.333333333333334,6,28,34,2,10,SUCCESS,208923,PRO,XtzXYz2pRByDnXz90XNGSw
JPMC-LONDON-HandsFree,1646174866369,3,71379,67869,214137,11.0,4,29,33,4,11,SUCCESS,214137,PRO,DZAYqyd-Tp6eE15IopWCgQ
Eisemane,1646174222240,3,73225,70273,219675,7.0,11,10,21,1,12,SUCCESS,219675,PRO,uBunM5dFShaZfCz77k2Nqw
KasztP,1646170107768,3,96519,82527,289559,17.333333333333332,8,44,52,2,13,SUCCESS,289559,PRO,B_NHhZzIT7yLboMZHKC3Qw
omgjenfd,1646161980439,3,150089,141459,450267,25.666666666666668,18,59,77,1,14,SUCCESS,450267,PRO,YUwak4ljRuSVLczGPBpL2A
