Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
JJ,1648245047465,3,23751,23471,71254,0.0,0,0,0,5496,1,SUCCESS,71254,PRO,afdcX_4vRH6Ussd0mbg5LQ
flatearth,1648693626253,3,24243,23999,72729,0.0,0,0,0,55,2,SUCCESS,72729,PRO,9e3a9607a4e04ba2b1a49w
rosscomp1,1647364997904,3,24508,24071,73525,0.0,0,0,0,4286,3,SUCCESS,73525,PRO,fb0d597a87f94697aa1c6w
AJM-Model-1,1648478339191,3,24750,24528,74251,0.0,0,0,0,1530,4,SUCCESS,74251,PRO,gdsU9bkGRWW7LTEHP4rGgQ
Rober-rNiubo,1648734486935,3,24753,24266,74260,0.0,0,0,0,503,5,SUCCESS,74260,PRO,KrRSYhzKTfONjRaDUc_ubQ
DBro,1648188054612,3,24800,24544,74401,0.0,0,0,0,2096,6,SUCCESS,74401,PRO,jEkEOpjZRhGUbyDZIfTo_A
Ernesto-PhilJ,1648596483397,3,24960,24520,74882,0.0,0,0,0,3580,7,SUCCESS,74882,PRO,8zBEAp0-S5yGbcZvytGZGQ
TonyJ,1648312386538,3,25045,24474,75137,0.0,0,0,0,5513,8,SUCCESS,75137,PRO,af962be5a4ed4c57af807w
Duckworth,1648471926525,3,25152,24660,75456,0.0,0,0,0,2136,9,SUCCESS,75456,PRO,VIu9BQ4-Th6gUqu60ztwUQ
PolishThunder,1648747565045,3,25309,24928,75928,0.0,0,0,0,6745,10,SUCCESS,75928,PRO,qi512oGVTry8V-KtP6j2_w
Karl-NAB,1647173734060,3,25440,25124,76321,0.0,0,0,0,1152,11,SUCCESS,76321,PRO,4vOOxLIsSjeL2WFaO5o_fQ
AIDeepRacer,1648278058770,3,25591,24989,76773,0.0,0,0,0,449,12,SUCCESS,76773,PRO,pIRbdCx6QYatgVXm2p5GbA
ZoD,1648664645070,3,25614,25067,76842,0.0,0,0,0,3262,13,SUCCESS,76842,PRO,TFtvCas4TRWchrBPMyGh0A
JPMC-DriftKing-Houston,1648702409456,3,25712,25675,77138,0.0,0,0,0,339,14,SUCCESS,77138,PRO,fngewpiZSZm11yX7YgwnMA
Deepak-dpk,1648282256704,3,25792,24935,77378,0.0,0,0,0,3907,15,SUCCESS,77378,PRO,gDTBFK77TM6wD6uObZlulA
RobinCastro-DBS,1648555719647,3,25820,25610,77462,0.0,0,0,0,3515,16,SUCCESS,77462,PRO,7KrbyQXvTBOxnBa0p9YuUA
dartjason,1648701627537,3,25974,25864,77922,0.0,0,0,0,1045,17,SUCCESS,77922,PRO,JSflDq5rQgKEuA5Ots4kDQ
Jochem,1647881735475,3,26072,25662,78216,0.0,0,0,0,959,18,SUCCESS,78216,PRO,RBPhZc5eTVmEF_gpSV7skg
LeadingAI,1648767539120,3,26216,25857,78650,0.0,0,0,0,1876,19,SUCCESS,78650,PRO,VP5wwaH5T4GciaMX2ocEvQ
Penguin-DNPds,1647808898436,3,26418,25797,79256,0.0,0,0,0,1755,20,SUCCESS,79256,PRO,Nr3YCYWGTA631Xqa0uDPhw
CGS-Huge-Hadr0n,1648691969534,3,26512,26267,79538,0.0,0,0,0,3624,21,SUCCESS,79538,PRO,63LA0_QCQ1-fRLzXgWmAeQ
Joffe,1648353322441,3,26636,25992,79910,0.0,0,0,0,977,22,SUCCESS,79910,PRO,ce17e3bfe82649448e2f3w
DoomBuggy,1647910586314,3,26819,26664,80458,0.0,0,0,0,2525,23,SUCCESS,80458,PRO,QakV_nzOTm2q_NhqUMwIJw
Aurora-DNPds,1648694306369,3,27625,27197,82877,0.0,0,0,0,1342,24,SUCCESS,82877,PRO,26fba66bedca4aa3bca47w
ferrite,1648177529073,3,28000,27594,84000,0.0,0,0,0,113,25,SUCCESS,84000,PRO,SRAgn9lMTCmIjaBREP7hxA
barkingdog,1648209206183,3,28350,27868,85052,0.0,0,0,0,5845,26,SUCCESS,85052,PRO,b3960b6c6f58458880ceew
Off-track,1648351446944,3,28397,28340,85192,0.0,0,0,0,4013,27,SUCCESS,85192,PRO,1R021ZoDQrqxSUiHfBvyEw
MattKreder,1647145230102,3,29309,29004,87929,0.0,0,0,0,6166,28,SUCCESS,87929,PRO,cVk-aYKdRUmuL0qmjyzmag
BoltronRacingTeam,1647344060168,3,30511,29880,91533,0.0,0,0,0,9,29,SUCCESS,91533,PRO,Lkrg6gQPQ5qwn61K16MHhg
ep-dr-racer1,1646672661304,3,30758,30337,92275,0.0,0,0,0,1166,30,SUCCESS,92275,PRO,vEZxFEnhQHeI5tKR4Tz3rQ
BackloggedLoop#1107,1646469552428,3,30906,30407,92718,0.0,0,0,0,1133,31,SUCCESS,92718,PRO,CxLK5itDR7u7cqofttCr_A
JPMC-LONDON-HandsFree,1647736148972,3,30974,27543,92923,1.0,0,3,3,351,32,SUCCESS,92923,PRO,DZAYqyd-Tp6eE15IopWCgQ
Dug-Racer,1648721186136,3,31129,30663,93389,0.0,0,0,0,560,33,SUCCESS,93389,PRO,ebaac7d1eb7b4d3f9ae5cQ
Yupa-DNPds,1648442253304,3,31681,30396,95045,0.0,0,0,0,73,34,SUCCESS,95045,PRO,jgRyYla-RkS2kr2rVBdEZA
BennyLBS,1648657263467,3,32018,31656,96055,0.0,0,0,0,501,35,SUCCESS,96055,PRO,wD3fjDFZTJaZd9AU7WRDlA
EnBW-Flitzer,1648024418343,3,32507,32202,97523,0.0,0,0,0,85,36,SUCCESS,97523,PRO,je1HIMgRQtibB3H9325TRw
Ash-DNPds,1646376728687,3,35506,32932,106519,1.0,0,3,3,2,37,SUCCESS,106519,PRO,9aced9109a634d11a3134w
JPMC-HYD-DEEPACERS,1648251874288,3,35617,31513,106852,1.3333333333333333,1,3,4,8,38,SUCCESS,106852,PRO,LJzDpiNuTFeHu9dsqp1APw
Mungi,1648127911178,3,35976,32652,107928,1.0,1,2,3,7,39,SUCCESS,107928,PRO,RgTvucbNQja7yiYbgh2p9A
GoodmanKR,1647834754810,3,36753,34059,110261,2.0,1,5,6,67,40,SUCCESS,110261,PRO,f905b742ca594aadb529eQ
S-P-,1648494228816,3,36773,35477,110321,0.0,0,0,0,947,41,SUCCESS,110321,PRO,MxT5p4ZvSTOcc6ANa8VZNg
DaVinciDriver,1647933339710,3,38598,37060,115794,0.3333333333333333,1,0,1,52,42,SUCCESS,115794,PRO,XtzXYz2pRByDnXz90XNGSw
Fumiaki,1646180851025,3,40441,36534,121323,3.0,2,7,9,4,43,SUCCESS,121323,PRO,5RzBNYRAQoWVausi3eyhRg
Paradesi,1647054588438,3,40953,36528,122860,1.0,3,0,3,9,44,SUCCESS,122860,PRO,67697a7edfac47709d52dQ
