Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
Karl-NAB,1629006108695,3,19029,18801,57087,0.0,0,0,0,5313,1,SUCCESS,57087,PRO,4vOOxLIsSjeL2WFaO5o_fQ
JJ,1629186641133,3,19102,18926,57308,0.0,0,0,0,3195,2,SUCCESS,57308,PRO,afdcX_4vRH6Ussd0mbg5LQ
TonyJ,1629657063630,3,21230,21059,63692,0.0,0,0,0,179,3,SUCCESS,63692,PRO,af962be5a4ed4c57af8075bbd79a0d35
Ernesto,1628738642728,3,21245,21097,63735,0.0,0,0,0,2499,4,SUCCESS,63735,PRO,8zBEAp0-S5yGbcZvytGZGQ
Matt,1629676348510,3,21714,21272,65142,0.0,0,0,0,468,5,SUCCESS,65142,PRO,cVk-aYKdRUmuL0qmjyzmag
JPMC-Rogue-Hyderabad,1629731375332,3,21760,21514,65282,0.0,0,0,0,96,6,SUCCESS,65282,PRO,LKdw_hyKTSu7moFuxbmiZw
AJM-Model-1,1629741811388,3,22182,21982,66546,0.0,0,0,0,3732,7,SUCCESS,66546,PRO,gdsU9bkGRWW7LTEHP4rGgQ
Penguin-DNPds,1629352156784,3,22182,21983,66548,0.0,0,0,0,86,8,SUCCESS,66548,PRO,Nr3YCYWGTA631Xqa0uDPhw
Rober,1628908295530,3,22273,21787,66821,0.0,0,0,0,781,9,SUCCESS,66821,PRO,KrRSYhzKTfONjRaDUc_ubQ
GT-DevelopersIO,1629423681823,3,22379,22207,67138,0.0,0,0,0,12,10,SUCCESS,67138,PRO,8WSp4P7ZRn-jJgZLnugwkA
rosscomp1,1629315283945,3,22465,20547,67395,0.3333333333333333,0,1,1,975,11,SUCCESS,67395,PRO,fb0d597a87f94697aa1c68be9366a74f
SorinB,1629715689638,3,22843,22573,68531,0.0,0,0,0,403,12,SUCCESS,68531,PRO,TFtvCas4TRWchrBPMyGh0A
Yoway-NYCU-CGI,1629754687109,3,22844,20517,68534,0.6666666666666666,0,2,2,29,13,SUCCESS,68534,PRO,1fBE9Y-DR4aOhdY6ydu-rA
JPMC-HandsFree-London,1629568480542,3,23377,21520,70132,0.3333333333333333,0,1,1,441,14,SUCCESS,70132,PRO,DZAYqyd-Tp6eE15IopWCgQ
CGS-LargeLattice,1629713591091,3,23665,23458,70997,0.0,0,0,0,2412,15,SUCCESS,70997,PRO,o6NgljsnTOOelVAsofMR3g
Carvai,1629674553043,3,24073,23721,72221,0.0,0,0,0,210,16,SUCCESS,72221,PRO,SsDvF8JeRvaeXye0kQfvpA
