Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
JJ,1630115947766,3,18739,18599,56218,0.0,0,0,0,5011,1,SUCCESS,56218,PRO,afdcX_4vRH6Ussd0mbg5LQ
Karl-NAB,1629006108695,3,19029,18801,57087,0.0,0,0,0,6295,2,SUCCESS,57087,PRO,4vOOxLIsSjeL2WFaO5o_fQ
rosscomp1,1630338232101,3,20325,19794,60977,0.0,0,0,0,2211,3,SUCCESS,60977,PRO,fb0d597a87f94697aa1c6w
TonyJ,1630448044439,3,20578,20462,61734,0.0,0,0,0,960,4,SUCCESS,61734,PRO,af962be5a4ed4c57af807w
SG-JPMC-03,1630182341002,3,20749,20693,62249,0.0,0,0,0,858,5,SUCCESS,62249,PRO,LJzDpiNuTFeHu9dsqp1APw
JPMC-HYD-02,1630323964073,3,20781,20434,62345,0.0,0,0,0,483,6,SUCCESS,62345,PRO,LKdw_hyKTSu7moFuxbmiZw
Yoway-NYCU-CGI,1629798722165,3,20926,20125,62779,0.0,0,0,0,238,7,SUCCESS,62779,PRO,1fBE9Y-DR4aOhdY6ydu-rA
JPMC-HYD-SpeedSters,1630416429388,3,21015,20904,63047,0.0,0,0,0,22,8,SUCCESS,63047,PRO,6fdcVCAkQtCCsyHEO0LNiA
Duckworth,1630229766250,3,21104,21042,63314,0.0,0,0,0,1253,9,SUCCESS,63314,PRO,VIu9BQ4-Th6gUqu60ztwUQ
Ernesto-PhilJ,1628738642728,3,21245,21097,63735,0.0,0,0,0,3849,10,SUCCESS,63735,PRO,8zBEAp0-S5yGbcZvytGZGQ
MattKreder,1630326511943,3,21314,20819,63942,0.0,0,0,0,2317,11,SUCCESS,63942,PRO,cVk-aYKdRUmuL0qmjyzmag
Fumiaki,1630335641140,3,21462,21337,64387,0.0,0,0,0,503,12,SUCCESS,64387,PRO,5RzBNYRAQoWVausi3eyhRg
AJM-Model-1,1629981334565,3,21721,21391,65165,0.0,0,0,0,5698,13,SUCCESS,65165,PRO,gdsU9bkGRWW7LTEHP4rGgQ
ZoD,1630250645253,3,22177,21784,66531,0.0,0,0,0,1752,14,SUCCESS,66531,PRO,TFtvCas4TRWchrBPMyGh0A
Penguin-DNPds,1629352156784,3,22182,21983,66548,0.0,0,0,0,86,15,SUCCESS,66548,PRO,Nr3YCYWGTA631Xqa0uDPhw
Rober-rNiubo,1628908295530,3,22273,21787,66821,0.0,0,0,0,1914,16,SUCCESS,66821,PRO,KrRSYhzKTfONjRaDUc_ubQ
AIDeepRacer,1630382249186,3,22351,20771,67055,0.3333333333333333,0,1,1,769,17,SUCCESS,67055,PRO,pIRbdCx6QYatgVXm2p5GbA
GT-DevelopersIO,1629423681823,3,22379,22207,67138,0.0,0,0,0,18,18,SUCCESS,67138,PRO,8WSp4P7ZRn-jJgZLnugwkA
CGS-LargeLattice,1630064232133,3,22923,22670,68769,0.0,0,0,0,4508,19,SUCCESS,68769,PRO,o6NgljsnTOOelVAsofMR3g
Carvai,1630222904610,3,23282,23177,69846,0.0,0,0,0,1089,20,SUCCESS,69846,PRO,SsDvF8JeRvaeXye0kQfvpA
CGS-on-your-12-hopefully,1630430189482,3,23325,23056,69976,0.0,0,0,0,2543,21,SUCCESS,69976,PRO,C4LEAeusQ8uY4gJ45GcKlg
JPMC-LONDON-HandsFree,1630452014199,3,23342,21801,70028,0.3333333333333333,0,1,1,918,22,SUCCESS,70028,PRO,DZAYqyd-Tp6eE15IopWCgQ
dartjason,1629867391894,3,24053,23688,72160,0.0,0,0,0,4815,23,SUCCESS,72160,PRO,JSflDq5rQgKEuA5Ots4kDQ
RobinCastro-DBS,1630342697404,3,24215,23227,72647,0.3333333333333333,0,1,1,3060,24,SUCCESS,72647,PRO,7KrbyQXvTBOxnBa0p9YuUA
alexj,1628848121098,3,24382,24250,73148,0.0,0,0,0,121,25,SUCCESS,73148,PRO,Km6btE1_SFCCCqWJ4H6Fyg
EnBW-Flitzer,1630397683602,3,25783,24392,77350,0.3333333333333333,0,1,1,752,26,SUCCESS,77350,PRO,je1HIMgRQtibB3H9325TRw
Mungi,1628839308492,3,26446,25912,79338,0.0,0,0,0,29,27,SUCCESS,79338,PRO,RgTvucbNQja7yiYbgh2p9A
barkingdog,1628932750837,3,26578,26456,79735,0.0,0,0,0,2515,28,SUCCESS,79735,PRO,b3960b6c6f58458880ceew
MiLKB,1630250202585,3,26808,24518,80425,0.6666666666666666,0,2,2,2577,29,SUCCESS,80425,PRO,8KL8u0H3RIWxgP14x_RC6w
kimwooglae,1628679488470,3,27444,26099,82333,0.3333333333333333,0,1,1,5764,30,SUCCESS,82333,PRO,bOqKo-ebR_essdUaZVGO4Q
blueberrypie,1630371238741,3,27467,24764,82403,0.6666666666666666,0,2,2,827,31,SUCCESS,82403,PRO,EmZsQC41RtW5hhxb6z2-xQ
ep-dr-racer1,1630110255342,3,28608,26444,85826,1.3333333333333333,0,4,4,700,32,SUCCESS,85826,PRO,vEZxFEnhQHeI5tKR4Tz3rQ
JPMC-DriftKing-Houston,1627956180634,3,28671,23601,86013,1.3333333333333333,1,3,4,2,33,SUCCESS,86013,PRO,fngewpiZSZm11yX7YgwnMA
CGS-Huge-Hadr0n,1630422765007,3,29320,27486,87962,0.6666666666666666,0,2,2,1841,34,SUCCESS,87962,PRO,63LA0_QCQ1-fRLzXgWmAeQ
ABaykov,1628867014156,3,29341,27916,88025,0.3333333333333333,0,1,1,271,35,SUCCESS,88025,PRO,aa28j7SWTd-LxMzvFoj_bA
LeadingAI,1630383775215,3,29612,27960,88837,1.3333333333333333,1,3,4,44,36,SUCCESS,88837,PRO,VP5wwaH5T4GciaMX2ocEvQ
CGS-NoobRacer,1630063125010,3,29630,27409,88892,0.6666666666666666,1,1,2,1324,37,SUCCESS,88892,PRO,aAzrnsy5RA-xhP44Su0AWg
JPMC-BMTH-RacersOfTheLostArk,1630262601169,3,29805,28127,89417,0.3333333333333333,1,0,1,62,38,SUCCESS,89417,PRO,4607b3c36ab4490cad7a4w
PolishThunder,1629234546508,3,30711,28397,92135,2.0,1,5,6,409,39,SUCCESS,92135,PRO,qi512oGVTry8V-KtP6j2_w
mayurmadnani,1630417225071,3,32225,30402,96676,0.6666666666666666,0,2,2,205,40,SUCCESS,96676,PRO,hr8K12KMRhSIDUEJbQT8fg
Aurora-DNPds,1629851901007,3,32875,31971,98625,1.0,0,3,3,56,41,SUCCESS,98625,PRO,26fba66bedca4aa3bca47w
Janesoki,1629566403910,3,32896,30329,98690,0.3333333333333333,0,1,1,883,42,SUCCESS,98690,PRO,3SvT2_04Tl-5RIyNtDNtjA
Deepak-dpk,1630238194063,3,33087,30322,99262,0.6666666666666666,1,1,2,59,43,SUCCESS,99262,PRO,gDTBFK77TM6wD6uObZlulA
UberAllen,1628373279253,3,33148,30642,99446,0.3333333333333333,1,0,1,77,44,SUCCESS,99446,PRO,ASI6Udz9QCewwoQHEyDbpw
Yuliya,1630391269364,3,33275,30369,99826,0.3333333333333333,0,1,1,1041,45,SUCCESS,99826,PRO,JWJgkv8bSKeMIGYZ9roR-A
Xavier,1630444812644,3,33747,33614,101243,1.0,0,3,3,1661,46,SUCCESS,101243,PRO,pPhTbPBRSg-L3tYPKcCjcA
skoota,1630424410797,3,34172,29987,102516,3.0,2,7,9,640,47,SUCCESS,102516,PRO,-1lhRLeeRTCRUGoxx3ybDA
Breadcentric,1627853461128,3,35615,31845,106846,2.6666666666666665,1,7,8,2,48,SUCCESS,106846,PRO,SjNec5b-SpOk7y9b6rh4KQ
George-Ogden,1629638028779,3,35764,33533,107294,0.3333333333333333,1,0,1,163,49,SUCCESS,107294,PRO,qc3M_AUPQYm7aArDQ-X3Kg
robracer,1630362936033,3,36108,32200,108326,0.6666666666666666,2,0,2,1,50,SUCCESS,108326,PRO,3etr60bzRiOSJakOpyqsFQ
Joffe,1630394162898,3,36385,34314,109157,2.3333333333333335,3,4,7,2,51,SUCCESS,109157,PRO,ce17e3bfe82649448e2f3w
