Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,UserId
JJ,1636290797581,3,23753,23440,71261,0.0,0,0,0,183,1,SUCCESS,71261,afdcX_4vRH6Ussd0mbg5LQ
ZhengYi-NYCU-CGI,1636226878110,3,24223,23688,72671,0.0,0,0,0,174,2,SUCCESS,72671,qY4J9IzvQS6a1N-KZXwviA
Duckworth,1636300925830,3,24776,24412,74330,0.0,0,0,0,742,3,SUCCESS,74330,VIu9BQ4-Th6gUqu60ztwUQ
DoomBuggy,1636235891248,3,25507,25192,76522,0.0,0,0,0,400,4,SUCCESS,76522,QakV_nzOTm2q_NhqUMwIJw
Ernesto,1636279682458,3,25958,25661,77876,0.0,0,0,0,236,5,SUCCESS,77876,8zBEAp0-S5yGbcZvytGZGQ
RobinCastro-DBS,1636310494919,3,26620,26203,79861,0.0,0,0,0,764,6,SUCCESS,79861,7KrbyQXvTBOxnBa0p9YuUA
Yuliya,1636187595817,3,27416,27052,82250,0.0,0,0,0,449,7,SUCCESS,82250,JWJgkv8bSKeMIGYZ9roR-A
CGS-Ultimatum,1636240510490,3,27421,27051,82264,0.0,0,0,0,530,8,SUCCESS,82264,TV9WKnh6SqaCREjHP7EjCw
JPMC-Singapore-Chetak,1636296491235,3,28529,27849,85589,0.0,0,0,0,201,9,SUCCESS,85589,LJzDpiNuTFeHu9dsqp1APw
JPMC-Rogue-Hyderabad,1636306535398,3,28732,28537,86196,1.0,0,3,3,6,10,SUCCESS,86196,LKdw_hyKTSu7moFuxbmiZw
Penguin-DNPds,1636264240264,3,29637,28200,88912,0.3333333333333333,0,1,1,50,11,SUCCESS,88912,Nr3YCYWGTA631Xqa0uDPhw
JPMC-BMTH-RacersOfTheLostArk,1636249097471,3,29664,28810,88992,0.0,0,0,0,216,12,SUCCESS,88992,4607b3c36ab4490cad7a4w
Fumiaki,1636290221620,3,30346,25541,91040,1.3333333333333333,0,4,4,567,13,SUCCESS,91040,5RzBNYRAQoWVausi3eyhRg
JPMC-HYD-CircuitBreakers,1636295209766,3,30999,30788,92999,0.0,0,0,0,55,14,SUCCESS,92999,vA_gK0vxTNWI-MTWEWLAxw
JPMC-MUMBAI-FormulaAI,1636298744812,3,31863,30788,95589,0.0,0,0,0,128,15,SUCCESS,95589,Gx2StgEoSza3Gxxo4Oghug
alexj,1636095658261,3,31864,31327,95593,0.0,0,0,0,17,16,SUCCESS,95593,Km6btE1_SFCCCqWJ4H6Fyg
CGS-Inception,1636256638209,3,32173,29649,96521,0.6666666666666666,0,2,2,201,17,SUCCESS,96521,F2k_OHHQSWOlYlhbzzvP5w
CGS-Slipstream,1636282268390,3,33142,31289,99426,0.3333333333333333,0,1,1,495,18,SUCCESS,99426,N6W21hRAQAqs-12kYgYM6Q
UberAllen,1636288909830,3,33819,33414,101459,1.0,0,3,3,575,19,SUCCESS,101459,ASI6Udz9QCewwoQHEyDbpw
atnmn,1636289371448,3,33865,33446,101595,0.0,0,0,0,644,20,SUCCESS,101595,b3960b6c6f58458880ceew
Jianlong,1636041694359,3,33928,33576,101786,0.0,0,0,0,37,21,SUCCESS,101786,vpsHYdBtSIq__1M9j1R21Q
ABaykov,1636114804378,3,34216,34001,102648,0.0,0,0,0,52,22,SUCCESS,102648,aa28j7SWTd-LxMzvFoj_bA
AIDeepRacer,1636029830730,3,36141,34130,108424,2.3333333333333335,0,7,7,110,23,SUCCESS,108424,pIRbdCx6QYatgVXm2p5GbA
Janesoki,1636020895220,3,36219,35979,108657,0.0,0,0,0,36,24,SUCCESS,108657,3SvT2_04Tl-5RIyNtDNtjA
Deepak-dpk,1636005586662,3,38290,33656,114870,1.3333333333333333,0,4,4,31,25,SUCCESS,114870,gDTBFK77TM6wD6uObZlulA
George-Ogden,1636122608889,3,38706,34008,116118,2.3333333333333335,0,7,7,20,26,SUCCESS,116118,qc3M_AUPQYm7aArDQ-X3Kg
AJM-Model-1,1636051993901,3,40160,36087,120480,3.0,0,9,9,3,27,SUCCESS,120480,gdsU9bkGRWW7LTEHP4rGgQ
Aurora-DNPds,1636072608406,3,40229,38591,120688,3.3333333333333335,0,10,10,10,28,SUCCESS,120688,26fba66bedca4aa3bca47w
Doug-Racer,1636303803391,3,41349,31968,124047,4.333333333333333,0,13,13,239,29,SUCCESS,124047,1R021ZoDQrqxSUiHfBvyEw
