Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
AIDeepRacer,1631228418051,1,21067,21067,178820,1.0,0,7,7,1,1,SUCCESS,21067,OPEN,pIRbdCx6QYatgVXm2p5GbA
Duckworth,1631082287827,1,24146,24146,148754,6.0,17,1,18,1,2,SUCCESS,24146,OPEN,VIu9BQ4-Th6gUqu60ztwUQ
TonyJ,1631221492100,1,25137,25137,154361,1.4,3,4,7,1,3,SUCCESS,25137,OPEN,af962be5a4ed4c57af807w
JPMC-Rogue-Hyderabad,1631233411793,1,25413,25413,177894,3.4,9,8,17,1,4,SUCCESS,25413,OPEN,LKdw_hyKTSu7moFuxbmiZw
CGS-LargeLattice,1631185502596,1,27254,27254,168426,4.25,9,8,17,1,5,SUCCESS,27254,OPEN,o6NgljsnTOOelVAsofMR3g
Rober,1631207336877,1,30038,30038,146063,2.75,4,7,11,1,6,SUCCESS,30038,OPEN,KrRSYhzKTfONjRaDUc_ubQ
Ernesto,1631197013039,1,34548,34548,34548,3.0,1,2,3,1,7,SUCCESS,34548,OPEN,8zBEAp0-S5yGbcZvytGZGQ
GT-DevelopersIO,1631194340781,1,35644,35644,169875,4.75,13,6,19,1,8,SUCCESS,35644,OPEN,8WSp4P7ZRn-jJgZLnugwkA
Fumiaki,1631231252010,1,35861,35861,169269,3.25,1,12,13,1,9,SUCCESS,35861,OPEN,5RzBNYRAQoWVausi3eyhRg
AJM-Model-1,1631232049746,1,37978,37978,172019,3.75,1,14,15,1,10,SUCCESS,37978,OPEN,gdsU9bkGRWW7LTEHP4rGgQ
Carvai,1631232229516,1,39456,39456,125850,8.5,10,7,17,1,11,SUCCESS,39456,OPEN,SsDvF8JeRvaeXye0kQfvpA
JPMC-Ace-Hyderabad,1631211254335,1,44306,44306,150496,7.333333333333333,13,9,22,1,12,SUCCESS,44306,OPEN,6fdcVCAkQtCCsyHEO0LNiA
Penguin-DNPds,1631231640863,1,55132,55132,111510,7.0,2,12,14,1,13,SUCCESS,55132,OPEN,Nr3YCYWGTA631Xqa0uDPhw
JPMC-Singapore-Chetak,1631184106804,1,66116,66116,148911,10.5,13,8,21,1,14,SUCCESS,66116,OPEN,LJzDpiNuTFeHu9dsqp1APw
