Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
AIDeepRacer,1631228418051,1,21067,21067,178820,1.0,0,7,7,1,1,SUCCESS,21067,OPEN,pIRbdCx6QYatgVXm2p5GbA
Duckworth,1631238375867,1,23723,23723,164782,14.0,28,0,28,2,2,SUCCESS,23723,OPEN,VIu9BQ4-Th6gUqu60ztwUQ
CGS-LargeLattice,1631238526276,1,23911,23911,174254,1.1666666666666667,4,3,7,2,3,SUCCESS,23911,OPEN,o6NgljsnTOOelVAsofMR3g
TonyJ,1631221492100,1,25137,25137,154361,1.4,3,4,7,2,4,SUCCESS,25137,OPEN,af962be5a4ed4c57af807w
JPMC-Rogue-Hyderabad,1631233411793,1,25413,25413,177894,3.4,9,8,17,2,5,SUCCESS,25413,OPEN,LKdw_hyKTSu7moFuxbmiZw
JPMC-Singapore-Chetak,1631238307808,1,26066,26066,173894,1.8,5,4,9,2,6,SUCCESS,26066,OPEN,LJzDpiNuTFeHu9dsqp1APw
GT-DevelopersIO,1631238318382,1,26243,26243,161234,2.4,10,2,12,2,7,SUCCESS,26243,OPEN,8WSp4P7ZRn-jJgZLnugwkA
Rober,1631238293384,1,27165,27165,172021,2.0,3,7,10,2,8,SUCCESS,27165,OPEN,KrRSYhzKTfONjRaDUc_ubQ
Fumiaki,1631238305662,1,29474,29474,116153,3.0,0,9,9,2,9,SUCCESS,29474,OPEN,5RzBNYRAQoWVausi3eyhRg
Ensono-Ernesto,1631238315356,1,30909,30909,30909,2.0,1,1,2,2,10,SUCCESS,30909,OPEN,8zBEAp0-S5yGbcZvytGZGQ
AJM-Model-1,1631232049746,1,37978,37978,172019,3.75,1,14,15,2,11,SUCCESS,37978,OPEN,gdsU9bkGRWW7LTEHP4rGgQ
Carvai,1631232229516,1,39456,39456,125850,8.5,10,7,17,2,12,SUCCESS,39456,OPEN,SsDvF8JeRvaeXye0kQfvpA
JPMC-Ace-Hyderabad,1631211254335,1,44306,44306,150496,7.333333333333333,13,9,22,2,13,SUCCESS,44306,OPEN,6fdcVCAkQtCCsyHEO0LNiA
Penguin-DNPds,1631231640863,1,55132,55132,111510,7.0,2,12,14,1,14,SUCCESS,55132,OPEN,Nr3YCYWGTA631Xqa0uDPhw
