Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
Si,1619669818180,3,21665,21266,64995,0.0,0,0,0,28,1,SUCCESS,64995,OPEN,vfIYqrhHRayVCk5rIL2-dw
Paul-NAB,1619751834440,3,22317,19604,66952,0.3333333333333333,0,1,1,93,2,SUCCESS,66952,OPEN,06339a1ca89d41a5b6d98w
alexk,1619185097842,3,22865,22203,68596,0.0,0,0,0,143,3,SUCCESS,68596,OPEN,7ONk_o1xQ9eJWBBSAslcdw
NewBeginning-Xuq,1619681916703,3,23044,22413,69133,0.0,0,0,0,86,4,SUCCESS,69133,OPEN,o-0H8EssSnOdpnutp931MA
Monkey-King,1619577873762,3,23536,22867,70610,0.0,0,0,0,7,5,SUCCESS,70610,OPEN,mbSeRk4sSCmQL1Nt0iiQ8g
MING-CHUN,1619663446996,3,23570,22139,70711,0.0,0,0,0,30,6,SUCCESS,70711,OPEN,qoQoafc4RhGMzWx_fwBp4w
xiaojuruo,1619601330242,3,23839,22917,71517,0.0,0,0,0,74,7,SUCCESS,71517,OPEN,Sja72WycRretj8jTpSQ1OA
BestGTR,1618996962616,3,24114,23602,72344,0.0,0,0,0,1500,8,SUCCESS,72344,OPEN,scRhIBenReKmlXT_QHH2PQ
ThanhHoaChienThang,1618998572142,3,24148,23817,72444,0.0,0,0,0,12,9,SUCCESS,72444,OPEN,90_Nrw9-Sbub2fmO8Osz1A
Sydney-Uni-CompSci-2020-Qualify,1618502152817,3,25358,22730,76074,0.3333333333333333,0,1,1,22,10,SUCCESS,76074,OPEN,iig7N4D6Q62wsnE2AvLy2w
SumoBoy,1619420438099,3,25592,25052,76776,0.0,0,0,0,43,11,SUCCESS,76776,OPEN,LfKFez5GSgC9oENReriiHA
Hong-HK,1619805234448,3,25654,24720,76964,0.0,0,0,0,4,12,SUCCESS,76964,OPEN,qREdi4HSRtyT8dbivqeyow
IVE,1619092338498,3,25896,25069,77690,0.0,0,0,0,17,13,SUCCESS,77690,OPEN,qr3yaTXmQ82YK5r3YgSwmw
CuBinh-VNN,1619085625891,3,26233,24403,78700,0.3333333333333333,0,1,1,5,14,SUCCESS,78700,OPEN,b8b138d57818407b9c5e0w
badger,1619021974585,3,26926,23497,80780,0.6666666666666666,0,2,2,239,15,SUCCESS,80780,OPEN,9Vk5nDXNR-WZArdn86jCoA
AndrewMarsh,1618714969709,3,26969,26395,80909,0.0,0,0,0,67,16,SUCCESS,80909,OPEN,Vu7kxweARLisMbGYXy1IVA
kim,1618188965521,3,27239,27024,81719,0.0,0,0,0,12,17,SUCCESS,81719,OPEN,cgo09VQyRNmKhJfNfwbAgQ
Holden-Grapes,1618899215638,3,27344,26996,82032,0.0,0,0,0,48,18,SUCCESS,82032,OPEN,4P4pFL5AT0ea23kGBM1z3g
Racer-Leo,1618947795492,3,27880,25946,83640,0.3333333333333333,0,1,1,13,19,SUCCESS,83640,OPEN,Rt0UNSqjR02yMbiNXJsZdA
