Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
svenus,1620376317485,3,28706,27078,86118,0.3333333333333333,0,1,1,41,1,SUCCESS,86118,OPEN,215c266da23b4ca8a0c9237a76283b0f
Dzmitry,1620480723551,3,34239,30816,102717,1.6666666666666667,0,5,5,37,2,SUCCESS,102717,OPEN,oqebWoqpT3GamreDvNarOA
BrilliantDragon,1619903409898,3,39528,34399,118584,1.0,0,3,3,0,3,SUCCESS,118584,OPEN,jv_Q3xr0TdKdNM1dJW_RfQ
Otaboroid,1619981199359,3,40561,36340,121685,2.6666666666666665,0,8,8,74,4,SUCCESS,121685,OPEN,UZOXxzgqTEq-U_FlPY-vGQ
IceManNCSU,1620274765885,3,45082,35469,135246,2.3333333333333335,0,6,7,19,5,SUCCESS,135246,OPEN,3a7d947b99fb49f682909b73170eed21
cyyyrus,1620462640713,3,46560,41075,139680,1.3333333333333333,0,4,4,25,6,SUCCESS,139680,OPEN,foYJ1d3VQ0C0sz9QBKFVnA
ABRacer,1619854958687,3,47791,41813,143373,4.0,0,12,12,1,7,SUCCESS,143373,OPEN,sFZaKB3SRtKp3mdiX-z65w
TheDirtyChicken,1619849571749,3,49674,45216,149022,1.0,0,3,3,3,8,SUCCESS,149022,OPEN,v4yDIiO7QWuki1j0CX-hmQ
CopenhagenRacer123,1620431007769,3,49858,41041,149576,3.6666666666666665,0,11,11,8,9,SUCCESS,149576,OPEN,af2ad3c3f52647cfb8e6aa3d2c98b049
LuckyMan,1620120952778,3,52953,48669,158861,3.6666666666666665,0,11,11,1,10,SUCCESS,158861,OPEN,hbVXmPNNTAGt_ndmy0JCtg
James-Nakano,1620118296183,3,53310,52828,159931,1.6666666666666667,0,5,5,22,11,SUCCESS,159931,OPEN,8s0VwwO_SlyreqcOQVKP0g
EldritchIdeen,1620366222803,3,55545,52895,166636,2.6666666666666665,0,8,8,10,12,SUCCESS,166636,OPEN,uTQgJeE6T_a3dil8udGL7A
FCUCIS,1620045104645,3,55691,52074,167074,4.0,0,12,12,8,13,SUCCESS,167074,OPEN,mY-PAAL5RS2g7V5ZsxbswQ
fredtheracer,1619945408828,3,56489,48860,169469,2.3333333333333335,0,7,7,8,14,SUCCESS,169469,OPEN,I5K6ZTvBSEqvN455xLQZ2w
Madge-DNPds,1620279740376,3,56960,49843,170882,2.0,0,6,6,13,15,SUCCESS,170882,OPEN,ac8025824d1041c89cd695617aaa677d
FCU20200621,1619984323199,3,57283,53256,171851,4.0,0,12,12,13,16,SUCCESS,171851,OPEN,292a14f8652a4208a29c8d8e579dd4a4
ThunderKing,1620237102418,3,57377,47881,172131,4.666666666666667,0,14,14,0,17,SUCCESS,172131,OPEN,JNdZM4qNRRyWChJGyxwT6Q
OpenDivision,1620488615175,3,57876,55751,173630,0.3333333333333333,0,1,1,2,18,SUCCESS,173630,OPEN,nAHgcRPxS7CHd7E6GSUvXw
Jesse,1620381562123,3,58550,55524,175651,3.6666666666666665,0,11,11,0,19,SUCCESS,175651,OPEN,PWDYMXHeQrSoq8gCvuSEXA
ironbarrel1,1620138388429,3,59465,52470,178396,4.333333333333333,0,13,13,0,20,SUCCESS,178396,OPEN,fA5ouejXTLCuhHHUaHavEw
doodoo,1620369799993,3,59604,55138,178813,5.0,0,15,15,1,21,SUCCESS,178813,OPEN,GAhi_f6TRW-raIJZE3L5wg
evergiven,1620015834929,3,59850,49888,179551,4.333333333333333,0,13,13,6,22,SUCCESS,179551,OPEN,Nmco48bbQtiaKwId2mumJg
Hullo-Guy,1620399007416,3,60582,54860,181748,6.666666666666667,0,20,20,2,23,SUCCESS,181748,OPEN,fbUmtR67RqCQaCeP1ISciA
SophiaWin,1619922077148,3,63137,59684,189411,7.666666666666667,0,23,23,4,24,SUCCESS,189411,OPEN,C4c67FxAQxKDPnVG48wkGg
test-haowen-1,1620287056964,3,63223,60277,189671,4.666666666666667,0,14,14,39,25,SUCCESS,189671,OPEN,Go6JDLVwSxiwEimqSMq4pQ
WarCannonV1,1620076897427,3,63752,58380,191256,5.0,0,15,15,17,26,SUCCESS,191256,OPEN,VNpU-75zQVq0pmcmLishrg
Polaris-DNPds,1620288862008,3,63918,49674,191754,6.666666666666667,0,20,20,0,27,SUCCESS,191754,OPEN,2617874c942840f0a2fdbaa782cfe13a
GWP,1620243520064,3,64027,57214,192082,4.0,0,12,12,6,28,SUCCESS,192082,OPEN,6d335a285ac24bec8c77fa6c44e5cd1d
GBleezy,1619906528616,3,66486,66333,199458,1.0,0,3,3,16,29,SUCCESS,199458,OPEN,Xb7WClVfR-uzQQIVYVqM_Q
stake,1620374870348,3,66676,62621,200028,4.666666666666667,0,14,14,0,30,SUCCESS,200028,OPEN,Cdn9bOqSTo-xRAAeBzsv6Q
TidsRacer1,1620118770414,3,66699,57795,200099,2.3333333333333335,0,7,7,1,31,SUCCESS,200099,OPEN,-2S1xUGbRx6JOR8JBpewvQ
Kurumi,1620314552672,3,67731,65588,203193,0.0,0,0,0,14,32,SUCCESS,203193,OPEN,w6fY-y6AQ6SMLqnNRuaF1g
squidracer,1620175084348,3,68529,60686,205589,3.3333333333333335,0,10,10,1,33,SUCCESS,205589,OPEN,bLGoZbt1TR2qtEjIsiWSZA
langa,1620299337966,3,69095,63888,207286,4.333333333333333,0,13,13,0,34,SUCCESS,207286,OPEN,IdZsKPg7QiKdg12jxegIWw
brucsss,1620279807019,3,69379,64136,208138,1.0,0,2,3,1,35,SUCCESS,208138,OPEN,ugbns5U6STCBihOCus3lwg
idk,1620241675502,3,70225,69987,210677,1.0,0,3,3,1,36,SUCCESS,210677,OPEN,VmemdaueStuwx6vk2_LZNQ
Velocity-Zeta,1620392929272,3,70372,68205,211116,6.333333333333333,0,19,19,4,37,SUCCESS,211116,OPEN,R-lUKZ7LQo6m2dSsgYX5YA
Bruim,1620076966650,3,71205,64476,213615,2.3333333333333335,0,7,7,8,38,SUCCESS,213615,OPEN,HyLB1l10QdC4lfTJI9eJKA
GPENA,1620313731770,3,71351,61864,214054,2.6666666666666665,0,8,8,12,39,SUCCESS,214054,OPEN,e9nzgD9WQJu5bFlYDTapJw
Marina,1620297968160,3,71506,67798,214518,0.6666666666666666,0,2,2,13,40,SUCCESS,214518,OPEN,1I7aQlAwTRWRffCm6TwbnQ
SnowWhite,1619989473798,3,71847,67336,215543,2.0,0,6,6,0,41,SUCCESS,215543,OPEN,34b7017882dd4649941ed882b2621046
Hoda-2021-RL,1619931378062,3,71903,69585,215711,1.0,0,2,3,4,42,SUCCESS,215711,OPEN,Absjptc7Rq2I53rPdXr9aA
Palak-Sinha,1619838784798,3,71908,67007,215725,5.666666666666667,0,17,17,3,43,SUCCESS,215725,OPEN,N1rmF3z0T2qDopN0jPqEZA
lamwilton,1620471181223,3,72068,71610,216204,1.0,0,3,3,0,44,SUCCESS,216204,OPEN,8xYUg-nNQnaOiu0mXIjV3Q
24534243,1619946021725,3,72126,71798,216380,3.0,0,9,9,3,45,SUCCESS,216380,OPEN,ZtqyQAiGR3GnGP7lGdS8OA
HimalayaTop,1619988245101,3,72703,65582,218109,2.0,0,6,6,5,46,SUCCESS,218109,OPEN,rLdTKOkcQA2fhRFppjVmZQ
Yanhuang14,1620369752251,3,72792,61306,218378,6.0,0,18,18,3,47,SUCCESS,218378,OPEN,YG83tLwaRuWfhpK2tG0_Jg
D-racer,1620073345049,3,73411,63889,220233,7.666666666666667,0,23,23,3,48,SUCCESS,220233,OPEN,KCHZxtbaRjC3qAuQ6UFf4g
singhada,1619912998662,3,74000,70674,222002,2.6666666666666665,0,8,8,1,49,SUCCESS,222002,OPEN,uZufPLrPRPqO1MFw6Td86Q
FirstModelRace,1619927008437,3,74452,71617,223356,2.3333333333333335,0,7,7,3,50,SUCCESS,223356,OPEN,ZWfKHEU2Sbyk-F9S8u-X3w
gaoshou,1620366202931,3,74529,56997,223588,7.333333333333333,0,22,22,3,51,SUCCESS,223588,OPEN,Z3HS3ldkQU6_2fOTaiEjjA
jhoppe069,1620348223660,3,74764,70004,224292,2.0,0,6,6,7,52,SUCCESS,224292,OPEN,H906thZgRrCf6yG_FwHFrg
charrrge,1620056407625,3,75260,71315,225781,3.6666666666666665,0,11,11,5,53,SUCCESS,225781,OPEN,6hjOT1S4Rt6KZ6fhLzd5sA
CSOLU,1620267184104,3,76125,75600,228377,0.0,0,0,0,17,54,SUCCESS,228377,OPEN,lmhgITFvToyw3Mv3ieEcvw
Ighoast66,1620133587992,3,76352,74724,229058,1.3333333333333333,0,2,4,0,55,SUCCESS,229058,OPEN,bVTbAvPdQvut8RxMMRL6eA
Mkel,1620069428056,3,76370,74606,229110,2.0,0,6,6,0,56,SUCCESS,229110,OPEN,WyYPwgwwQmKud0aAb8K-CA
55,1620029638070,3,76510,65544,229531,1.3333333333333333,0,4,4,3,57,SUCCESS,229531,OPEN,ERYqq2hqTjunwz9Cf2GIPg
dominguezdaniel,1620000316256,3,76955,72861,230865,10.0,0,30,30,20,58,SUCCESS,230865,OPEN,PguRx4CcQAKeeoctpGV43w
ThisGonnaWork,1619838857951,3,77408,70141,232224,1.0,0,3,3,1,59,SUCCESS,232224,OPEN,8zjxnnZVQ8K8p0E3jP-0rw
Susie,1620366740211,3,77529,71811,232589,6.0,0,18,18,1,60,SUCCESS,232589,OPEN,NAoC1ZwzTna7rSEmWSGUHQ
Sergio1-1,1620226931841,3,77667,72650,233002,2.3333333333333335,0,7,7,3,61,SUCCESS,233002,OPEN,7lh98AZQTGW0aeq5hqfgzg
testing1,1620036560668,3,77870,69529,233612,3.3333333333333335,0,10,10,8,62,SUCCESS,233612,OPEN,zL8_NHEDSJWava7Q-dEIiQ
kazmot,1620377885711,3,78649,74217,235947,3.6666666666666665,0,11,11,0,63,SUCCESS,235947,OPEN,7cEFNh3CTeeJJK3MrbrQZw
JamirLeal,1620223025526,3,78978,70407,236936,1.6666666666666667,0,5,5,4,64,SUCCESS,236936,OPEN,lDRt8kkLS4K5M-b87l2aJw
Asra,1620290031189,3,79202,70328,237608,9.666666666666666,0,29,29,17,65,SUCCESS,237608,OPEN,ap2h0Bf1S5eOjf0YzngyXw
BWaC,1620191819997,3,79219,70869,237658,3.0,0,9,9,0,66,SUCCESS,237658,OPEN,u0N1hcgfSzKwvKdv4qGB5A
catch-me-if-you-can,1619844365891,3,79528,65323,238585,10.333333333333334,0,31,31,3,67,SUCCESS,238585,OPEN,BFj_NwrkQlypx1MsRMZTow
BingRacer,1620246578557,3,79627,66318,238881,9.333333333333334,0,28,28,0,68,SUCCESS,238881,OPEN,Ga1oz5_qQ-erYi2JA0RHdg
tiantian,1620364019014,3,79925,67134,239775,8.0,0,24,24,3,69,SUCCESS,239775,OPEN,ks6WCSTaTWqL_7SD_q4XIw
glei,1620406791181,3,80421,74144,241265,3.3333333333333335,0,10,10,9,70,SUCCESS,241265,OPEN,kMJ_jS0wSTuFbOad6gBHmg
sanjayd,1620218019875,3,81134,74882,243403,1.6666666666666667,0,5,5,1,71,SUCCESS,243403,OPEN,rQ4HTcwhTcmV2msaGYVhKg
verstappen,1619946297210,3,81787,64080,245363,7.333333333333333,0,22,22,2,72,SUCCESS,245363,OPEN,APy4SQlGQO2i5SBd3tNY9w
KIM,1619845729875,3,81866,72433,245598,3.6666666666666665,0,11,11,5,73,SUCCESS,245598,OPEN,fPwpNMk1QKOdJuDFB12oXA
Lin-Tien-En,1620375760603,3,82374,78594,247123,2.6666666666666665,0,7,8,0,74,SUCCESS,247123,OPEN,9qZMUKK8R-2Ms4JJUsZ4Qw
skr,1620220845919,3,82398,79798,247196,1.3333333333333333,0,4,4,1,75,SUCCESS,247196,OPEN,OC0FK3vbTIGShj0-Md54Nw
brooklyn,1620077912960,3,83021,69137,249063,3.6666666666666665,0,10,11,0,76,SUCCESS,249063,OPEN,B-kOIKQ-SXSZm8dZ1m--0Q
Xin,1620367122710,3,83558,63475,250674,9.333333333333334,0,28,28,0,77,SUCCESS,250674,OPEN,1Cj9Q7aDSKemGRMv0hqm0Q
Danizumi,1619858566419,3,83779,74606,251337,2.6666666666666665,0,8,8,0,78,SUCCESS,251337,OPEN,nKPueyBrRiOpzupco4aTvA
CMH-DeepRacer-004,1620132176699,3,84107,77658,252323,3.3333333333333335,0,10,10,6,79,SUCCESS,252323,OPEN,1fecd68ded4342dfb484ced07d1b4cc2
nri-digiarch-t-maeda,1620050934528,3,84157,68283,252473,4.333333333333333,0,12,13,0,80,SUCCESS,252473,OPEN,WCcqT1KiRWKAj2xZF5ZLEQ
Kira726,1620048583533,3,84608,76150,253826,3.3333333333333335,0,10,10,0,81,SUCCESS,253826,OPEN,gqDIJzx9Toq3pVqvbTn_wQ
Mercedes-AMG-F1,1620386647200,3,84792,72814,254376,7.0,0,21,21,7,82,SUCCESS,254376,OPEN,DOR7kmXXSZOHL0ixLnGtmA
Claptrap,1620248946841,3,85088,80134,255265,2.0,0,5,6,2,83,SUCCESS,255265,OPEN,E2ylMwODQwCph4cdHKlBFA
Pivotal-Test,1620181135518,3,85201,77137,255603,2.3333333333333335,0,7,7,1,84,SUCCESS,255603,OPEN,LFnp-66FQqy3xHk5fI_dmw
WTF,1619844601631,3,85327,75527,255982,4.666666666666667,0,14,14,0,85,SUCCESS,255982,OPEN,--ucO1A2TxCMsRmCzoLkSQ
TheBaller,1620341495454,3,85445,75876,256336,8.666666666666666,0,26,26,0,86,SUCCESS,256336,OPEN,R2yGxaKgTPyI75bpXk3vbg
