Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
JPMC-TeamOne-BuenosAires,1621812515815,3,22327,21737,66983,0.0,0,0,0,80,1,SUCCESS,66983,OPEN,Fy8bvUIzSN-N-e3D74JhPw
Rezso-ShallowMind,1622499534903,3,25329,24543,75987,0.0,0,0,0,11,2,SUCCESS,75987,OPEN,dwgMw5QySEO1qh2lftRTOA
edxtore,1621911463986,3,26110,25268,78331,0.0,0,0,0,40,3,SUCCESS,78331,OPEN,yeSm5eOeTWaSr3dxJfkLRg
Otaboroid,1621689626813,3,26373,25335,79119,0.0,0,0,0,160,4,SUCCESS,79119,OPEN,UZOXxzgqTEq-U_FlPY-vGQ
svenus,1620376317485,3,28706,27078,86118,0.3333333333333333,0,1,1,61,5,SUCCESS,86118,OPEN,215c266da23b4ca8a0c92w
Bandi-ShallowMind,1622478678784,3,28838,25526,86514,0.6666666666666666,0,2,2,5,6,SUCCESS,86514,OPEN,YJiS57vXT3azuaFuG5gIXw
mz-sin,1620974368243,3,29816,29722,89450,0.0,0,0,0,26,7,SUCCESS,89450,OPEN,V_-z1UM_TrmwBoWvNhmx_g
Kapricosky,1621955680157,3,30352,29549,91058,0.0,0,0,0,3,8,SUCCESS,91058,OPEN,dc71e28f8db941e5899abQ
Dzmitry,1620480723551,3,34239,30816,102717,1.6666666666666667,0,5,5,57,9,SUCCESS,102717,OPEN,oqebWoqpT3GamreDvNarOA
Aurora-DNPds,1621828817567,3,35324,32944,105972,1.3333333333333333,0,4,4,40,10,SUCCESS,105972,OPEN,26fba66bedca4aa3bca47w
myfirstcar,1621906635297,3,35950,30460,107851,2.0,0,6,6,53,11,SUCCESS,107851,OPEN,zC-C_M_5SYit7JYA-u_hsA
TimChan-HongKong,1622047335483,3,36706,30333,110120,2.0,0,6,6,4,12,SUCCESS,110120,OPEN,2vn0l5VNQSuf2x7mTj8I3A
BambooClaw,1622503868056,3,36793,33394,110381,1.6666666666666667,0,5,5,30,13,SUCCESS,110381,OPEN,NDznrBdfRFeRPwxRb7ZcTw
Polaris-DNPds,1620716309153,3,39513,38203,118540,1.0,0,3,3,2,14,SUCCESS,118540,OPEN,2617874c942840f0a2fdbQ
BrilliantDragon,1619903409898,3,39528,34399,118584,1.0,0,3,3,0,15,SUCCESS,118584,OPEN,jv_Q3xr0TdKdNM1dJW_RfQ
LeadingAI,1622353572259,3,39865,39320,119597,0.0,0,0,0,1,16,SUCCESS,119597,OPEN,VP5wwaH5T4GciaMX2ocEvQ
Box-Box-Box,1621902470875,3,40177,36942,120531,2.6666666666666665,0,8,8,88,17,SUCCESS,120531,OPEN,0itmtHgYTWCuMeC8tkq38g
phu,1621446664272,3,40244,37600,120733,0.3333333333333333,0,1,1,70,18,SUCCESS,120733,OPEN,1ciqawafTmegDwHkgu7OXQ
mansoor,1621083640044,3,40508,30999,121525,2.3333333333333335,0,7,7,36,19,SUCCESS,121525,OPEN,WyTD5SnWTVCei-hwnXd7yw
THE-REAL-GODZILLA,1620880129532,3,40748,37324,122244,0.6666666666666666,0,2,2,99,20,SUCCESS,122244,OPEN,Yg-dSMjJQhmgstF4Hg1Bpg
Talladega-Nights,1622420717011,3,40951,36635,122853,2.0,0,6,6,8,21,SUCCESS,122853,OPEN,0D-H6a5lSCiBmuK05Y_c3A
Ash-DNPds,1622160564553,3,41265,37643,123796,2.6666666666666665,0,8,8,5,22,SUCCESS,123796,OPEN,9aced9109a634d11a3134w
JennerBrandon,1621339245979,3,42535,40316,127606,2.6666666666666665,0,8,8,15,23,SUCCESS,127606,OPEN,rio_ebnHTmmcGBwlE0-Igw
JPMC-Vega-Hyderabad,1622311079555,3,42667,40723,128002,0.3333333333333333,0,1,1,29,24,SUCCESS,128002,OPEN,yQSFail2SLGaFehqTOx1dA
mymymyracer,1622477627941,3,42910,42205,128732,1.0,0,3,3,30,25,SUCCESS,128732,OPEN,DbSnBsOGQXiRUsiN5WIBBA
testmiya,1621829988284,3,43196,36729,129590,2.3333333333333335,0,7,7,46,26,SUCCESS,129590,OPEN,0Ur8a4S4QsKjOwmL52kG9g
1first,1621841654469,3,43730,41918,131192,1.3333333333333333,0,4,4,27,27,SUCCESS,131192,OPEN,kgy3t2qLQXGXu0ygciPNEA
Turtoise,1622070339542,3,43955,36206,131865,3.3333333333333335,0,10,10,10,28,SUCCESS,131865,OPEN,jifSl_V2RSeATjlXHYjD6g
