Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,UserId
JJ,1609365208453,3,20481,19878,61443,0.0,0,0,0,5424,1,SUCCESS,61443,afdcX_4vRH6Ussd0mbg5LQ
Kuei-NCTU-CGI,1608570970741,3,21583,20519,64751,0.0,0,0,0,3,2,SUCCESS,64751,uIHQTGm4QtWGei52HqkUvQ
Duckworth,1608796264409,3,21987,21263,65963,0.0,0,0,0,1117,3,SUCCESS,65963,VIu9BQ4-Th6gUqu60ztwUQ
DBro,1609089107028,3,23171,22807,69515,0.0,0,0,0,5423,4,SUCCESS,69515,jEkEOpjZRhGUbyDZIfTo_A
dartjason,1607691644756,3,23494,22942,70483,0.0,0,0,0,427,5,SUCCESS,70483,JSflDq5rQgKEuA5Ots4kDQ
Karl-NAB,1607831118454,3,24448,24187,73344,0.0,0,0,0,6269,6,SUCCESS,73344,4vOOxLIsSjeL2WFaO5o_fQ
Yxcas-DBS,1609144762031,3,24738,24267,74216,0.0,0,0,0,1967,7,SUCCESS,74216,NdVUBlBJRqiz_zbY7Xn-2g
IcePandaBoom,1608074367432,3,25189,24660,75568,0.0,0,0,0,116,8,SUCCESS,75568,BTPWujqqTBOWGAFvEKyRaA
Deepak-dpk,1609109526669,3,25193,24674,75579,0.0,0,0,0,348,9,SUCCESS,75579,gDTBFK77TM6wD6uObZlulA
Ernesto,1609387776353,3,25655,24309,76966,0.0,0,0,0,1266,10,SUCCESS,76966,8zBEAp0-S5yGbcZvytGZGQ
Robin-Castro,1607213110764,3,27793,26334,83381,0.0,0,0,0,5336,11,SUCCESS,83381,qaH8R2-8TlG79mslpdPfGg
CGS-LargeLattice,1609409823659,3,28018,26047,84056,0.3333333333333333,0,1,1,79,12,SUCCESS,84056,o6NgljsnTOOelVAsofMR3g
AJM-Model-1,1609286371188,3,29651,27333,88953,0.3333333333333333,1,0,1,1761,13,SUCCESS,88953,gdsU9bkGRWW7LTEHP4rGgQ
Rezso-ShallowMind,1607192132863,3,30477,27590,91431,0.6666666666666666,1,1,2,8,14,SUCCESS,91431,dwgMw5QySEO1qh2lftRTOA
Keaton,1606928890639,3,33585,30580,100755,0.6666666666666666,2,0,2,5,15,SUCCESS,100755,pqS3RXTyQXGkMiQtDw3xrw
Jochem,1608841252672,3,33861,26927,101584,1.3333333333333333,3,1,4,69,16,SUCCESS,101584,RBPhZc5eTVmEF_gpSV7skg
JPMC-Rogue-Hyderabad,1609418384365,3,35762,32855,107286,1.6666666666666667,5,0,5,539,17,SUCCESS,107286,LKdw_hyKTSu7moFuxbmiZw
PolishThunder,1608808867891,3,37379,33592,112138,1.6666666666666667,3,2,5,2919,18,SUCCESS,112138,qi512oGVTry8V-KtP6j2_w
JPMC-DriftKing-Houston,1609259150199,3,38712,34921,116138,2.6666666666666665,8,0,8,27,19,SUCCESS,116138,fngewpiZSZm11yX7YgwnMA
JPMC-RogerRabbit,1606877992468,3,39430,30610,118291,2.6666666666666665,7,1,8,2,20,SUCCESS,118291,DXXOncNRR1iiqhBvpPO-_A
GT-DevelopersIO,1608902328687,3,39597,39148,118791,3.0,9,0,9,16,21,SUCCESS,118791,8WSp4P7ZRn-jJgZLnugwkA
nalbam-me,1606816060033,3,40326,34208,120980,2.0,4,2,6,168,22,SUCCESS,120980,PnRru4vBRkeyT4xX6LOCtw
S-P-,1607141607713,3,41076,37325,123229,2.6666666666666665,4,4,8,99,23,SUCCESS,123229,MxT5p4ZvSTOcc6ANa8VZNg
Mentaiko-DevelopersIO,1609409335672,3,43387,37476,130163,2.0,4,2,6,1742,24,SUCCESS,130163,Wt5C8BPAS0OPlzY3-txb-w
Breadcentric,1607195325609,3,44601,33266,133805,2.0,5,1,6,3,25,SUCCESS,133805,SjNec5b-SpOk7y9b6rh4KQ
