Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
Mentaiko-DevelopersIO,1661992072779,3,31539,28082,94617,2.3333333333333335,1,6,7,2,1,SUCCESS,94617,PRO,Wt5C8BPAS0OPlzY3-txb-w
JJ,1661993690174,3,31564,28260,94694,2.3333333333333335,3,3,7,1,2,SUCCESS,94694,PRO,afdcX_4vRH6Ussd0mbg5LQ
PITS-1,1661991668816,3,33116,28072,99349,2.3333333333333335,2,5,7,3,3,SUCCESS,99349,PRO,CThkSPLERtyRM5OptykzEQ
Tomorrowland-Speedway,1661992338048,3,35705,30876,107117,2.0,1,5,6,6,4,SUCCESS,107117,PRO,AuyCOezGRKOT-zoMo85Ekg
Everest-DNPds,1661991984420,3,43108,38604,129326,3.3333333333333335,4,6,10,1,5,SUCCESS,129326,PRO,13eb4731e0c1457ca4d7dw
API-PitCrew-Sam-Robley,1661991685838,3,43224,42209,129674,3.0,5,4,9,1,6,SUCCESS,129674,PRO,CNyHobvwQ4-ha7Rzm_45yA
maaaaaa-BIP,1661992035690,3,45309,41200,135928,3.3333333333333335,6,4,10,1,7,SUCCESS,135928,PRO,Ec673ByzRPa8VEy3CzYQZg
Bucknell-Eric-dev,1661991834136,3,47783,44685,143350,5.0,4,11,15,2,8,SUCCESS,143350,PRO,pMo7RWCKQruBLNMWexNEZg
teamFerrari#3382,1661991790133,3,49509,46732,148529,7.666666666666667,2,21,23,1,9,SUCCESS,148529,PRO,OPkzEVprQm29VDZXlnAFNw
CloudySkies,1661991994729,3,52708,49535,158124,5.0,7,8,15,1,10,SUCCESS,158124,PRO,Pcxmq3rARA6f7Eywvqz-fg
VurnKambal,1661994239188,3,54577,50938,163731,9.0,3,24,27,1,11,SUCCESS,163731,PRO,rFls1ImYQjyVCfQ5Q3St4w
KWON,1661994008540,3,58136,53310,174408,7.333333333333333,7,15,22,1,12,SUCCESS,174408,PRO,DplPbQepT5iDPJ0_iSmzHg
Pepe,1661992860644,3,58575,52190,175726,4.0,7,5,12,2,13,SUCCESS,175726,PRO,p5pTP2CIRkuyIth7VUeMFw
pradeepr,1661991699447,3,58666,54063,175998,8.333333333333334,1,24,25,1,14,SUCCESS,175998,PRO,dcZsVINVTFO9AfLCvg92MA
KingSoftGOGOGO,1661993625463,3,62183,57804,186550,6.333333333333333,14,5,19,1,15,SUCCESS,186550,PRO,fPHZbLSnRQKNlv_YYI20Nw
freighty,1661993535024,3,103176,91459,309529,21.333333333333332,10,54,64,1,16,SUCCESS,309529,PRO,rCFBUGEOQs6oEIpcD-4Ucg
