Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
ZhengYi-NYCU-CGI,1664296501774,3,17683,17321,53049,0.0,0,0,0,2790,1,SUCCESS,53049,PRO,qY4J9IzvQS6a1N-KZXwviA
rosscomp1,1664345138693,3,17841,17407,53524,0.0,0,0,0,3952,2,SUCCESS,53524,PRO,fb0d597a87f94697aa1c6w
JJ,1663840716423,3,17844,17465,53534,0.0,0,0,0,7456,3,SUCCESS,53534,PRO,afdcX_4vRH6Ussd0mbg5LQ
Yi-LI-NYCU-CGI,1663923476604,3,17865,17541,53597,0.0,0,0,0,1654,4,SUCCESS,53597,PRO,jrJHq8pZQAyj4gGqMw8-DQ
Yoway-NYCU-CGI,1664366773043,3,17972,17650,53918,0.0,0,0,0,161,5,SUCCESS,53918,PRO,1fBE9Y-DR4aOhdY6ydu-rA
JPMC-BA-D3,1664266577296,3,18357,17862,55071,0.0,0,0,0,1206,6,SUCCESS,55071,PRO,Fy8bvUIzSN-N-e3D74JhPw
TimC,1664478120549,3,18459,18000,55379,0.0,0,0,0,452,7,SUCCESS,55379,PRO,5uT4nmOrSdWr814lPIdrGg
TonyJ,1663418527164,3,18600,18338,55802,0.0,0,0,0,6519,8,SUCCESS,55802,PRO,af962be5a4ed4c57af807w
LeadingAI,1664474066997,3,18617,18203,55853,0.0,0,0,0,66,9,SUCCESS,55853,PRO,VP5wwaH5T4GciaMX2ocEvQ
Duckworth,1663297326147,3,18664,18271,55992,0.0,0,0,0,4276,10,SUCCESS,55992,PRO,VIu9BQ4-Th6gUqu60ztwUQ
JPMC-BMTH-CTRL-PLUS-SPEED,1664299622306,3,18754,18336,56262,0.0,0,0,0,778,11,SUCCESS,56262,PRO,TSoego0RTCazPagbkqTnlw
Ernesto-PhilJ,1663179843552,3,18775,18525,56325,0.0,0,0,0,2435,12,SUCCESS,56325,PRO,8zBEAp0-S5yGbcZvytGZGQ
JPMC-MUMBAI-FormulaAI,1663356120064,3,18864,18611,56592,0.0,0,0,0,2838,13,SUCCESS,56592,PRO,Gx2StgEoSza3Gxxo4Oghug
