Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
dartjason,1662994009924,1,23538.0,23538.0,174975.0,0.14285714285714285,0,1,1,1,1,SUCCESS,23538,OPEN,JSflDq5rQgKEuA5Ots4kDQ
Deepak-dpk,1662990643117,1,23731.0,23731.0,159662.0,0.6666666666666666,0,4,4,1,2,SUCCESS,23731,OPEN,gDTBFK77TM6wD6uObZlulA
JPMC-MUMBAI-FormulaAI,1662993096419,1,23930.0,23930.0,148427.0,0.0,0,0,0,1,3,SUCCESS,23930,OPEN,Gx2StgEoSza3Gxxo4Oghug
Ensono-Ernesto,1662999108932,1,24389.0,24389.0,161060.0,1.8,3,6,9,1,4,SUCCESS,24389,OPEN,8zBEAp0-S5yGbcZvytGZGQ
JPMC-DriftKing-Houston,1662997110241,1,25194.0,25194.0,165325.0,1.6,5,3,8,1,5,SUCCESS,25194,OPEN,fngewpiZSZm11yX7YgwnMA
JPMC-TeamOne-BuenosAires,1662990186816,1,28265.0,28265.0,139058.0,2.5,9,1,10,1,6,SUCCESS,28265,OPEN,Fy8bvUIzSN-N-e3D74JhPw
JPMC-RogerRabbit-Houston,1662999397804,1,28861.0,28861.0,171662.0,1.4,3,4,7,1,7,SUCCESS,28861,OPEN,TSoego0RTCazPagbkqTnlw
ZoD,1662997957742,1,33339.0,33339.0,165375.0,4.25,4,12,17,1,8,SUCCESS,33339,OPEN,TFtvCas4TRWchrBPMyGh0A
DaVinciDriver,1662993411041,1,38397.0,38397.0,168288.0,1.0,4,0,4,1,9,SUCCESS,38397,OPEN,XtzXYz2pRByDnXz90XNGSw
ferrite,1662998535979,1,41660.0,41660.0,160704.0,4.333333333333333,11,2,13,1,10,SUCCESS,41660,OPEN,SRAgn9lMTCmIjaBREP7hxA
ZhengYi-NYCU-CGI,1662993026558,1,47599.0,47599.0,165721.0,7.666666666666667,4,19,23,1,11,SUCCESS,47599,OPEN,qY4J9IzvQS6a1N-KZXwviA
Yi-LI-NYCU-CGI,1662997679225,1,51541.0,51541.0,164265.0,7.0,4,17,21,1,12,SUCCESS,51541,OPEN,jrJHq8pZQAyj4gGqMw8-DQ
IVECloud-JerryKcLee,1662991985369,1,54198.0,54198.0,149133.0,11.5,15,8,23,1,13,SUCCESS,54198,OPEN,BMjoJ3L7ShGsF5gA1lHdkw
Yoway-NYCU-CGI,1662992903757,1,56337.0,56337.0,116066.0,8.5,4,13,17,1,14,SUCCESS,56337,OPEN,1fBE9Y-DR4aOhdY6ydu-rA
Doug-Racer,1662991877584,0,,,,0.0,0,0,0,1,15,SUCCESS,9223372036854775785,OPEN,1R021ZoDQrqxSUiHfBvyEw
barkingdog,1662992936033,0,,,,0.0,0,0,0,1,16,SUCCESS,9223372036854775786,OPEN,b3960b6c6f58458880ceew
