Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
dartjason,1662999715061,1,23470.0,23470.0,176997.0,0.2857142857142857,0,2,2,2,1,SUCCESS,23470,OPEN,JSflDq5rQgKEuA5Ots4kDQ
Deepak-dpk,1662999727629,1,23666.0,23666.0,161342.0,0.8333333333333334,0,5,5,2,2,SUCCESS,23666,OPEN,gDTBFK77TM6wD6uObZlulA
ZoD,1662999735075,1,23741.0,23741.0,164594.0,0.8333333333333334,1,4,5,2,3,SUCCESS,23741,OPEN,TFtvCas4TRWchrBPMyGh0A
JPMC-MUMBAI-FormulaAI,1662993096419,1,23930.0,23930.0,148427.0,0.0,0,0,0,2,4,SUCCESS,23930,OPEN,Gx2StgEoSza3Gxxo4Oghug
Ensono-Ernesto,1662999722087,1,24333.0,24333.0,172189.0,2.4,2,10,12,2,5,SUCCESS,24333,OPEN,8zBEAp0-S5yGbcZvytGZGQ
JPMC-DriftKing-Houston,1662999803170,1,24669.0,24669.0,175327.0,0.8333333333333334,5,0,5,2,6,SUCCESS,24669,OPEN,fngewpiZSZm11yX7YgwnMA
JPMC-BA-D3,1662990186816,1,28265.0,28265.0,139058.0,2.5,9,1,10,2,7,SUCCESS,28265,OPEN,Fy8bvUIzSN-N-e3D74JhPw
JPMC-BMTH-CTRL-PLUS-SPEED,1662999397804,1,28861.0,28861.0,171662.0,1.4,3,4,7,2,8,SUCCESS,28861,OPEN,TSoego0RTCazPagbkqTnlw
ferrite,1662999734587,1,37268.0,37268.0,159408.0,2.0,3,5,8,2,9,SUCCESS,37268,OPEN,SRAgn9lMTCmIjaBREP7hxA
DaVinciDriver,1662993411041,1,38397.0,38397.0,168288.0,1.0,4,0,4,2,10,SUCCESS,38397,OPEN,XtzXYz2pRByDnXz90XNGSw
ZhengYi-NYCU-CGI,1662993026558,1,47599.0,47599.0,165721.0,7.666666666666667,4,19,23,1,11,SUCCESS,47599,OPEN,qY4J9IzvQS6a1N-KZXwviA
Off-track,1662999714685,1,49644.0,49644.0,166370.0,8.333333333333334,10,15,25,2,12,SUCCESS,49644,OPEN,1R021ZoDQrqxSUiHfBvyEw
Yi-LI-NYCU-CGI,1662997679225,1,51541.0,51541.0,164265.0,7.0,4,17,21,1,13,SUCCESS,51541,OPEN,jrJHq8pZQAyj4gGqMw8-DQ
JerryLee,1663000064367,1,52799.0,52799.0,171659.0,7.333333333333333,8,14,22,2,14,SUCCESS,52799,OPEN,BMjoJ3L7ShGsF5gA1lHdkw
Yoway-NYCU-CGI,1662992903757,1,56337.0,56337.0,116066.0,8.5,4,13,17,1,15,SUCCESS,56337,OPEN,1fBE9Y-DR4aOhdY6ydu-rA
barkingdog,1662992936033,0,,,,0.0,0,0,0,2,16,SUCCESS,9223372036854775786,OPEN,b3960b6c6f58458880ceew
