Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
VaultDweller-DRD,1648827765567,3,22425,21138,67276,0.3333333333333333,0,1,1,10,1,SUCCESS,67276,OPEN,nSIL5R3HT9WNaLOcWPAGqw
IcemanTaylor,1648805341516,3,23798,23662,71395,0.0,0,0,0,6,2,SUCCESS,71395,OPEN,snHaoM1HQ26NW1rMO2MRFQ
Beepbeep,1648813738840,3,24665,20327,73996,1.0,0,3,3,13,3,SUCCESS,73996,OPEN,-4CPejZHT9KopVFZAMbDoQ
HK-OscarYCL,1648839554523,3,25065,23734,75197,1.3333333333333333,0,4,4,1,4,SUCCESS,75197,OPEN,F8tshW6ATxihG5g2aXq0sQ
falcon27,1648801012680,3,25894,22663,77682,0.6666666666666666,0,2,2,5,5,SUCCESS,77682,OPEN,PXoWqK4cQIGYD_iubjJ-rw
EsteemedError#4718,1648811476790,3,26039,22264,78118,0.6666666666666666,0,2,2,1,6,SUCCESS,78118,OPEN,AaKmtABzSTWrnNJ7XnXfqw
BangBangBoom,1648819526455,3,26129,25935,78389,0.0,0,0,0,11,7,SUCCESS,78389,OPEN,nb9nCnRqTCm-HJXIgJ0V5A
AsynchronousRequirements#1377,1648797804463,3,26265,24747,78796,2.3333333333333335,0,7,7,8,8,SUCCESS,78796,OPEN,N6OzH-WqSiKNSlnJu3FN2Q
ASCIIDocumentation#5972,1648829951003,3,26419,25595,79258,0.0,0,0,0,3,9,SUCCESS,79258,OPEN,4WgpazINRpS1KD3yKMjkrA
Ghent,1648791353038,3,26510,26335,79530,0.0,0,0,0,8,10,SUCCESS,79530,OPEN,txb6JdIURCqDtslO3LMfqA
Karsh,1648804002265,3,26972,26450,80918,0.0,0,0,0,6,11,SUCCESS,80918,OPEN,CxyJheTSQd-j1p11QOJICA
GretaStojanovic,1648797325459,3,27107,26800,81323,0.0,0,0,0,2,12,SUCCESS,81323,OPEN,1OgFB4ngRfSUusiorOCD5Q
ericmckevitt,1648799717868,3,27375,26803,82125,0.0,0,0,0,29,13,SUCCESS,82125,OPEN,27BmuKHTSAOpMAXJhwTXpQ
PathingDescriptor#9412,1648804875963,3,27377,26191,82133,0.3333333333333333,0,1,1,1,14,SUCCESS,82133,OPEN,cHVCvPr7S_OzrYlVcfS6RQ
ConnectedByte#6363,1648806179195,3,27751,27463,83254,0.0,0,0,0,5,15,SUCCESS,83254,OPEN,mUIBp7z7SgCdqw5Yr9tHqg
AutonoCar,1648781766185,3,27753,27268,83260,0.0,0,0,0,2,16,SUCCESS,83260,OPEN,o-nFUhneQZevp7ytES991A
qnet1,1648806902647,3,27983,26600,83950,1.3333333333333333,0,4,4,52,17,SUCCESS,83950,OPEN,ndHmswy4RUa6R8LcyvrxOA
Shobha#TeamResolute,1648785260320,3,28153,27530,84460,0.0,0,0,0,2,18,SUCCESS,84460,OPEN,rnFKh-QnQEmTCG0a8bknnw
Warren#2810,1648778834463,3,28153,25271,84461,1.6666666666666667,0,5,5,1,19,SUCCESS,84461,OPEN,mRZ1PvMUTKeBjxqPKIBLmA
epikjynxsp2t,1648852460577,3,28418,28133,85254,0.0,0,0,0,4,20,SUCCESS,85254,OPEN,wk4YBDTtSfSG2WsY5p4ngA
AccessibleUpgrade#7389,1648832990508,3,28893,24738,86679,1.0,0,3,3,2,21,SUCCESS,86679,OPEN,hKLC9u1iSQO12-X2xVyI5g
CrypticBuster#0966,1648842233793,3,29198,24936,87596,2.3333333333333335,0,7,7,1,22,SUCCESS,87596,OPEN,v0kiN6GlT3mwMOcI2RA4Qw
FiniteToken#0706,1648826506825,3,29597,29266,88791,2.0,0,6,6,4,23,SUCCESS,88791,OPEN,8S97knVbQHyfKcVJIZ609A
Shanialynn-Harvard-1,1648786804211,3,29775,28331,89326,3.3333333333333335,0,10,10,2,24,SUCCESS,89326,OPEN,UQhA1eS_TdaozGwiAf7hiA
RacerA,1648782446587,3,30152,27856,90457,0.6666666666666666,0,2,2,1,25,SUCCESS,90457,OPEN,cyQzuFD1TRCB_uA4oQRAaQ
FANGIO,1648786700356,3,30308,29995,90925,0.0,0,0,0,2,26,SUCCESS,90925,OPEN,KxhpaAGxS_yI-phsf0XHCQ
EmmaT,1648835864589,3,30406,30061,91220,1.0,0,3,3,2,27,SUCCESS,91220,OPEN,OP_NlJh3RP-LtGiemdJgBA
MT-Yt,1648816666888,3,30647,28869,91943,0.3333333333333333,0,1,1,5,28,SUCCESS,91943,OPEN,Qpq57kKXTtOJjINrxXktOA
RobotGlyph#5663,1648800479201,3,31087,30864,93262,0.0,0,0,0,3,29,SUCCESS,93262,OPEN,1FrQxlCtR5OLtVQH6p7SDg
Gowtham-chand-DTCC,1648802698664,3,31131,30409,93395,0.0,0,0,0,5,30,SUCCESS,93395,OPEN,YIsc1hyQTOuT1m4gyJ-sMw
PassingBrackets#0493,1648823075182,3,31154,29602,93464,0.6666666666666666,0,2,2,1,31,SUCCESS,93464,OPEN,cgBuqw4-TiODPMZKU8v6Rg
PathingPackage#9590,1648796755700,3,31465,30871,94395,0.0,0,0,0,2,32,SUCCESS,94395,OPEN,YFDK5YkDTFSORXXyUhPF-Q
KarenTsui-coolman,1648824553517,3,31752,31005,95256,0.0,0,0,0,1,33,SUCCESS,95256,OPEN,LWV5TvTHTP-Qxr6mf478Tg
ShallowLoafing,1648834782479,3,32023,28871,96070,2.0,0,6,6,4,34,SUCCESS,96070,OPEN,hWSsUOcERMy3LIY2pgH9og
DDL,1648787809697,3,32345,32001,97035,0.0,0,0,0,3,35,SUCCESS,97035,OPEN,epr4YLAfSXSGTzZYjvvpow
PrincessNectarine,1648839845317,3,32531,32133,97595,0.0,0,0,0,1,36,SUCCESS,97595,OPEN,jG6c219STD2adfILwjKqOA
Group4-VT,1648786544049,3,32551,31326,97653,0.3333333333333333,0,1,1,10,37,SUCCESS,97653,OPEN,9HYXSIEATzqyePtncHIoDg
GWCRock,1648792980392,3,32688,30051,98064,0.6666666666666666,0,2,2,17,38,SUCCESS,98064,OPEN,eiEeSikMQv-FCM-N_L9KwA
CompleteConsole#0398,1648813624452,3,32751,31869,98253,0.0,0,0,0,3,39,SUCCESS,98253,OPEN,IV5d35RhRv2zqzCVd0Ky5w
BenEley,1648800783062,3,33064,30398,99193,1.6666666666666667,0,5,5,1,40,SUCCESS,99193,OPEN,qcgy2LL2SfyOaJE3_MVZXw
PathingBreaker#8749,1648781689014,3,33710,31140,101130,2.6666666666666665,0,8,8,1,41,SUCCESS,101130,OPEN,mVHZuh39SVuCDCvjc2lqtw
ABBIE#1819,1648798652797,3,34888,33332,104666,0.3333333333333333,0,1,1,5,42,SUCCESS,104666,OPEN,Hel10a0lTaKEXZRCzHwNAg
PassingString#3249,1648776836092,3,35043,31859,105129,5.0,0,15,15,2,43,SUCCESS,105129,OPEN,6IiIrJeSReu963mmxBubmA
LiuhanHuangdou,1648816092482,3,35075,32802,105225,0.6666666666666666,0,2,2,2,44,SUCCESS,105225,OPEN,z8RLjpW7SV6dl-dJEq9YRg
Edward,1648853704221,3,35264,32333,105793,0.3333333333333333,0,1,1,3,45,SUCCESS,105793,OPEN,ee53cf75d014490792643Q
xavtidus-aws-regional-sa,1648783722181,3,35265,33136,105795,0.3333333333333333,0,1,1,1,46,SUCCESS,105795,OPEN,V-mo5YvOTmmWw9v1rOz5Bw
AgileObject#6145,1648816144075,3,35683,32794,107051,1.0,0,3,3,1,47,SUCCESS,107051,OPEN,ikwuijTIRLGo054GORy5lw
RyanPang101SP2SD,1648789646899,3,35910,29130,107730,2.3333333333333335,0,7,7,3,48,SUCCESS,107730,OPEN,e8XfzZYJTlWHAW0SoJc2AQ
Michael2314,1648783346749,3,36064,32534,108194,4.666666666666667,0,14,14,1,49,SUCCESS,108194,OPEN,gRbLBHb9Rsuu84Ak1cupQg
AtomicArray#9797,1648832134306,3,36442,34726,109326,0.3333333333333333,0,1,1,1,50,SUCCESS,109326,OPEN,VRR17fU3SW2cGs7eLsoFkg
FunctionalNumber#8326,1648802381137,3,37087,33793,111263,5.0,0,15,15,3,51,SUCCESS,111263,OPEN,NwyASN7dQu6vkl-j6Atcbg
ParametricLoop#6073,1648850521177,3,37176,36935,111530,0.0,0,0,0,1,52,SUCCESS,111530,OPEN,s4wILcd1QVC_smxzrkfi8g
Abhi-Bolt,1648792983101,3,38888,38601,116666,5.0,0,15,15,1,53,SUCCESS,116666,OPEN,n3EtQyinT5ypMHGvPh66pg
CrypticUpdate#7590,1648842999522,3,38955,34468,116866,1.3333333333333333,0,4,4,1,54,SUCCESS,116866,OPEN,LncFdblpT6mRMXIzy_JoMQ
TBIT,1648775985116,3,39286,38999,117859,0.0,0,0,0,3,55,SUCCESS,117859,OPEN,YYMVTpNgRKuqlGw_J3qrhQ
Venkat-S,1648786055541,3,39618,35602,118856,3.0,0,8,9,6,56,SUCCESS,118856,OPEN,Glajxt2bSayFojv-YsYdGw
IntelligentCharacter#6943,1648781158213,3,39728,39716,119184,0.0,0,0,0,1,57,SUCCESS,119184,OPEN,aDITtdXtTBqu7cOtWDoIIQ
