Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
JPMC-BA-D3,1651064511436,3,14795,14526,44387,0.0,0,0,0,80,1,SUCCESS,44387,OPEN,Fy8bvUIzSN-N-e3D74JhPw
JPMC-BMTH-CTRL-PLUS-SPEED,1651358643045,3,14839,14534,44519,0.0,0,0,0,246,2,SUCCESS,44519,OPEN,TSoego0RTCazPagbkqTnlw
mattpurc,1651304348802,3,15021,14739,45063,0.0,0,0,0,3333,3,SUCCESS,45063,OPEN,6Z34CS1gR_y9iNV07S4pjQ
JPMC-Speedy-Gonzales-LATAM,1650647631228,3,15286,15067,45858,0.0,0,0,0,960,4,SUCCESS,45858,OPEN,McOa_W8cTW2EErfZhOoKxA
GetSetGo-in-2022,1650649152256,3,15974,15663,47922,0.0,0,0,0,13,5,SUCCESS,47922,OPEN,mgEKNok2Q96rLisie_kROA
RK,1651358080808,3,15994,15729,47983,0.0,0,0,0,12,6,SUCCESS,47983,OPEN,Yn_XeuCiSxmQ3L6DPFy3Jg
RunTC,1650341298720,3,16241,16002,48725,0.0,0,0,0,42,7,SUCCESS,48725,OPEN,clv2Hy05T-CVlhpBmLPLlw
RDFZ-Liu,1650157114005,3,16242,14672,48728,0.3333333333333333,0,1,1,104,8,SUCCESS,48728,OPEN,7swf876RQXOJ24QIMKhzgw
TBIT,1650356126008,3,16418,15803,49255,0.0,0,0,0,70,9,SUCCESS,49255,OPEN,YYMVTpNgRKuqlGw_J3qrhQ
Yeti,1651235542026,3,16641,16326,49925,0.0,0,0,0,8,10,SUCCESS,49925,OPEN,1SGxAyrnQ96tWb-rolMeBQ
RDFZ-Hail-China,1649250652645,3,16754,16467,50262,0.0,0,0,0,31,11,SUCCESS,50262,OPEN,hJdCxyR0Ryu7Bihp5_br4g
JPMC-Spyder-HongKong,1651195771552,3,16885,16608,50656,0.0,0,0,0,109,12,SUCCESS,50656,OPEN,zKdKXknwQVCObGdEgutObQ
ShibaInu-DevelopersIO,1651203306341,3,16929,16594,50788,0.0,0,0,0,1018,13,SUCCESS,50788,OPEN,q3lEztDGTfSD-GgkF5IgTg
gabrielkoo#HongKong,1651205080904,3,16997,16463,50993,0.0,0,0,0,65,14,SUCCESS,50993,OPEN,ydUnMZutQDmeS4U2pIDYLg
nero-DNPds,1651179131813,3,17061,16667,51183,0.0,0,0,0,62,15,SUCCESS,51183,OPEN,fdqnbHDPSbKcnf8kE5xuMQ
donkeykongslipsonabananapeel-DNPds,1650006886539,3,17421,16662,52263,0.0,0,0,0,1,16,SUCCESS,52263,OPEN,KHwVzXk7RF-UpZvca_jzUg
FlmSenna,1650734401219,3,17597,17397,52792,0.0,0,0,0,34,17,SUCCESS,52792,OPEN,ucb5vqeJRTGxg72-h87r2w
Mentaiko-DevelopersIO,1651191620771,3,17640,16326,52921,0.0,0,0,0,305,18,SUCCESS,52921,OPEN,Wt5C8BPAS0OPlzY3-txb-w
KingWiiWii,1649849053553,3,17774,16534,53322,0.3333333333333333,0,1,1,24,19,SUCCESS,53322,OPEN,fKv4XRS2TcCCzxx9623rOw
TeamPiktiv,1650883093904,3,17798,17270,53394,0.0,0,0,0,9,20,SUCCESS,53394,OPEN,-VfSgZjdQiK3z28_lJWX3Q
BlueBellsBlue,1650625154779,3,17864,16260,53594,0.3333333333333333,0,1,1,37,21,SUCCESS,53594,OPEN,L2eEc5fwRPKHM_nIeNIm6Q
Yifei#2,1649366055259,3,17884,17665,53654,0.0,0,0,0,29,22,SUCCESS,53654,OPEN,kW9QwP7fTXqkofmjOubZ7A
