Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
Benny-LBS,1648335714600,3,13665,13409,40996,0.0,0,0,0,1232,1,SUCCESS,40996,OPEN,t0Bng-o8Q5GGmOkCK3l3ag
NickL,1648139441106,3,13751,13333,41255,0.0,0,0,0,1400,2,SUCCESS,41255,OPEN,O0GALYAoRfGA0kUV6ftgqQ
ADA,1648115873541,3,14015,13535,42046,0.0,0,0,0,688,3,SUCCESS,42046,OPEN,KiqOhQPjTamuBXicXnKGEA
Boltronic,1648487460096,3,14284,13860,42852,0.0,0,0,0,11,4,SUCCESS,42852,OPEN,Q7ydX-9KS3O0Py0QoqqNEA
AIDeepRacer,1646278837285,3,14328,13792,42986,0.0,0,0,0,1,5,SUCCESS,42986,OPEN,pIRbdCx6QYatgVXm2p5GbA
TestableArchitect#8892,1646828277513,3,14887,14608,44662,0.0,0,0,0,25,6,SUCCESS,44662,OPEN,jFi_DcpPTEOf6oQ9V4t2tQ
Duckworth,1646294467960,3,15440,15065,46320,0.0,0,0,0,16,7,SUCCESS,46320,OPEN,VIu9BQ4-Th6gUqu60ztwUQ
Bandwidth-RnD,1648487335834,3,15751,15535,47254,0.0,0,0,0,26,8,SUCCESS,47254,OPEN,77V1kp1kRJCO5D4zgSrqxA
leo-DNPds,1647601131618,3,15763,15274,47291,0.0,0,0,0,19,9,SUCCESS,47291,OPEN,5306ba34dbe645ed8e2bfQ
sneaky-snake,1647108655952,3,16040,15860,48122,0.0,0,0,0,36,10,SUCCESS,48122,OPEN,CNriUfosSoimLGIas6Zglw
iliu,1648163692382,3,16265,16201,48797,0.0,0,0,0,63,11,SUCCESS,48797,OPEN,878c0778e5244d8d99e1aw
Langley,1648095942296,3,16332,15995,48996,0.0,0,0,0,38,12,SUCCESS,48996,OPEN,8JXLSKkhQVin2JwAVdbPzw
Velocity-Theta,1647780700354,3,16419,15872,49257,0.0,0,0,0,144,13,SUCCESS,49257,OPEN,xQnDRDyJQpaGykBcyDfbiw
NeilSimon,1648179392363,3,16419,15859,49258,0.0,0,0,0,84,14,SUCCESS,49258,OPEN,caj3LxcuQz297jcW58Y--Q
IcePandaBoom,1647444205626,3,16420,15867,49261,0.0,0,0,0,80,15,SUCCESS,49261,OPEN,BTPWujqqTBOWGAFvEKyRaA
JJ,1646271580886,3,16552,14937,49657,0.3333333333333333,0,1,1,1,16,SUCCESS,49657,OPEN,afdcX_4vRH6Ussd0mbg5LQ
wl,1647921684824,3,16617,16264,49853,0.0,0,0,0,54,17,SUCCESS,49853,OPEN,RlfzrR7kTaO-cPtZnC--NQ
ZOOM,1647745531846,3,16843,16211,50531,0.0,0,0,0,69,18,SUCCESS,50531,OPEN,CyqjETEUTvGDCkEBGsDskg
JaguarRobotics-Blaze,1648480597495,3,16908,16731,50726,0.0,0,0,0,22,19,SUCCESS,50726,OPEN,JFZUNkIURT2jaHS6Hf5I0Q
Jianlong,1647085644887,3,16929,16739,50787,0.0,0,0,0,94,20,SUCCESS,50787,OPEN,vpsHYdBtSIq__1M9j1R21Q
Technopro#Fujishima,1647962674924,3,17043,16863,51130,0.0,0,0,0,1,21,SUCCESS,51130,OPEN,J7vMmDR0Tk2B9s8dZJnz2A
Velocity-Eta,1647009478298,3,17129,16864,51387,0.0,0,0,0,19,22,SUCCESS,51387,OPEN,vlZ8rKOMTemoqZs551SI5A
scudz,1648142837941,3,17241,17002,51725,0.0,0,0,0,21,23,SUCCESS,51725,OPEN,468fq_k9SRmDBogJCe5cGw
ParametricNumber#5530,1646550563241,3,17263,16730,51790,0.0,0,0,0,140,24,SUCCESS,51790,OPEN,C-CrMbPeRxaRWMjDIHC3uA
Gan,1647270161750,3,17315,16930,51945,0.0,0,0,0,30,25,SUCCESS,51945,OPEN,2CWDfJG2Rp2spT8ENKG33A
tranvietdung-DBS,1647037899756,3,17325,16659,51977,0.0,0,0,0,13,26,SUCCESS,51977,OPEN,3OwVWi6tQDCpBzKpWfHj7Q
AstaRomeo,1648473845690,3,17351,16059,52053,0.0,0,0,0,12,27,SUCCESS,52053,OPEN,ze0VVPonQs-1R3uAR9ga7g
mrRobot,1648132662034,3,17374,17133,52123,0.0,0,0,0,22,28,SUCCESS,52123,OPEN,zDdOcvOLTCyA-BXDf5BM5w
atnmn,1646156556010,3,17410,16937,52231,0.0,0,0,0,198,29,SUCCESS,52231,OPEN,b3960b6c6f58458880ceew
Velocity-Delta,1646550792566,3,17507,17330,52523,0.0,0,0,0,16,30,SUCCESS,52523,OPEN,_bE9PQ8sQlmk7KED8qZAkg
Ash-DNPds,1646297602627,3,17553,17472,52659,0.0,0,0,0,2,31,SUCCESS,52659,OPEN,9aced9109a634d11a3134w
technopro#sakamakikazumi,1647262672404,3,17639,17196,52917,0.0,0,0,0,19,32,SUCCESS,52917,OPEN,iKSelDP9RaKIcpm5KVQ_EA
Fumiaki,1646095308282,3,17659,15660,52977,0.3333333333333333,0,1,1,1,33,SUCCESS,52977,OPEN,5RzBNYRAQoWVausi3eyhRg
BlockchainNotation#3678,1646881838001,3,17705,17198,53117,0.0,0,0,0,21,34,SUCCESS,53117,OPEN,yHzu_MC7S9-U84sRS5J7ag
Shreyasi,1647417964762,3,18065,17398,54195,0.0,0,0,0,12,35,SUCCESS,54195,OPEN,bCy_5iYESeGwCbF5orExPw
ocroucher,1647855331684,3,18151,18068,54455,0.0,0,0,0,54,36,SUCCESS,54455,OPEN,u92WL690Q7GW_NuoMp7RZQ
AccessibleScript#1486,1647438430371,3,18153,17800,54459,0.0,0,0,0,61,37,SUCCESS,54459,OPEN,M9pIf5qlQh-iUjGJpiNaHg
PaloAlto#1095,1646979806480,3,18219,17997,54657,0.0,0,0,0,12,38,SUCCESS,54657,OPEN,67QRyD_OTAG-4sD2l7rdmA
IVECloud-2,1646813701147,3,18344,14998,55032,0.6666666666666666,0,1,2,15,39,SUCCESS,55032,OPEN,y8h1WKVwRBeIp-FduqbxUA
asache3,1647262182268,3,18441,18134,55324,0.0,0,0,0,1,40,SUCCESS,55324,OPEN,izLQOoErQOuXC1ZQJA6voQ
DaVinciDriver,1646154381977,3,18507,18201,55522,0.0,0,0,0,5,41,SUCCESS,55522,OPEN,XtzXYz2pRByDnXz90XNGSw
mumoody,1647966158148,3,18550,18003,55650,0.0,0,0,0,17,42,SUCCESS,55650,OPEN,Vu6_Q6uoSkWs1on19XqbXg
DoomBuggy,1646278964438,3,18798,18531,56394,0.0,0,0,0,2,43,SUCCESS,56394,OPEN,QakV_nzOTm2q_NhqUMwIJw
DannyS,1647074344395,3,18861,18594,56584,0.0,0,0,0,2,44,SUCCESS,56584,OPEN,bdSV6SxWQC6tit-RYNvjyA
livDaliberti,1647470919337,3,18864,17664,56594,0.0,0,0,0,141,45,SUCCESS,56594,OPEN,vcy3kp2SQVOVFpFeCqptzA
ferrite,1646106175024,3,18876,17804,56628,0.3333333333333333,0,1,1,8,46,SUCCESS,56628,OPEN,SRAgn9lMTCmIjaBREP7hxA
Aurora-DNPds,1646099781165,3,18882,16471,56646,0.6666666666666666,0,2,2,2,47,SUCCESS,56646,OPEN,26fba66bedca4aa3bca47w
F1-DevelopersIO,1648128029182,3,18929,18145,56788,0.0,0,0,0,459,48,SUCCESS,56788,OPEN,UzQrKbzfSKyZCEf6eD2PBA
MachineExpression#2135,1646684250032,3,19039,18728,57118,0.0,0,0,0,9,49,SUCCESS,57118,OPEN,A9Crw8m-QwackgWUlWV44w
ish,1648442999629,3,19085,18665,57256,0.0,0,0,0,3,50,SUCCESS,57256,OPEN,z8EVrLqySYGykU2SjupiLg
Zelenskyy,1646763625401,3,19150,18931,57452,0.0,0,0,0,14,51,SUCCESS,57452,OPEN,-OXryNGIRC-nJsNjqbblfw
arcat,1647109904021,3,19243,18929,57729,0.0,0,0,0,44,52,SUCCESS,57729,OPEN,KMCc7wV6TuuSY96-BqHD6w
kimmizian,1647004547025,3,19268,16529,57806,0.6666666666666666,0,2,2,6,53,SUCCESS,57806,OPEN,t6NwFsqgS4mYnFeR3KVxsg
JRF,1646837323573,3,19595,19459,58785,0.0,0,0,0,10,54,SUCCESS,58785,OPEN,ah2hyOG4TyCUQ6WscCtwlw
BetaNetwork#7830,1648148669666,3,19596,17269,58789,0.6666666666666666,0,2,2,3,55,SUCCESS,58789,OPEN,Ad1voZf0QFexqTPA_nIB6w
FuturisticAttention#6067,1646337582486,3,19625,19065,58877,0.0,0,0,0,13,56,SUCCESS,58877,OPEN,CInXZ9CcSYa6tF9cboVGWA
