Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
nickyl,1648752687800,3,13665,13329,40995,0.0,0,0,0,1838,1,SUCCESS,40995,OPEN,O0GALYAoRfGA0kUV6ftgqQ
YukiChen#2022,1648335714600,3,13665,13409,40996,0.0,0,0,0,1561,2,SUCCESS,40996,OPEN,t0Bng-o8Q5GGmOkCK3l3ag
Boltronic,1648556502483,3,13907,13805,41722,0.0,0,0,0,35,3,SUCCESS,41722,OPEN,Q7ydX-9KS3O0Py0QoqqNEA
ADA,1648115873541,3,14015,13535,42046,0.0,0,0,0,688,4,SUCCESS,42046,OPEN,KiqOhQPjTamuBXicXnKGEA
AIDeepRacer,1646278837285,3,14328,13792,42986,0.0,0,0,0,1,5,SUCCESS,42986,OPEN,pIRbdCx6QYatgVXm2p5GbA
TestableArchitect#8892,1646828277513,3,14887,14608,44662,0.0,0,0,0,25,6,SUCCESS,44662,OPEN,jFi_DcpPTEOf6oQ9V4t2tQ
Duckworth,1646294467960,3,15440,15065,46320,0.0,0,0,0,16,7,SUCCESS,46320,OPEN,VIu9BQ4-Th6gUqu60ztwUQ
Bandwidth-RnD,1648759157938,3,15481,15185,46443,0.0,0,0,0,317,8,SUCCESS,46443,OPEN,77V1kp1kRJCO5D4zgSrqxA
leo-DNPds,1647601131618,3,15763,15274,47291,0.0,0,0,0,19,9,SUCCESS,47291,OPEN,5306ba34dbe645ed8e2bfQ
sneaky-snake,1648655753198,3,15863,15533,47591,0.0,0,0,0,41,10,SUCCESS,47591,OPEN,CNriUfosSoimLGIas6Zglw
NeilSimon-PanSup,1648659334536,3,16132,15608,48396,0.0,0,0,0,100,11,SUCCESS,48396,OPEN,caj3LxcuQz297jcW58Y--Q
iliu,1648163692382,3,16265,16201,48797,0.0,0,0,0,71,12,SUCCESS,48797,OPEN,878c0778e5244d8d99e1aw
Langley-BIP,1648095942296,3,16332,15995,48996,0.0,0,0,0,38,13,SUCCESS,48996,OPEN,8JXLSKkhQVin2JwAVdbPzw
IcePandaBoom,1648657603829,3,16352,15604,49056,0.0,0,0,0,140,14,SUCCESS,49056,OPEN,BTPWujqqTBOWGAFvEKyRaA
Peng,1647780700354,3,16419,15872,49257,0.0,0,0,0,144,15,SUCCESS,49257,OPEN,xQnDRDyJQpaGykBcyDfbiw
JJ,1646271580886,3,16552,14937,49657,0.3333333333333333,0,1,1,1,16,SUCCESS,49657,OPEN,afdcX_4vRH6Ussd0mbg5LQ
2022-CN-N-M-Weilai,1647921684824,3,16617,16264,49853,0.0,0,0,0,54,17,SUCCESS,49853,OPEN,RlfzrR7kTaO-cPtZnC--NQ
NO-BARKING,1647745531846,3,16843,16211,50531,0.0,0,0,0,69,18,SUCCESS,50531,OPEN,CyqjETEUTvGDCkEBGsDskg
JaguarRobotics-Blaze,1648480597495,3,16908,16731,50726,0.0,0,0,0,27,19,SUCCESS,50726,OPEN,JFZUNkIURT2jaHS6Hf5I0Q
Jianlong,1647085644887,3,16929,16739,50787,0.0,0,0,0,96,20,SUCCESS,50787,OPEN,vpsHYdBtSIq__1M9j1R21Q
Groovy-DNPds,1648734427017,3,16954,16601,50863,0.0,0,0,0,14,21,SUCCESS,50863,OPEN,a4fb0e167d0e4112942c1Q
Technopro#Fujishima,1647962674924,3,17043,16863,51130,0.0,0,0,0,3,22,SUCCESS,51130,OPEN,J7vMmDR0Tk2B9s8dZJnz2A
mhy19,1647009478298,3,17129,16864,51387,0.0,0,0,0,19,23,SUCCESS,51387,OPEN,vlZ8rKOMTemoqZs551SI5A
BlazingPhoenix,1648620523554,3,17220,16799,51662,0.0,0,0,0,3,24,SUCCESS,51662,OPEN,2GTXW0P1TnmZlrUbpaOWRQ
scudz,1648142837941,3,17241,17002,51725,0.0,0,0,0,29,25,SUCCESS,51725,OPEN,468fq_k9SRmDBogJCe5cGw
ParametricNumber#5530,1646550563241,3,17263,16730,51790,0.0,0,0,0,140,26,SUCCESS,51790,OPEN,C-CrMbPeRxaRWMjDIHC3uA
RDFZ--TAIWAN-IS-A-PART-OF-CHINA,1647270161750,3,17315,16930,51945,0.0,0,0,0,30,27,SUCCESS,51945,OPEN,2CWDfJG2Rp2spT8ENKG33A
tranvietdung-DBS,1647037899756,3,17325,16659,51977,0.0,0,0,0,13,28,SUCCESS,51977,OPEN,3OwVWi6tQDCpBzKpWfHj7Q
AlexanderJones#1,1648723859613,3,17331,16403,51993,0.0,0,0,0,9,29,SUCCESS,51993,OPEN,B0LoW2q1QXmH7QxcxJHPmQ
