Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
Bandwidth-RnD,1628524326429,3,19798,18933,59394,0.0,0,0,0,192,1,SUCCESS,59394,OPEN,77V1kp1kRJCO5D4zgSrqxA
Mufumi-ZA,1627998373324,3,24033,23534,72101,0.0,0,0,0,4,2,SUCCESS,72101,OPEN,zkKRxlH7RH6vsDIwQyuMKw
boltron,1628654299264,3,24509,24131,73528,0.0,0,0,0,5,3,SUCCESS,73528,OPEN,KRAsKfyCQzS6-75EecPwsA
trenner,1628695868131,3,24972,24871,74916,0.0,0,0,0,2,4,SUCCESS,74916,OPEN,0ySuhafOTMCtIJNEJx-B0A
rapirapi,1628756189239,3,25420,23805,76262,0.3333333333333333,0,1,1,9,5,SUCCESS,76262,OPEN,qsYR-A-0S2OHA1cvbeFfSg
paitest,1628198285145,3,26128,25460,78384,0.0,0,0,0,45,6,SUCCESS,78384,OPEN,VhnfGTUPQB2n5R2yg1m6aQ
TenHut,1628679325737,3,26219,22325,78657,0.6666666666666666,0,2,2,4,7,SUCCESS,78657,OPEN,UdSd7Yk7Qju0nEPzjyERRw
CGS-1st-percentile,1628471795084,3,26375,26275,79126,0.0,0,0,0,24,8,SUCCESS,79126,OPEN,bO07gKagTNOeBrl6ttqy0Q
jtrider,1627974043641,3,26421,24610,79265,0.3333333333333333,0,1,1,2,9,SUCCESS,79265,OPEN,vJTdMyygQrShrT-Hh21qfQ
JNguyen13,1628361593595,3,26744,25905,80234,0.0,0,0,0,10,10,SUCCESS,80234,OPEN,KRRWJWFLTfu6JpIm9-cseg
rtakia,1628802769597,3,27682,25341,83047,0.3333333333333333,0,1,1,1,11,SUCCESS,83047,OPEN,BFGBwlLpSuKD5CApnhoFvQ
Crazy8,1628804041426,3,27928,26875,83784,0.0,0,0,0,8,12,SUCCESS,83784,OPEN,Re3z5jL8QrKL-SfB5YxTCg
GerryG,1628501739878,3,28039,25670,84118,1.3333333333333333,0,4,4,4,13,SUCCESS,84118,OPEN,vY94VWhrSFe9JdublfmW6A
TaiwanIsGood,1628578301792,3,29620,26804,88861,1.6666666666666667,0,5,5,7,14,SUCCESS,88861,OPEN,TnTj1GMkQY2WPlGy-xDwMQ
Racer-X-,1628118637174,3,30420,30133,91262,1.0,0,3,3,2,15,SUCCESS,91262,OPEN,Mkt8eDoaToCKEKiZ75Heyw
Mumbai-Racer-6,1627959696438,3,30515,27465,91547,1.3333333333333333,0,4,4,5,16,SUCCESS,91547,OPEN,mvhmcw-ET5igAaFz3O6kGw
lst,1628138973772,3,30715,27119,92147,0.6666666666666666,0,2,2,9,17,SUCCESS,92147,OPEN,RrgbFRRYQAGIwSjuI_xBnw
SamMaki,1628141386381,3,31779,31143,95338,0.0,0,0,0,19,18,SUCCESS,95338,OPEN,C0-IBMKrRMOIZERvmJoJFA
bigdaddydragon,1627970957397,3,31903,30087,95711,0.3333333333333333,0,1,1,20,19,SUCCESS,95711,OPEN,Ln1Tqn9NTUiKK-si4Z9biQ
neelim,1628757021591,3,31961,28335,95884,0.6666666666666666,0,2,2,1,20,SUCCESS,95884,OPEN,eIga_fYXQNO0qR3ZqVJFzw
thjang,1628661205790,3,32361,27473,97085,1.0,0,3,3,15,21,SUCCESS,97085,OPEN,We1ZFdVbQ8uUhngUGJe1-w
pdkpro-07,1627776061702,3,32583,27525,97750,1.0,0,3,3,0,22,SUCCESS,97750,OPEN,ViQgNWQTRruf5eEpHoS4Xw
BLR-2-CodeBots,1628260868936,3,33265,29332,99796,1.6666666666666667,0,5,5,78,23,SUCCESS,99796,OPEN,Igj2rvcYQPiqLSD6Zzkhhw
Rocketzill83,1628663450879,3,33396,24671,100189,1.6666666666666667,0,5,5,30,24,SUCCESS,100189,OPEN,IuAP6cgPTuqbDdVYWbzwyA
LuckyMan,1627849190538,3,33458,26728,100376,1.0,0,3,3,1,25,SUCCESS,100376,OPEN,hbVXmPNNTAGt_ndmy0JCtg
rafaldini,1628653228405,3,34060,32048,102182,1.3333333333333333,0,4,4,2,26,SUCCESS,102182,OPEN,4168ccc2ac31457e9f1e994164c54194
Riolu,1628192042763,3,34190,33272,102572,0.3333333333333333,0,1,1,30,27,SUCCESS,102572,OPEN,5uT4nmOrSdWr814lPIdrGg
yodaa,1627974690061,3,34219,26735,102658,2.3333333333333335,0,7,7,2,28,SUCCESS,102658,OPEN,tNyxzDR0SKCYceiUJvjE0Q
DirectSupply,1628797430436,3,34307,32657,102921,0.3333333333333333,0,1,1,18,29,SUCCESS,102921,OPEN,7042afeb2c594aaab02f1dfb677854c3
QUICK-DeepRacer,1628244023669,3,34572,30072,103718,1.6666666666666667,0,5,5,1,30,SUCCESS,103718,OPEN,a4aqLCXVS4GF5GFQr0gruQ
bobo-selene,1627966729959,3,34646,27638,103939,1.3333333333333333,0,4,4,10,31,SUCCESS,103939,OPEN,02yAJ9V5Qfea8q6Mnb_dWg
EUodia,1628485377367,3,34687,34542,104062,3.0,0,9,9,2,32,SUCCESS,104062,OPEN,-1303lgLT_m-Hv7DWVWwVQ
rapidRacer,1628260121069,3,34958,34684,104875,0.0,0,0,0,68,33,SUCCESS,104875,OPEN,a7S2V2QUTU6tPOYpA8RePQ
RunningMan,1628174241496,3,35062,31999,105186,0.3333333333333333,0,1,1,12,34,SUCCESS,105186,OPEN,e1A0P5pyQmaKTr7RU_d9ag
AITSS-PARADUS-GERRY,1628806978819,3,35086,31959,105258,1.6666666666666667,0,5,5,4,35,SUCCESS,105258,OPEN,SioaTQg3Qxio_gW0hRgbQQ
gogoracer,1628534519314,3,35508,33181,106526,2.6666666666666665,0,8,8,0,36,SUCCESS,106526,OPEN,Nt1vl5CXS_SejtXX14AYwg
kylie-,1628139610895,3,35724,27360,107173,1.3333333333333333,0,4,4,3,37,SUCCESS,107173,OPEN,GB01x2T_QYaMgjv29KELPw
CGS-BigJ,1628082423636,3,35753,35326,107260,0.0,0,0,0,20,38,SUCCESS,107260,OPEN,lQsuYbT4TbmQfsWG58EdvA
