Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
ADA,1630159763330,3,16227,15598,48683,0.0,0,0,0,92,1,SUCCESS,48683,OPEN,KiqOhQPjTamuBXicXnKGEA
Bandwidth-RnD,1628917465006,3,18042,17727,54127,0.0,0,0,0,325,2,SUCCESS,54127,OPEN,77V1kp1kRJCO5D4zgSrqxA
BENGALURU-PLUTO,1629711855230,3,20640,20251,61922,0.0,0,0,0,30,3,SUCCESS,61922,OPEN,FJ2CDWDHTm27SCfHqEpdXQ
Jacky-LeadingAI,1630391240454,3,20864,16987,62592,0.6666666666666666,0,2,2,34,4,SUCCESS,62592,OPEN,G17n-1ZGRomjX-x9WXUvhw
JPMC-MUM-006,1630395201611,3,22004,19924,66013,0.3333333333333333,0,1,1,13,5,SUCCESS,66013,OPEN,mvhmcw-ET5igAaFz3O6kGw
Team-Vulcan,1629079354075,3,22618,22057,67855,0.0,0,0,0,12,6,SUCCESS,67855,OPEN,KcJG0U-KTNe3v_ICCMYDBQ
hayitsme2,1629481274427,3,22954,22451,68862,0.0,0,0,0,5,7,SUCCESS,68862,OPEN,g2yTq9WsQ7K4wJ2VJ8cBeg
balakrishna,1628881087061,3,23649,23532,70949,0.0,0,0,0,1,8,SUCCESS,70949,OPEN,Q-Wie7qETzKLyffLjuN0Kg
rapirapi-BIP,1628837269194,3,23681,23396,71045,0.0,0,0,0,23,9,SUCCESS,71045,OPEN,qsYR-A-0S2OHA1cvbeFfSg
Mufumi-ZA,1627998373324,3,24033,23534,72101,0.0,0,0,0,4,10,SUCCESS,72101,OPEN,zkKRxlH7RH6vsDIwQyuMKw
boltron,1628654299264,3,24509,24131,73528,0.0,0,0,0,6,11,SUCCESS,73528,OPEN,KRAsKfyCQzS6-75EecPwsA
JPMC-HYD-FANTASTIC-FOUR,1630220745393,3,24764,24473,74293,0.0,0,0,0,448,12,SUCCESS,74293,OPEN,V0qPcq3FQhyn3gy0ysuUHw
trenner,1628695868131,3,24972,24871,74916,0.0,0,0,0,2,13,SUCCESS,74916,OPEN,0ySuhafOTMCtIJNEJx-B0A
gokultale,1629788889933,3,25022,21280,75067,0.6666666666666666,0,2,2,3,14,SUCCESS,75067,OPEN,wmvqGp2fSWyJ_628bVd_kQ
ProfesorAwesome,1629832434146,3,25597,24333,76792,0.3333333333333333,0,1,1,32,15,SUCCESS,76792,OPEN,zQ-U2TMOTGa2lSNub0j5iQ
mohankapu,1630376084542,3,25720,25010,77161,1.0,0,3,3,2,16,SUCCESS,77161,OPEN,KXwzbbaiTfq6MOrsxLlHWw
oldmon,1629393265221,3,26085,25801,78255,0.0,0,0,0,26,17,SUCCESS,78255,OPEN,62e6fa9116494c5b836cbQ
paitest,1628198285145,3,26128,25460,78384,0.0,0,0,0,47,18,SUCCESS,78384,OPEN,VhnfGTUPQB2n5R2yg1m6aQ
TenHut,1628679325737,3,26219,22325,78657,0.6666666666666666,0,2,2,4,19,SUCCESS,78657,OPEN,UdSd7Yk7Qju0nEPzjyERRw
CGS-1st-percentile,1628471795084,3,26375,26275,79126,0.0,0,0,0,48,20,SUCCESS,79126,OPEN,bO07gKagTNOeBrl6ttqy0Q
jtrider,1627974043641,3,26421,24610,79265,0.3333333333333333,0,1,1,2,21,SUCCESS,79265,OPEN,vJTdMyygQrShrT-Hh21qfQ
Paradesi,1630184690716,3,26624,22328,79873,1.0,0,3,3,100,22,SUCCESS,79873,OPEN,67697a7edfac47709d52dQ
JNguyen13,1628361593595,3,26744,25905,80234,0.0,0,0,0,10,23,SUCCESS,80234,OPEN,KRRWJWFLTfu6JpIm9-cseg
CGS-fatalerror,1629552641212,3,26788,26116,80364,0.0,0,0,0,483,24,SUCCESS,80364,OPEN,kTED08Y1QGmShXiqEygh9w
BLR-DR-006,1630433633261,3,26871,26226,80615,0.0,0,0,0,18,25,SUCCESS,80615,OPEN,LBum2P-0S-qIFFQiLpTv2A
Deloitte-Oscar,1629377373266,3,27121,25603,81363,0.0,0,0,0,8,26,SUCCESS,81363,OPEN,Km8Cpy3ITtW8WsDA5tXxZA
rojakap,1629645523514,3,27439,27258,82317,0.0,0,0,0,3,27,SUCCESS,82317,OPEN,ccBsdIg1RC-zSC23kBfD1w
rtakia,1628802769597,3,27682,25341,83047,0.3333333333333333,0,1,1,2,28,SUCCESS,83047,OPEN,BFGBwlLpSuKD5CApnhoFvQ
Crazy8,1628874802813,3,27773,22387,83321,0.6666666666666666,0,2,2,39,29,SUCCESS,83321,OPEN,Re3z5jL8QrKL-SfB5YxTCg
JDRacer,1629379734792,3,27879,27598,83639,0.0,0,0,0,11,30,SUCCESS,83639,OPEN,BK66Z2fXS5Oju4PberxwPw
John1,1629773818488,3,27885,21798,83655,1.0,0,3,3,2,31,SUCCESS,83655,OPEN,DoykPiIESBq-QHmbDAb7EQ
GerryG,1628501739878,3,28039,25670,84118,1.3333333333333333,0,4,4,4,32,SUCCESS,84118,OPEN,vY94VWhrSFe9JdublfmW6A
Mike211,1630450680249,3,28057,27828,84171,0.0,0,0,0,88,33,SUCCESS,84171,OPEN,rgZhd0J7TBGwBO4GPYC3yg
CGS-BigJ,1629464683548,3,28227,24127,84683,0.6666666666666666,0,2,2,113,34,SUCCESS,84683,OPEN,lQsuYbT4TbmQfsWG58EdvA
MLG,1629305109515,3,28294,26191,84884,0.3333333333333333,0,1,1,20,35,SUCCESS,84884,OPEN,GgrKppE3SjalNFCVHZgVxw
IVaibhavMalpani,1629003594773,3,28646,28268,85940,0.0,0,0,0,13,36,SUCCESS,85940,OPEN,_FYdDXAnQEm7GFNTfKEWUA
CGS-BasicInfinity,1629079285495,3,29453,25545,88361,0.6666666666666666,0,2,2,9,37,SUCCESS,88361,OPEN,ByMgjhzlQF2vkmBepy2BuQ
CGS-LightningMcQueen,1629179041499,3,29610,29520,88831,0.0,0,0,0,15,38,SUCCESS,88831,OPEN,jgkzSeY4SdiFJZKVbnOzHg
