Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
Jochem,1623369723610,1,21995,21995,179338,0.7142857142857143,5,0,5,1,1,SUCCESS,21995,OPEN,RBPhZc5eTVmEF_gpSV7skg
JPMC-DriftKing-Houston,1623376436039,1,22169,22169,169058,0.2857142857142857,0,2,2,0,2,SUCCESS,22169,OPEN,fngewpiZSZm11yX7YgwnMA
Joffe,1623376416100,1,22999,22999,167104,1.3333333333333333,0,8,8,1,3,SUCCESS,22999,OPEN,ce17e3bfe82649448e2f3w
Ensono-Ernesto,1623376433140,1,23532,23532,164903,1.0,1,5,6,0,4,SUCCESS,23532,OPEN,8zBEAp0-S5yGbcZvytGZGQ
Breadcentric,1623310601452,1,23664,23664,175388,0.14285714285714285,1,0,1,0,5,SUCCESS,23664,OPEN,SjNec5b-SpOk7y9b6rh4KQ
Matt,1623376383242,1,24191,24191,135771,0.6,0,3,3,0,6,SUCCESS,24191,OPEN,cVk-aYKdRUmuL0qmjyzmag
Duckworth,1623325528358,1,24596,24596,157047,1.4,4,3,7,0,7,SUCCESS,24596,OPEN,VIu9BQ4-Th6gUqu60ztwUQ
Yoway-NYCU-CGI,1623355914644,1,24672,24672,166473,0.3333333333333333,0,2,2,0,8,SUCCESS,24672,OPEN,1fBE9Y-DR4aOhdY6ydu-rA
Yi-LI-NYCU-CGI,1623376376363,1,24835,24835,150117,1.2,2,4,6,2,9,SUCCESS,24835,OPEN,jrJHq8pZQAyj4gGqMw8-DQ
AJM-Model-1,1623370164975,1,25595,25595,147455,0.8,0,4,4,1,10,SUCCESS,25595,OPEN,gdsU9bkGRWW7LTEHP4rGgQ
Rober,1623276896370,1,26664,26664,149932,0.8,2,2,4,0,11,SUCCESS,26664,OPEN,KrRSYhzKTfONjRaDUc_ubQ
rosscomp1,1623369623583,1,27322,27322,178542,1.6666666666666667,6,4,10,1,12,SUCCESS,27322,OPEN,fb0d597a87f94697aa1c6w
dartjason,1623297448989,1,31169,31169,171706,2.4,2,10,12,0,13,SUCCESS,31169,OPEN,JSflDq5rQgKEuA5Ots4kDQ
JPMC-HandsFree-London,1623376412689,1,39713,39713,137764,5.0,3,12,15,0,14,SUCCESS,39713,OPEN,DZAYqyd-Tp6eE15IopWCgQ
ZhengYi-NYCU-CGI,1623376411906,1,52669,52669,140311,12.5,18,7,25,1,15,SUCCESS,52669,OPEN,qY4J9IzvQS6a1N-KZXwviA
Penguin-DNPds,1623376606270,1,143754,143754,143754,29.0,26,3,29,2,16,SUCCESS,143754,OPEN,Nr3YCYWGTA631Xqa0uDPhw
