Rank,Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,LeaderboardSubmissionStatusType,RankingScore,UserId
1,rosscomp1,1678629532562,3,18640,18529,55920,0.0,0,0,0,3,SUCCESS,55920,fb0d597a87f94697aa1c6w
2,JJ,1678460683221,3,18772,18593,56316,0.0,0,0,0,2,SUCCESS,56316,afdcX_4vRH6Ussd0mbg5LQ
3,ADA,1678531189970,3,19440,19333,58322,0.0,0,0,0,15,SUCCESS,58322,KiqOhQPjTamuBXicXnKGEA
4,ferrite,1678742966065,3,19707,19330,59123,0.0,0,0,0,15,SUCCESS,59123,SRAgn9lMTCmIjaBREP7hxA
5,DaVinciDriver,1678523046987,3,19843,19333,59531,0.0,0,0,0,4,SUCCESS,59531,XtzXYz2pRByDnXz90XNGSw
6,Ensono-Ernesto,1678389232678,3,20064,19859,60192,0.0,0,0,0,9,SUCCESS,60192,8zBEAp0-S5yGbcZvytGZGQ
7,BennyLBS,1678716804411,3,20195,19783,60587,0.0,0,0,0,2,SUCCESS,60587,wD3fjDFZTJaZd9AU7WRDlA
8,RobinCastro-DBS,1678624460407,3,20798,20596,62395,0.0,0,0,0,10,SUCCESS,62395,7KrbyQXvTBOxnBa0p9YuUA
9,RayG,1678407493108,3,20886,20538,62660,0.0,0,0,0,2,SUCCESS,62660,YNrvM9f5RteeSrCl7oFC5w
10,TonyJ,1678742530543,3,21087,20870,63261,0.0,0,0,0,2,SUCCESS,63261,af962be5a4ed4c57af807w
11,nickyl,1678715916670,3,21240,21062,63721,0.0,0,0,0,6,SUCCESS,63721,O0GALYAoRfGA0kUV6ftgqQ
12,JPMC-KWGKMY-HongKong,1678710848784,3,21596,21389,64789,0.0,0,0,0,18,SUCCESS,64789,zKdKXknwQVCObGdEgutObQ
13,JPMC-London-WackyRacers,1678725452126,3,21819,19587,65457,0.6666666666666666,0,2,2,1,SUCCESS,65457,S1EcBZeaRjW2s85WNzBBog
14,PolishThunder,1678802502557,3,22064,20261,66192,0.3333333333333333,0,1,1,3,SUCCESS,66192,qi512oGVTry8V-KtP6j2_w
15,BSi,1678761871555,3,22286,21597,66858,0.0,0,0,0,16,SUCCESS,66858,2eb231b0a43f4940bfed3w
16,Atubee,1678800250368,3,22871,21403,68615,0.3333333333333333,0,1,1,3,SUCCESS,68615,1z0O0ZjuQH6joGqmg1qXtA
17,Hins,1678718347485,3,23241,20936,69724,0.6666666666666666,0,2,2,3,SUCCESS,69724,TrdfMZyuRVWfUUCH-IYRKg
18,Jochem,1678802287755,3,23421,21866,70264,0.3333333333333333,0,1,1,3,SUCCESS,70264,RBPhZc5eTVmEF_gpSV7skg
19,Atos-Mark-Ross,1678378974804,3,24154,23072,72463,0.0,0,0,0,4,SUCCESS,72463,F_ThjPFRSx-guPadHlwEuA
20,tranvietdung-DBS,1678756916578,3,24353,23128,73060,0.3333333333333333,0,1,1,13,SUCCESS,73060,3OwVWi6tQDCpBzKpWfHj7Q
21,Selehann-Matt,1678802693901,3,24397,23402,73193,0.0,0,0,0,3,SUCCESS,73193,cVk-aYKdRUmuL0qmjyzmag
22,Rober-rNiubo,1678797172528,3,25091,24137,75273,0.3333333333333333,0,1,1,6,SUCCESS,75273,KrRSYhzKTfONjRaDUc_ubQ
23,GoodEveningWeAreFromUkraine,1678350273945,3,26109,25471,78327,0.0,0,0,0,12,SUCCESS,78327,oX4dpYxLTFG2UU6NprA-7g
24,JPMC-Speedy-Gonzales-LATAM,1677768477900,3,26422,25135,79267,0.3333333333333333,0,1,1,10,SUCCESS,79267,McOa_W8cTW2EErfZhOoKxA
25,Chicken-and-rabbit-craziest-duo,1678372505717,3,28172,26997,84518,0.0,0,0,0,2,SUCCESS,84518,eocuTuXWSKOXBRTqs1nhEw
26,JPMC-HYD-SmartAccelerators,1678527197954,3,28359,26999,85079,0.3333333333333333,0,1,1,28,SUCCESS,85079,6jJ_fiuUQb2PZXOGkr3V7g
27,ANZ-TheRedPig-RKP,1678106008768,3,28553,26000,85661,0.6666666666666666,0,2,2,40,SUCCESS,85661,g24gJb6iS0exJQSt9aQdYQ
28,ANZ-TheRedPig-AVM,1678271105278,3,28731,26662,86193,0.6666666666666666,0,2,2,23,SUCCESS,86193,zODkUgTGQ1eZuA5nIh1Iog
29,ANZ-TheRedPig-KS,1677824596668,3,29775,27994,89326,0.6666666666666666,0,2,2,14,SUCCESS,89326,AAn3sOf-SNa51UQq98LMaQ
30,Jianlong,1678081267072,3,29887,28606,89662,0.3333333333333333,0,1,1,27,SUCCESS,89662,vpsHYdBtSIq__1M9j1R21Q
31,IcePandaBoom,1677741257282,3,30042,27527,90127,1.6666666666666667,0,5,5,1,SUCCESS,90127,BTPWujqqTBOWGAFvEKyRaA
