Rank,Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,LeaderboardSubmissionStatusType,RankingScore,UserId
1,JJ,1680292057363,3,18065,17865,54195,0.0,0,0,0,48,SUCCESS,54195,afdcX_4vRH6Ussd0mbg5LQ
2,rosscomp1,1679925508105,3,18086,17868,54258,0.0,0,0,0,50,SUCCESS,54258,fb0d597a87f94697aa1c6w
3,ZoD,1680206406338,3,18349,18068,55047,0.0,0,0,0,50,SUCCESS,55047,TFtvCas4TRWchrBPMyGh0A
4,DaVinciDriver,1679816520534,3,18754,18607,56264,0.0,0,0,0,50,SUCCESS,56264,XtzXYz2pRByDnXz90XNGSw
5,AJM-Model-1,1680217680177,3,18907,18605,56722,0.0,0,0,0,50,SUCCESS,56722,gdsU9bkGRWW7LTEHP4rGgQ
6,Karl-NAB,1680294285329,3,18930,18535,56792,0.0,0,0,0,50,SUCCESS,56792,4vOOxLIsSjeL2WFaO5o_fQ
7,ferrite,1680208668621,3,19019,18667,57057,0.0,0,0,0,50,SUCCESS,57057,SRAgn9lMTCmIjaBREP7hxA
8,Jochem,1680112648581,3,19066,18934,57200,0.0,0,0,0,50,SUCCESS,57200,RBPhZc5eTVmEF_gpSV7skg
9,PolishThunder,1679938531177,3,19153,18737,57460,0.0,0,0,0,50,SUCCESS,57460,qi512oGVTry8V-KtP6j2_w
10,RayG-DBS,1680306612471,3,19174,19128,57524,0.0,0,0,0,48,SUCCESS,57524,YNrvM9f5RteeSrCl7oFC5w
11,BennyLBS,1680275332412,3,19218,18865,57655,0.0,0,0,0,50,SUCCESS,57655,wD3fjDFZTJaZd9AU7WRDlA
12,JPMC-London-Griffc,1680109465308,3,19241,19067,57724,0.0,0,0,0,50,SUCCESS,57724,S1EcBZeaRjW2s85WNzBBog
13,Duckworth,1680259542556,3,19287,19070,57861,0.0,0,0,0,50,SUCCESS,57861,VIu9BQ4-Th6gUqu60ztwUQ
14,TonyJ,1680295147797,3,19330,18992,57990,0.0,0,0,0,50,SUCCESS,57990,af962be5a4ed4c57af807w
15,ADA,1679571985136,3,19398,19266,58194,0.0,0,0,0,50,SUCCESS,58194,KiqOhQPjTamuBXicXnKGEA
16,Ernesto-PhilJ,1679652003451,3,19420,19389,58260,0.0,0,0,0,50,SUCCESS,58260,8zBEAp0-S5yGbcZvytGZGQ
17,AIDeepRacer,1680285009863,3,19488,19462,58465,0.0,0,0,0,50,SUCCESS,58465,pIRbdCx6QYatgVXm2p5GbA
18,Version-Infinite,1680297564867,3,19509,19256,58528,0.0,0,0,0,50,SUCCESS,58528,N5Bzb-oJTAup8q3QAYGZww
19,Hins,1680191586948,3,19620,19204,58861,0.0,0,0,0,12,SUCCESS,58861,TrdfMZyuRVWfUUCH-IYRKg
20,nickyl,1680278167579,3,19620,19525,58862,0.0,0,0,0,50,SUCCESS,58862,O0GALYAoRfGA0kUV6ftgqQ
21,MattCamp,1680167958272,3,19642,19469,58927,0.0,0,0,0,27,SUCCESS,58927,9z8BN2mkSj-Dlb_Chg_0Hw
22,JPMC-Spyder-HongKong,1680171149560,3,19643,19336,58929,0.0,0,0,0,32,SUCCESS,58929,zKdKXknwQVCObGdEgutObQ
23,JPMC-Speedy-Gonzales-LATAM,1680268763099,3,19862,19589,59588,0.0,0,0,0,50,SUCCESS,59588,McOa_W8cTW2EErfZhOoKxA
24,Fumiaki,1680287406559,3,19865,19860,59597,0.0,0,0,0,50,SUCCESS,59597,5RzBNYRAQoWVausi3eyhRg
25,Mr-Anderson,1680290027099,3,19997,19800,59991,0.0,0,0,0,36,SUCCESS,59991,PVsbhx4xRi6aO--P4-kcNA
26,dartjason,1680056249685,3,20064,19780,60192,0.0,0,0,0,50,SUCCESS,60192,JSflDq5rQgKEuA5Ots4kDQ
27,DBro,1680262675918,3,20065,19802,60195,0.0,0,0,0,14,SUCCESS,60195,jEkEOpjZRhGUbyDZIfTo_A
28,RobinCastro-DBS,1680263451660,3,20085,19930,60257,0.0,0,0,0,39,SUCCESS,60257,7KrbyQXvTBOxnBa0p9YuUA
29,kashi,1680027440065,3,20331,20130,60995,0.0,0,0,0,50,SUCCESS,60995,oq7yCLy5QAeEP6k7o53L8A
30,JPMC-LONDON-HandsFree,1680260957326,3,20444,20264,61332,0.0,0,0,0,37,SUCCESS,61332,DZAYqyd-Tp6eE15IopWCgQ
31,Off-track,1680279257739,3,20463,20137,61390,0.0,0,0,0,47,SUCCESS,61390,1R021ZoDQrqxSUiHfBvyEw
32,Atubee,1680004882781,3,20530,20331,61590,0.0,0,0,0,9,SUCCESS,61590,1z0O0ZjuQH6joGqmg1qXtA
33,BSi,1680231533554,3,20907,20398,62723,0.0,0,0,0,50,SUCCESS,62723,2eb231b0a43f4940bfed3w
34,Rober-rNiubo,1679659311681,3,20952,20598,62857,0.0,0,0,0,9,SUCCESS,62857,KrRSYhzKTfONjRaDUc_ubQ
35,MattKreder,1680221002213,3,21219,20936,63659,0.0,0,0,0,50,SUCCESS,63659,cVk-aYKdRUmuL0qmjyzmag
36,JPMC-MUMBAI-FormulaAI,1680289687541,3,21442,21338,64326,0.0,0,0,0,17,SUCCESS,64326,Gx2StgEoSza3Gxxo4Oghug
37,IcePandaBoom,1680277121596,3,21464,21129,64393,0.0,0,0,0,22,SUCCESS,64393,BTPWujqqTBOWGAFvEKyRaA
38,Eviden-Mark-Ross,1680291321570,3,21752,21602,65258,0.0,0,0,0,20,SUCCESS,65258,F_ThjPFRSx-guPadHlwEuA
39,tranvietdung-DBS,1678848168016,3,22151,21603,66454,0.0,0,0,0,2,SUCCESS,66454,3OwVWi6tQDCpBzKpWfHj7Q
40,JPMC-DriftKing-Houston,1678935443839,3,22507,21395,67521,0.0,0,0,0,2,SUCCESS,67521,fngewpiZSZm11yX7YgwnMA
41,Marco-Solo,1680096814420,3,22507,21990,67523,0.0,0,0,0,50,SUCCESS,67523,Hg2CJNXMRmijQmd_jMSJyw
42,Nariox,1680293715228,3,22641,22328,67923,0.0,0,0,0,34,SUCCESS,67923,AUWR9HasSr2j2V1bbAptNw
43,Galileo,1680287366111,3,22686,22197,68058,0.0,0,0,0,42,SUCCESS,68058,Y79AzaaOR-u4LVKMxu1Mdw
44,barkingdog,1680282792299,3,22755,22130,68266,0.0,0,0,0,17,SUCCESS,68266,b3960b6c6f58458880ceew
45,Mentaiko-DevelopersIO,1680300852168,3,22772,22314,68316,0.0,0,0,0,50,SUCCESS,68316,Wt5C8BPAS0OPlzY3-txb-w
46,Velocity-5dl,1680253240243,3,22951,22667,68855,0.0,0,0,0,37,SUCCESS,68855,DBVc9n_uQ0-r-Cqkz3YweA
47,Yeti,1680251259254,3,23108,22869,69326,0.0,0,0,0,2,SUCCESS,69326,1SGxAyrnQ96tWb-rolMeBQ
48,Chicken-and-rabbit-craziest-duo,1680013835118,3,23373,22930,70119,0.0,0,0,0,37,SUCCESS,70119,eocuTuXWSKOXBRTqs1nhEw
49,JPMC-MUM-QuantumRealm,1680306962960,3,23862,22330,71587,0.6666666666666666,0,2,2,1,SUCCESS,71587,csyvQme2QeaNSkzYeCHjkA
50,Echo1911,1679664236579,3,23866,23331,71598,0.0,0,0,0,13,SUCCESS,71598,4WgpazINRpS1KD3yKMjkrA
51,Jerec,1680206127575,3,23975,23536,71926,0.0,0,0,0,46,SUCCESS,71926,RH6ep-5mRmmVLqHClba8_Q
52,JPMC-HYD-CircuitBreakers,1680306955761,3,24063,22851,72191,0.3333333333333333,0,1,1,48,SUCCESS,72191,5Z9lAFNASzesOzD7FFfSHw
53,DoomBuggy,1679782479693,3,24489,23190,73469,0.3333333333333333,0,1,1,5,SUCCESS,73469,QakV_nzOTm2q_NhqUMwIJw
54,m45,1680299652851,3,24774,24000,74322,0.0,0,0,0,32,SUCCESS,74322,EUSWllrrTRep0vB4VQ4RSg
55,JPMC-MUMBAI-002,1680306861318,3,24798,21920,74394,1.0,0,3,3,1,SUCCESS,74394,OshBKuAnQcem1dadRx_Iag
56,GoodEveningWeAreFromUkraine,1679690449887,3,24930,24325,74790,0.0,0,0,0,11,SUCCESS,74790,oX4dpYxLTFG2UU6NprA-7g
57,-Just-Be-Better-,1680303682224,3,24975,24799,74926,0.0,0,0,0,50,SUCCESS,74926,X_dNmJilS8SDBQ44yzd2fg
58,JPMC-MUMBAI-001,1680306930639,3,25162,22131,75488,1.0,0,3,3,2,SUCCESS,75488,ZCj8B6bLQXe3PHdAV99vKw
59,EP-RIO,1680301697578,3,25375,25002,76125,0.0,0,0,0,22,SUCCESS,76125,_ARh_JWqRH-khggA_9cN0Q
60,Thoughtworks-AV-SDV,1679708296116,3,25906,25068,77718,0.0,0,0,0,39,SUCCESS,77718,chMgM6ZjRSqs4DrQzXNyrw
61,PITS-YUME,1680186696647,3,25977,24808,77933,0.3333333333333333,0,1,1,50,SUCCESS,77933,CThkSPLERtyRM5OptykzEQ
62,CH-Shin#technopro,1680004875690,3,26352,25134,79058,0.3333333333333333,0,1,1,50,SUCCESS,79058,z_o7oTr8SwyPS6Qq-D4Uvw
63,AI-Castle,1680269093786,3,26685,26531,80057,0.0,0,0,0,50,SUCCESS,80057,iORNK7j_T9S0UBu_ofHlQw
64,Deepak-dpk,1680304403949,3,26822,24071,80466,0.6666666666666666,0,2,2,27,SUCCESS,80466,gDTBFK77TM6wD6uObZlulA
65,No1TeliaSuperRacer,1680091758487,3,26863,26078,80590,0.0,0,0,0,5,SUCCESS,80590,K7Rvu3hGSWGCFfKc2P2WPQ
66,BoltronRacingTeam,1679718580653,3,26951,26468,80853,0.0,0,0,0,4,SUCCESS,80853,Lkrg6gQPQ5qwn61K16MHhg
67,CodeMachine,1680302215430,3,27464,26993,82393,0.0,0,0,0,15,SUCCESS,82393,b_WzN_r8ToGPle_8bl2tMA
68,JPMC-HYD-SmartAccelerators,1679044142488,3,28354,27800,85062,0.0,0,0,0,25,SUCCESS,85062,6jJ_fiuUQb2PZXOGkr3V7g
69,ANZ-WyteBull,1679325289377,3,28508,27191,85526,0.3333333333333333,0,1,1,20,SUCCESS,85526,364UdX3CQzG0cqxRZeImkg
70,gigi-DNPds,1680275561219,3,28550,28064,85650,0.0,0,0,0,43,SUCCESS,85650,nkTUmamiSOWmb8YpN0p7aw
71,Supersonic-RKP,1678106008768,3,28553,26000,85661,0.6666666666666666,0,2,2,1,SUCCESS,85661,g24gJb6iS0exJQSt9aQdYQ
72,ANZ-TheRedPig-AVM,1678271105278,3,28731,26662,86193,0.6666666666666666,0,2,2,1,SUCCESS,86193,zODkUgTGQ1eZuA5nIh1Iog
73,monstsquad,1680298802257,3,29018,28659,87054,0.0,0,0,0,41,SUCCESS,87054,DrMkcpQaSYCRAUD22iT2ng
74,C3R0,1680306785343,3,29087,28606,87261,0.0,0,0,0,16,SUCCESS,87261,61QIIR_GTpCM0JoUAsdwew
75,londoso-monst,1680132039200,3,29397,28663,88192,0.0,0,0,0,31,SUCCESS,88192,mQQF2PEFSvmDfnR4HGLM1Q
76,JPMC-London-Adam,1679523805276,3,29552,28131,88656,0.3333333333333333,0,1,1,4,SUCCESS,88656,MKyQktY7RcKa36uMHbmmJQ
77,sivas,1679673200982,3,29552,28267,88657,0.0,0,0,0,20,SUCCESS,88657,mOcZW4PTTy2BWQZjxxHPHA
78,ANZ-GreaseMonkeys-Ayaz,1678944267519,3,29554,28112,88662,0.3333333333333333,0,1,1,10,SUCCESS,88662,lH4WqyqcSKuA6e4uABuqHQ
79,CM#95,1680296829809,3,29604,27799,88813,0.3333333333333333,0,1,1,50,SUCCESS,88813,GVgIxJBXQHiwofIqHY4U1A
80,RSR,1678883638212,3,29691,29401,89073,1.0,0,3,3,5,SUCCESS,89073,Dy6fL3ojQD-CxpMAgzlkng
81,Polaris-DNPds,1680228251482,3,29707,29000,89122,0.3333333333333333,0,1,1,6,SUCCESS,89122,2617874c942840f0a2fdbQ
82,ANZ-TheRedPig-KS,1677824596668,3,29775,27994,89326,0.6666666666666666,0,2,2,1,SUCCESS,89326,AAn3sOf-SNa51UQq98LMaQ
83,Jianlong,1678081267072,3,29887,28606,89662,0.3333333333333333,0,1,1,26,SUCCESS,89662,vpsHYdBtSIq__1M9j1R21Q
84,Team-Mars-Bernard,1679896078427,3,29997,29735,89993,0.0,0,0,0,12,SUCCESS,89993,6IdHMKriQECgSwDPDTH7Sg
85,Cheaty-McCheatface,1679821082717,3,30019,29865,90058,0.0,0,0,0,50,SUCCESS,90058,2R1bsOUiRceGpNP9wKliAw
86,NeilSimon-PanSup,1678928828777,3,30285,29864,90855,0.0,0,0,0,9,SUCCESS,90855,caj3LxcuQz297jcW58Y--Q
87,Seab,1680306862686,3,30373,30069,91119,0.0,0,0,0,12,SUCCESS,91119,mjD1OGTXQfKTXMPWVq29rg
88,SamAu,1680106892881,3,30398,29134,91194,0.0,0,0,0,39,SUCCESS,91194,BteX7647QUyM2a2hexL2ZA
89,NotIntendedForHighwayUse,1679916515833,3,30442,30137,91326,0.0,0,0,0,4,SUCCESS,91326,auRW3knZQzuontcriWRF2w
90,MA-A2D,1679897805861,3,30596,29929,91790,0.0,0,0,0,45,SUCCESS,91790,-X0Vh0OPRrmuWaQl_jbvIQ
91,systems-masaki,1679796429177,3,30642,29863,91926,0.0,0,0,0,50,SUCCESS,91926,V1ivpKOPSGWKc3SxuA8YmA
92,ANZ-TheRedPig-RM,1677825809245,3,30644,29734,91933,1.0,0,3,3,1,SUCCESS,91933,pTh3S94ERzipIon3qGgQjQ
93,IKIGAI,1678161765331,3,30662,29058,91988,0.6666666666666666,0,2,2,1,SUCCESS,91988,fmAtbtwnSgeEoSPJCCvYeA
94,mayurmadnani,1680274014383,3,30866,30331,92599,0.0,0,0,0,10,SUCCESS,92599,hr8K12KMRhSIDUEJbQT8fg
95,Joffe,1677880973799,3,30886,29723,92660,0.3333333333333333,0,1,1,2,SUCCESS,92660,ce17e3bfe82649448e2f3w
96,--Aziz--,1679973587292,3,31176,29544,93528,0.3333333333333333,0,1,1,13,SUCCESS,93528,GPNPp_iMStGjxTirRZJREA
97,TeamSaturn-Jodi,1679900760640,3,31553,31204,94661,0.0,0,0,0,3,SUCCESS,94661,cRzgHlTQSfWPWxqOShpFLQ
98,IKD-A2D,1679472443219,3,31554,30460,94662,0.0,0,0,0,36,SUCCESS,94662,2GPidiFfRt227geoBskO4Q
99,KwokKaYinFYPDEMO,1679649748820,3,32021,31071,96064,1.0,0,3,3,24,SUCCESS,96064,IeeWB3NHRPGVumCqgJpaPw
100,rapirapi-BIP,1678791473183,3,32063,30199,96190,0.3333333333333333,0,1,1,1,SUCCESS,96190,qsYR-A-0S2OHA1cvbeFfSg
101,ANZ-TheRedPig-SR,1677741417823,3,32514,30268,97542,1.6666666666666667,0,5,5,1,SUCCESS,97542,QtOSkv6uQ4uYqsc1TaZ43w
102,CurlyGlyph#8649,1679361728425,3,32515,30678,97547,1.6666666666666667,0,5,5,1,SUCCESS,97547,UE_TAsC1RuiRais2A4DU-Q
103,Marco-Buss,1680082099168,3,32595,26726,97787,3.0,0,9,9,4,SUCCESS,97787,w8Uff2rWQ5qh-8R7rpEcQw
104,JPMC-HYD-02,1677956129265,3,32723,28732,98171,2.3333333333333335,0,7,7,1,SUCCESS,98171,LKdw_hyKTSu7moFuxbmiZw
105,higashiy-A2D,1679570359651,3,32799,32266,98397,0.0,0,0,0,6,SUCCESS,98397,UJJOG8PnQKCKsG6Wb35dDw
106,Mungi,1680174571954,3,32840,32656,98521,0.0,0,0,0,7,SUCCESS,98521,RgTvucbNQja7yiYbgh2p9A
107,MineSweeper,1680071246584,3,32907,32597,98722,0.0,0,0,0,35,SUCCESS,98722,cJBGnsm2SneQEkwWruZDgw
108,kondo-A2D,1679996441615,3,32928,32796,98785,0.0,0,0,0,17,SUCCESS,98785,DPJ44GKrRcGUgwtKRAff1A
109,Team-Mars-Jerome,1679821928022,3,33152,30192,99456,2.0,0,6,6,14,SUCCESS,99456,onuLt4IzRjadbvU-xJksPQ
110,ANZ-TheRedPig-MR,1677850644488,3,33264,28128,99793,1.6666666666666667,0,5,5,1,SUCCESS,99793,nsvQzeAPSDSjYpmTp-8Lsg
111,TeamSaturn-Chris,1679900331879,3,33292,31667,99878,0.3333333333333333,0,1,1,6,SUCCESS,99878,OvyxEcZTQPObBnVtmb_J4A
112,LeadingAI,1680237059326,3,33351,32723,100054,0.0,0,0,0,2,SUCCESS,100054,VP5wwaH5T4GciaMX2ocEvQ
113,Kire,1680211323518,3,33398,30463,100196,0.6666666666666666,0,2,2,14,SUCCESS,100196,N0y9CR6fQN-a4UlAFsTC5Q
114,AndresMarnez,1680286887748,3,33420,32002,100262,1.3333333333333333,0,4,4,37,SUCCESS,100262,8xgphrDQQiKiMZoTDeocZQ
115,ImportantVariable#6177,1679380099719,3,33438,32512,100315,1.0,0,3,3,48,SUCCESS,100315,2wauAVIuSoGcuz_H9t6K_w
116,raj-1205,1679259594992,3,33553,32932,100660,0.0,0,0,0,30,SUCCESS,100660,558a49745f8843aea7db6w
117,MadCross,1680140646938,3,33689,33065,101068,0.6666666666666666,0,2,2,6,SUCCESS,101068,Msh-oGccTR2Yn31a5coUHA
118,CH#HKT,1678788707392,3,33773,32461,101320,0.3333333333333333,0,1,1,1,SUCCESS,101320,XJNMPh7lSd6ywcha-m24Cw
119,Wingism,1680260999954,3,33863,31731,101589,0.6666666666666666,0,2,2,2,SUCCESS,101589,Spey2yUETeKA1doS2t-McQ
120,NT-A2D,1679631381394,3,33864,32207,101592,0.0,0,0,0,15,SUCCESS,101592,eVbIuQncTvKa7D7ytNQnJA
121,PITS-2,1680096879668,3,33864,32270,101594,1.3333333333333333,0,4,4,4,SUCCESS,101594,tv46AOWnQqGNTgdyxneYLw
122,EatMyGas,1677771204394,3,33932,33338,101796,0.0,0,0,0,1,SUCCESS,101796,G49XjRGRR76Xv00WxIMvnQ
123,drunken-monkey,1679101498730,3,34003,32115,102009,0.3333333333333333,0,1,1,6,SUCCESS,102009,c7a82cb998e44f9abd469Q
124,Sm3gg3r,1679015100156,3,34352,33655,103056,0.0,0,0,0,17,SUCCESS,103056,mryXkKBsRXCz0CZqKfHQQw
125,SKM-A2D,1679993097890,3,34353,34063,103060,0.0,0,0,0,49,SUCCESS,103060,MfXlxvFiRaGpwsq3g7King
126,Yuliya,1679895111186,3,34397,31471,103191,2.0,0,6,6,50,SUCCESS,103191,JWJgkv8bSKeMIGYZ9roR-A
127,IterativeTheory#3765,1679315850106,3,34401,32732,103203,1.6666666666666667,0,5,5,50,SUCCESS,103203,P1-TqiXzSnKh0zBiYrYsgA
128,Wiley-Coyote,1679393228059,3,34415,34183,103247,0.0,0,0,0,35,SUCCESS,103247,QPzLJrQ-S0yyqMsdIKwAfA
