Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
JJ,1624122623784,3,19623,19177,58871,0.0,0,0,0,1058,1,SUCCESS,58871,PRO,afdcX_4vRH6Ussd0mbg5LQ
RogerRabbit,1624313045812,3,21254,20693,63762,0.0,0,0,0,2103,2,SUCCESS,63762,PRO,DXXOncNRR1iiqhBvpPO-_A
ZhengYi-NYCU-CGI,1623684966188,3,21925,21155,65777,0.0,0,0,0,112,3,SUCCESS,65777,PRO,qY4J9IzvQS6a1N-KZXwviA
dartjason,1623617538474,3,21980,21627,65942,0.0,0,0,0,2333,4,SUCCESS,65942,PRO,JSflDq5rQgKEuA5Ots4kDQ
Karl-NAB,1624070873276,3,22128,20943,66386,0.0,0,0,0,1584,5,SUCCESS,66386,PRO,4vOOxLIsSjeL2WFaO5o_fQ
GT-DevelopersIO,1624309246105,3,22403,22082,67211,0.0,0,0,0,1190,6,SUCCESS,67211,PRO,8WSp4P7ZRn-jJgZLnugwkA
AJM-Model-1,1624325409748,3,22688,21866,68066,0.0,0,0,0,1912,7,SUCCESS,68066,PRO,gdsU9bkGRWW7LTEHP4rGgQ
RobinCastro-DBS,1624206265015,3,22814,22599,68443,0.0,0,0,0,2510,8,SUCCESS,68443,PRO,7KrbyQXvTBOxnBa0p9YuUA
Ernesto,1624043703173,3,22917,22757,68752,0.0,0,0,0,1301,9,SUCCESS,68752,PRO,8zBEAp0-S5yGbcZvytGZGQ
TonyJ,1624201984533,3,23555,23161,70666,0.0,0,0,0,762,10,SUCCESS,70666,PRO,af962be5a4ed4c57af8075bbd79a0d35
rosscomp1,1624251259344,3,23609,21242,70829,0.3333333333333333,1,0,1,618,11,SUCCESS,70829,PRO,fb0d597a87f94697aa1c68be9366a74f
Matt,1624312740582,3,23692,22872,71077,0.0,0,0,0,1379,12,SUCCESS,71077,PRO,cVk-aYKdRUmuL0qmjyzmag
Rober,1624354610394,3,23846,23388,71539,0.0,0,0,0,327,13,SUCCESS,71539,PRO,KrRSYhzKTfONjRaDUc_ubQ
Breadcentric,1624310644959,3,24698,24038,74094,0.0,0,0,0,1755,14,SUCCESS,74094,PRO,SjNec5b-SpOk7y9b6rh4KQ
alexj,1624345554759,3,24774,24000,74324,0.0,0,0,0,123,15,SUCCESS,74324,PRO,Km6btE1_SFCCCqWJ4H6Fyg
Duckworth,1624338125914,3,24982,23336,74947,0.3333333333333333,0,1,1,1369,16,SUCCESS,74947,PRO,VIu9BQ4-Th6gUqu60ztwUQ
SorinB,1624293129248,3,26367,25854,79103,0.0,0,0,0,536,17,SUCCESS,79103,PRO,TFtvCas4TRWchrBPMyGh0A
Maikel,1624097762360,3,26485,25959,79455,0.0,0,0,0,778,18,SUCCESS,79455,PRO,FeKoIRn0Tsa6tACAWZ_2gw
AIDeepRacer,1623696379726,3,26941,24701,80823,0.3333333333333333,0,1,1,125,19,SUCCESS,80823,PRO,pIRbdCx6QYatgVXm2p5GbA
PolishThunder,1624293312079,3,27460,26732,82381,0.0,0,0,0,1371,20,SUCCESS,82381,PRO,qi512oGVTry8V-KtP6j2_w
Penguin-DNPds,1624334556860,3,28691,24728,86075,0.6666666666666666,0,2,2,179,21,SUCCESS,86075,PRO,Nr3YCYWGTA631Xqa0uDPhw
EnBW-Flitzer,1623388541250,3,28931,28656,86795,0.0,0,0,0,192,22,SUCCESS,86795,PRO,je1HIMgRQtibB3H9325TRw
ShibaInu-DevelopersIO,1623903131734,3,28947,28770,86843,0.0,0,0,0,1505,23,SUCCESS,86843,PRO,q3lEztDGTfSD-GgkF5IgTg
atnmn,1624312434823,3,29706,29164,89120,0.0,0,0,0,348,24,SUCCESS,89120,PRO,b3960b6c6f58458880cee615ce806578
kimwooglae,1623334936862,3,29799,29087,89398,0.0,0,0,0,3055,25,SUCCESS,89398,PRO,bOqKo-ebR_essdUaZVGO4Q
think,1623669157566,3,29931,29524,89793,0.0,0,0,0,2706,26,SUCCESS,89793,PRO,IHHC4YftQLaMAs0VyXFJzw
ABaykov,1623611193573,3,30110,26262,90331,0.6666666666666666,2,0,2,297,27,SUCCESS,90331,PRO,aa28j7SWTd-LxMzvFoj_bA
Mungi,1624215642114,3,31544,28360,94633,0.3333333333333333,1,0,1,34,28,SUCCESS,94633,PRO,RgTvucbNQja7yiYbgh2p9A
MiLKB,1623692460571,3,35175,32136,105526,0.3333333333333333,1,0,1,1362,29,SUCCESS,105526,PRO,8KL8u0H3RIWxgP14x_RC6w
