Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
JJ,1625084805706,3,19461,19041,58384,0.0,0,0,0,3079,1,SUCCESS,58384,PRO,afdcX_4vRH6Ussd0mbg5LQ
JPMC-RogerRabbit-Houston,1625029685531,3,20152,19474,60458,0.0,0,0,0,3499,2,SUCCESS,60458,PRO,DXXOncNRR1iiqhBvpPO-_A
Karl-NAB,1624942716539,3,20198,19669,60596,0.0,0,0,0,3692,3,SUCCESS,60596,PRO,4vOOxLIsSjeL2WFaO5o_fQ
rosscomp1,1624929436187,3,21476,20539,64430,0.0,0,0,0,1804,4,SUCCESS,64430,PRO,fb0d597a87f94697aa1c6w
JPMC-TeamOne-BuenosAires,1625090714134,3,21569,20814,64709,0.0,0,0,0,511,5,SUCCESS,64709,PRO,Fy8bvUIzSN-N-e3D74JhPw
GT-DevelopersIO,1624368044923,3,21623,21086,64871,0.0,0,0,0,2424,6,SUCCESS,64871,PRO,8WSp4P7ZRn-jJgZLnugwkA
ZhengYi-NYCU-CGI,1623684966188,3,21925,21155,65777,0.0,0,0,0,112,7,SUCCESS,65777,PRO,qY4J9IzvQS6a1N-KZXwviA
dartjason,1623617538474,3,21980,21627,65942,0.0,0,0,0,3093,8,SUCCESS,65942,PRO,JSflDq5rQgKEuA5Ots4kDQ
AIDeepRacer,1624881274630,3,22492,22081,67476,0.0,0,0,0,537,9,SUCCESS,67476,PRO,pIRbdCx6QYatgVXm2p5GbA
AJM-Model-1,1625032242363,3,22507,22145,67521,0.0,0,0,0,3877,10,SUCCESS,67521,PRO,gdsU9bkGRWW7LTEHP4rGgQ
Duckworth,1624824965860,3,22509,21747,67529,0.0,0,0,0,3126,11,SUCCESS,67529,PRO,VIu9BQ4-Th6gUqu60ztwUQ
TonyJ,1624555204017,3,22622,22169,67867,0.0,0,0,0,2489,12,SUCCESS,67867,PRO,af962be5a4ed4c57af807w
Yi-LI-NYCU-CGI,1624925030518,3,22628,20472,67886,0.3333333333333333,1,0,1,403,13,SUCCESS,67886,PRO,jrJHq8pZQAyj4gGqMw8-DQ
ZoD,1624873206984,3,22707,22345,68121,0.0,0,0,0,1957,14,SUCCESS,68121,PRO,TFtvCas4TRWchrBPMyGh0A
RobinCastro-DBS,1624206265015,3,22814,22599,68443,0.0,0,0,0,2585,15,SUCCESS,68443,PRO,7KrbyQXvTBOxnBa0p9YuUA
Yoway-NYCU-CGI,1624992965774,3,22912,20761,68737,0.3333333333333333,0,1,1,203,16,SUCCESS,68737,PRO,1fBE9Y-DR4aOhdY6ydu-rA
Ensono-Ernesto,1625046302921,3,22914,22615,68743,0.0,0,0,0,2536,17,SUCCESS,68743,PRO,8zBEAp0-S5yGbcZvytGZGQ
Breadcentric,1624926948607,3,23004,22469,69012,0.0,0,0,0,3514,18,SUCCESS,69012,PRO,SjNec5b-SpOk7y9b6rh4KQ
Rober,1625068199449,3,23039,22133,69117,0.0,0,0,0,1216,19,SUCCESS,69117,PRO,KrRSYhzKTfONjRaDUc_ubQ
Matt,1624793493816,3,23045,22623,69135,0.0,0,0,0,2849,20,SUCCESS,69135,PRO,cVk-aYKdRUmuL0qmjyzmag
alexj,1624990812920,3,23769,23281,71308,0.0,0,0,0,341,21,SUCCESS,71308,PRO,Km6btE1_SFCCCqWJ4H6Fyg
Maikel,1624675534712,3,24552,24085,73656,0.0,0,0,0,1574,22,SUCCESS,73656,PRO,FeKoIRn0Tsa6tACAWZ_2gw
Penguin-DNPds,1624731466257,3,25694,23009,77082,0.3333333333333333,0,1,1,820,23,SUCCESS,77082,PRO,Nr3YCYWGTA631Xqa0uDPhw
atnmn,1625027589887,3,25856,25594,77569,0.0,0,0,0,1635,24,SUCCESS,77569,PRO,b3960b6c6f58458880ceew
JPMC-HandsFree-London,1625027194041,3,26957,21790,80872,1.0,1,2,3,537,25,SUCCESS,80872,PRO,DZAYqyd-Tp6eE15IopWCgQ
PolishThunder,1624293312079,3,27460,26732,82381,0.0,0,0,0,1883,26,SUCCESS,82381,PRO,qi512oGVTry8V-KtP6j2_w
ShibaInu-DevelopersIO,1625046705917,3,27701,27489,83104,0.0,0,0,0,3019,27,SUCCESS,83104,PRO,q3lEztDGTfSD-GgkF5IgTg
EnBW-Flitzer,1623388541250,3,28931,28656,86795,0.0,0,0,0,431,28,SUCCESS,86795,PRO,je1HIMgRQtibB3H9325TRw
kimwooglae,1623334936862,3,29799,29087,89398,0.0,0,0,0,4759,29,SUCCESS,89398,PRO,bOqKo-ebR_essdUaZVGO4Q
think,1623669157566,3,29931,29524,89793,0.0,0,0,0,4097,30,SUCCESS,89793,PRO,IHHC4YftQLaMAs0VyXFJzw
ABaykov,1623611193573,3,30110,26262,90331,0.6666666666666666,2,0,2,297,31,SUCCESS,90331,PRO,aa28j7SWTd-LxMzvFoj_bA
Mungi,1624611661594,3,30206,28930,90619,0.3333333333333333,0,1,1,199,32,SUCCESS,90619,PRO,RgTvucbNQja7yiYbgh2p9A
MiLKB,1624828247902,3,32212,31197,96637,0.0,0,0,0,2605,33,SUCCESS,96637,PRO,8KL8u0H3RIWxgP14x_RC6w
Ohrid,1624985424650,3,33518,31559,100555,0.3333333333333333,0,1,1,85,34,SUCCESS,100555,PRO,78e6a549fe0a4a8e90b41w
kimmizian,1622628642420,3,36222,31873,108667,0.6666666666666666,0,2,2,1,35,SUCCESS,108667,PRO,t6NwFsqgS4mYnFeR3KVxsg
m-hosokawa-nes,1623074018982,3,36952,34792,110857,0.3333333333333333,1,0,1,1,36,SUCCESS,110857,PRO,X-M2s3pcRlWb653f9qu09A
DBro,1623064430709,3,38553,32639,115661,2.0,1,5,6,0,37,SUCCESS,115661,PRO,jEkEOpjZRhGUbyDZIfTo_A
Mentaiko-DevelopersIO,1624942653646,3,39080,37281,117240,0.0,0,0,0,176,38,SUCCESS,117240,PRO,Wt5C8BPAS0OPlzY3-txb-w
kim,1623116959100,3,39225,38989,117675,0.0,0,0,0,120,39,SUCCESS,117675,PRO,cgo09VQyRNmKhJfNfwbAgQ
SumoBoy,1624630673844,3,41132,38207,123397,0.3333333333333333,1,0,1,61,40,SUCCESS,123397,PRO,LfKFez5GSgC9oENReriiHA
UberAllen,1624832675393,3,42816,38943,128449,0.6666666666666666,0,2,2,40,41,SUCCESS,128449,PRO,ASI6Udz9QCewwoQHEyDbpw
Otaboroid,1622799472286,3,43000,41579,129000,0.0,0,0,0,2,42,SUCCESS,129000,PRO,UZOXxzgqTEq-U_FlPY-vGQ
drunken-monkey,1623683930331,3,43191,42403,129575,0.0,0,0,0,2,43,SUCCESS,129575,PRO,c7a82cb998e44f9abd469Q
