Rank,Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,LeaderboardSubmissionStatusType,RankingScore,UserId
1,rosscomp1,1708568367618,1,9212,9212,28712,0.0,0,0,0,78,SUCCESS,9212,fb0d597a87f94697aa1c6w
2,CodeMachine,1708606489081,1,9245,9245,38445,0.6666666666666666,0,1,2,63,SUCCESS,9245,b_WzN_r8ToGPle_8bl2tMA
3,ZoD,1707516798655,1,9269,9269,28653,0.0,0,0,0,75,SUCCESS,9269,TFtvCas4TRWchrBPMyGh0A
4,JJ,1709217060454,1,9312,9312,29004,0.0,0,0,0,55,SUCCESS,9312,afdcX_4vRH6Ussd0mbg5LQ
5,Nariox,1707742193211,1,9469,9469,35668,0.3333333333333333,0,1,1,70,SUCCESS,9469,AUWR9HasSr2j2V1bbAptNw
6,m45,1709247487281,1,9501,9501,35133,0.3333333333333333,0,0,1,72,SUCCESS,9501,EUSWllrrTRep0vB4VQ4RSg
7,-Just-Be-Better-,1707115968087,1,9591,9591,29774,0.0,0,0,0,100,SUCCESS,9591,X_dNmJilS8SDBQ44yzd2fg
8,sxpnp,1705380326873,1,9663,9663,33655,0.3333333333333333,0,1,1,100,SUCCESS,9663,GPJ-D-O9QSaDEqnHgTcAhQ
9,nickyl,1706714038231,1,9664,9664,33860,0.3333333333333333,0,1,1,68,SUCCESS,9664,O0GALYAoRfGA0kUV6ftgqQ
10,barkingdog,1709251069821,1,9721,9721,30317,0.0,0,0,0,20,SUCCESS,9721,b3960b6c6f58458880ceew
11,DaVinciDriver,1703333927765,1,9728,9728,30643,0.0,0,0,0,22,SUCCESS,9728,XtzXYz2pRByDnXz90XNGSw
12,ferrite,1708190146434,1,9737,9737,29918,0.0,0,0,0,43,SUCCESS,9737,SRAgn9lMTCmIjaBREP7hxA
13,BennyLBS,1709187804933,1,9771,9771,31502,0.0,0,0,0,94,SUCCESS,9771,wD3fjDFZTJaZd9AU7WRDlA
14,Skynet2023,1709028260475,1,9865,9865,30813,0.0,0,0,0,36,SUCCESS,9865,pUDqX82PTYqVFEPkz8GdHQ
15,Duckworth,1708930293856,1,9872,9872,30855,0.0,0,0,0,2,SUCCESS,9872,VIu9BQ4-Th6gUqu60ztwUQ
16,JPMC-Speedy-Gonzales-LATAM,1708110786094,1,9934,9934,34369,0.3333333333333333,0,1,1,40,SUCCESS,9934,McOa_W8cTW2EErfZhOoKxA
17,Completeddebug#9527,1707630126630,1,9940,9940,52950,2.0,0,6,6,88,SUCCESS,9940,G3O2N8lNSdCS3l-V8OMpNw
18,MLRacer-1,1709147841968,1,10037,10037,31780,0.0,0,0,0,84,SUCCESS,10037,BkzYLz2CSJyL3MKNeCeBrQ
19,BoltronRacingTeam,1708924017110,1,10053,10053,39920,0.6666666666666666,0,2,2,37,SUCCESS,10053,Lkrg6gQPQ5qwn61K16MHhg
20,marvinJ,1709116240485,1,10089,10089,35084,0.3333333333333333,0,1,1,44,SUCCESS,10089,qYLpCJ9pRkirjQqpwg1u0Q
21,londoso-monst,1706811069442,1,10119,10119,34704,0.3333333333333333,0,1,1,45,SUCCESS,10119,mQQF2PEFSvmDfnR4HGLM1Q
22,VelocityVirtuoso#8123,1703226406929,1,10142,10142,32187,0.0,0,0,0,9,SUCCESS,10142,SOaLDMtJTQWr55eR6v710Q
23,MrSamtani369,1702472697652,1,10199,10199,31785,0.0,0,0,0,23,SUCCESS,10199,VgMTZbfIT9eTfo38xYbINg
24,BSi,1702431057802,1,10200,10200,35726,0.3333333333333333,0,1,1,18,SUCCESS,10200,2eb231b0a43f4940bfed3w
25,kashi,1709250569182,1,10255,10255,31695,0.0,0,0,0,16,SUCCESS,10255,oq7yCLy5QAeEP6k7o53L8A
26,JerryLee,1709197169744,1,10262,10262,32355,0.0,0,0,0,98,SUCCESS,10262,BMjoJ3L7ShGsF5gA1lHdkw
27,DustyRacing,1707633973316,1,10268,10268,35875,0.3333333333333333,0,1,1,100,SUCCESS,10268,Vlo2vVAfQrqWadXhqFE38A
28,TimJWhite,1709088224310,1,10311,10311,32878,0.0,0,0,0,44,SUCCESS,10311,3dDHylmQSi-Rzd9uUamhlQ
29,Jochem,1705256189041,1,10325,10325,31979,0.0,0,0,0,5,SUCCESS,10325,RBPhZc5eTVmEF_gpSV7skg
30,Ernesto-PhilJ,1703159798167,1,10331,10331,31396,0.0,0,0,0,1,SUCCESS,10331,8zBEAp0-S5yGbcZvytGZGQ
31,Ansh7,1708843850576,1,10355,10355,32517,0.0,0,0,0,88,SUCCESS,10355,JCwxucKeRWO_Eij9nr98UQ
32,Off-track,1702849416191,1,10398,10398,31706,0.0,0,0,0,4,SUCCESS,10398,1R021ZoDQrqxSUiHfBvyEw
33,Chinyero,1704708457796,1,10459,10459,35844,0.3333333333333333,0,1,1,13,SUCCESS,10459,6tZZhsuTQ4KWJW8J8eRekg
34,MarkRoss,1701939806615,1,10463,10463,32588,0.0,0,0,0,1,SUCCESS,10463,9OT4p4dXQ2K2J5pOUfeGfg
35,JeffreyMonte-SPH-Media,1702970592067,1,10469,10469,47222,1.3333333333333333,0,4,4,22,SUCCESS,10469,GLWDtaYeS2eKxZfMhQ6Xkg
36,UCF08,1705789474113,1,10518,10518,40114,0.6666666666666666,0,2,2,100,SUCCESS,10518,GIuH_LXQQWCqvYAF2tqWIw
37,TonyJ,1709182925339,1,10529,10529,35829,0.3333333333333333,0,1,1,52,SUCCESS,10529,af962be5a4ed4c57af807w
38,maimai-DNPds,1708419711169,1,10597,10597,44096,1.0,0,3,3,7,SUCCESS,10597,ryz67FyKSXeRfzdmvfPzcg
39,Galileo,1703448363757,1,10608,10608,37505,0.3333333333333333,0,1,1,50,SUCCESS,10608,Y79AzaaOR-u4LVKMxu1Mdw
