Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
JPMC-Rogue-Hyderabad,1636680529680,1,25604.0,25604.0,94388.0,1.3333333333333333,2,2,4,2,1,SUCCESS,25604,OPEN,LKdw_hyKTSu7moFuxbmiZw
ADA,1636685554494,1,26730.0,26730.0,158007.0,1.4,1,6,7,2,2,SUCCESS,26730,OPEN,KiqOhQPjTamuBXicXnKGEA
Penguin-DNPds,1636673985345,1,27754.0,27754.0,143589.0,2.0,3,5,8,2,3,SUCCESS,27754,OPEN,Nr3YCYWGTA631Xqa0uDPhw
AJM-Model-1,1636685397745,1,27987.0,27987.0,164882.0,1.0,3,2,5,2,4,SUCCESS,27987,OPEN,gdsU9bkGRWW7LTEHP4rGgQ
Fumiaki,1636672901467,1,28114.0,28114.0,165221.0,1.0,5,0,5,2,5,SUCCESS,28114,OPEN,5RzBNYRAQoWVausi3eyhRg
TonyJ,1636685597630,1,31103.0,31103.0,146992.0,5.333333333333333,8,8,16,2,6,SUCCESS,31103,OPEN,af962be5a4ed4c57af807w
Ensono-Ernesto,1636666709866,1,31861.0,31861.0,163583.0,1.0,4,1,5,2,7,SUCCESS,31861,OPEN,8zBEAp0-S5yGbcZvytGZGQ
Matt,1636685286567,1,35212.0,35212.0,178380.0,1.0,5,0,5,2,8,SUCCESS,35212,OPEN,cVk-aYKdRUmuL0qmjyzmag
CGS-on-your-12-hopefully,1636685279250,1,37428.0,37428.0,164501.0,4.333333333333333,9,4,13,2,9,SUCCESS,37428,OPEN,C4LEAeusQ8uY4gJ45GcKlg
JPMC-HYD-CircuitBreakers,1636680089216,1,41525.0,41525.0,107400.0,7.0,8,6,14,2,10,SUCCESS,41525,OPEN,vA_gK0vxTNWI-MTWEWLAxw
ZoD,1636650919678,1,45061.0,45061.0,145277.0,11.5,1,22,23,2,11,SUCCESS,45061,OPEN,TFtvCas4TRWchrBPMyGh0A
Deepak-dpk,1636685373146,1,49172.0,49172.0,154578.0,4.0,3,9,12,2,12,SUCCESS,49172,OPEN,gDTBFK77TM6wD6uObZlulA
GT-DevelopersIO,1636673816558,1,68484.0,68484.0,162841.0,14.5,10,19,29,1,13,SUCCESS,68484,OPEN,8WSp4P7ZRn-jJgZLnugwkA
CGS-BigBoson,1636674376229,0,,,,0.0,0,0,0,2,14,SUCCESS,9223372036854775793,OPEN,U1DMLV72SSmIjLE-fPGbuw
