Rank,Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,LeaderboardSubmissionStatusType,RankingScore,UserId
1,ZoD,1722336303887,3,20041,19530,60125,0.0,0,0,0,50,SUCCESS,20041,TFtvCas4TRWchrBPMyGh0A
2,rosscomp1,1722442777140,3,20287,19601,60863,0.0,0,0,0,50,SUCCESS,20287,fb0d597a87f94697aa1c6w
3,AIDeepRacer,1722265799040,3,20420,19801,61260,0.0,0,0,0,50,SUCCESS,20420,pIRbdCx6QYatgVXm2p5GbA
4,EvidenMarkRoss,1722373359550,3,20465,19864,61395,0.0,0,0,0,50,SUCCESS,20465,9OT4p4dXQ2K2J5pOUfeGfg
5,Nariox,1722294002426,3,20529,20267,61589,0.0,0,0,0,50,SUCCESS,20529,AUWR9HasSr2j2V1bbAptNw
6,CodeMachine,1722407802619,3,20863,20535,62590,0.0,0,0,0,18,SUCCESS,20863,b_WzN_r8ToGPle_8bl2tMA
7,DBro,1722454452655,3,20889,20468,62668,0.0,0,0,0,42,SUCCESS,20889,jEkEOpjZRhGUbyDZIfTo_A
8,Duckworth,1722423844170,3,21064,20799,63193,0.0,0,0,0,50,SUCCESS,21064,VIu9BQ4-Th6gUqu60ztwUQ
9,BSi,1722438810494,3,21065,20467,63195,0.0,0,0,0,50,SUCCESS,21065,2eb231b0a43f4940bfed3w
10,Liao,1722468943242,3,21085,20593,63257,0.0,0,0,0,50,SUCCESS,21085,1mW7p6I1Q0-cB3Up-esBeQ
11,JJ,1722421383426,3,21128,20334,63385,0.0,0,0,0,50,SUCCESS,21128,afdcX_4vRH6Ussd0mbg5LQ
12,MattCamp,1722424593908,3,21153,20597,63460,0.0,0,0,0,50,SUCCESS,21153,9z8BN2mkSj-Dlb_Chg_0Hw
13,Deepak-dpk,1722435965089,3,21266,20803,63799,0.0,0,0,0,39,SUCCESS,21266,gDTBFK77TM6wD6uObZlulA
14,nickyl,1722415962663,3,21284,20791,63854,0.0,0,0,0,50,SUCCESS,21284,O0GALYAoRfGA0kUV6ftgqQ
