Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
BISA-groot,1665358727670,3,19398,19003,58194,0.0,0,0,0,4,1,SUCCESS,58194,OPEN,yxXvFBiITS2gw2Ih0vv3Mg
CleanHacker#1729,1665277761583,3,19754,19466,59263,0.0,0,0,0,53,2,SUCCESS,59263,OPEN,2DKXcqsqSKCgFZSLE5b83A
WStratos,1664930315330,3,21487,21206,64461,0.0,0,0,0,33,3,SUCCESS,64461,OPEN,I9d5rCIVQl-eiD9JOXy_XA
BISA-ws,1665360747751,3,21505,20735,64515,0.0,0,0,0,9,4,SUCCESS,64515,OPEN,R8YlP8cSTD-FPTusWff9xg
AlphaRacerGo,1665361270658,3,21973,21198,65919,0.0,0,0,0,49,5,SUCCESS,65919,OPEN,zh5WrIo3QxKpQkrMOC13_g
Pipsqueak6993,1664584394317,3,21998,20999,65994,0.0,0,0,0,2,6,SUCCESS,65994,OPEN,t0OrSHOwSJGIh_E80UL8Jg
Jeremy,1664974676339,3,22149,21264,66447,0.0,0,0,0,13,7,SUCCESS,66447,OPEN,UW_hVf9RQTyNNwcvoEYIbA
PrototypeHacker#5452,1665377046259,3,22250,22218,66751,1.0,0,3,3,2,8,SUCCESS,66751,OPEN,jCwOfI-0TCq6IV-72EVlIw
SecureTable#3189,1664732000426,3,22575,22469,67726,0.0,0,0,0,38,9,SUCCESS,67726,OPEN,60xvC_gjQCWt06-MZjCaHg
Robbrad182,1665215220565,3,22776,21724,68328,0.3333333333333333,0,1,1,13,10,SUCCESS,68328,OPEN,aOVC5dMoSjyJMfJHR_qb4g
Zero-dayGame#0018,1665203167460,3,22975,21859,68925,0.0,0,0,0,22,11,SUCCESS,68925,OPEN,6B4qiUOJTe2bImUQocehxQ
Gr1zzli3,1665339056589,3,23042,21530,69127,0.3333333333333333,0,1,1,26,12,SUCCESS,69127,OPEN,yDIET1T2TTmh48Lj1Kh9kQ
PassingPointer#0730,1664960264282,3,23110,22866,69332,0.0,0,0,0,20,13,SUCCESS,69332,OPEN,KRdA3g_PR4m174s4ezC71w
CurlyConsole#0172,1664895757497,3,23219,22932,69658,0.0,0,0,0,3,14,SUCCESS,69658,OPEN,iJS8ZJKCQKaofwDwOkVQqA
wainerSchnitz999,1665357005068,3,23264,22197,69792,0.3333333333333333,0,1,1,14,15,SUCCESS,69792,OPEN,ReVhgOJfR82gxF1VENqJcA
RocketHacker#0005,1665206095621,3,23372,23064,70118,0.0,0,0,0,21,16,SUCCESS,70118,OPEN,ZJYCnquRSz66fKFkF2eqYg
McClaren,1664863535047,3,23706,23268,71120,0.0,0,0,0,6,17,SUCCESS,71120,OPEN,6Y113pD9THKMdKPhvqpLQg
dujuan6,1664798657034,3,24086,23866,72258,0.0,0,0,0,17,18,SUCCESS,72258,OPEN,Umvy4G3SSgKoZ2cDbsNhbQ
TeamADT,1665373027012,3,24375,23469,73126,0.0,0,0,0,26,19,SUCCESS,73126,OPEN,UhZzLwzMRwmuZXovdZCxhA
deepracer21,1665301865132,3,24443,23132,73329,0.3333333333333333,0,1,1,37,20,SUCCESS,73329,OPEN,Hz9aMekRTCaXYC-YdsHSYw
HoduCut#7932,1665037917286,3,24465,24000,73395,0.0,0,0,0,8,21,SUCCESS,73395,OPEN,sHkc7WnCSRKJJrs6hjEeYA
SydneyTobyGor#007,1665073204733,3,24533,23192,73601,0.3333333333333333,0,1,1,10,22,SUCCESS,73601,OPEN,bkMGRqRHRu-hP-rFCIXQGw
NumericCircuit#1286,1665267758487,3,24731,24531,74193,0.0,0,0,0,12,23,SUCCESS,74193,OPEN,6yn40rpTSRiMZudnpQ-xdA
TheT800s,1665040330783,3,24752,23739,74257,0.0,0,0,0,28,24,SUCCESS,74257,OPEN,XY7eYj_9RBign9MVyfr1JA
D55,1665343599733,3,24864,24661,74592,0.0,0,0,0,84,25,SUCCESS,74592,OPEN,3Dd14zyjStW-AesRnWi6kw
IngWillMunoz#racer,1665001405308,3,24907,24669,74722,0.0,0,0,0,8,26,SUCCESS,74722,OPEN,NV2lSrXKRS6oXfPKNZ7l_Q
DReds,1664891731441,3,24913,22679,74740,1.6666666666666667,0,5,5,1,27,SUCCESS,74740,OPEN,ExkMtW9TQvyfl6MLLNU-hA
ForzaTeam#0006,1665280369544,3,24974,23265,74924,0.3333333333333333,0,1,1,11,28,SUCCESS,74924,OPEN,TRUOLsBpQ9eaKzCpgXPhgw
NestedAnalysis#3354,1665300750840,3,25085,23190,75257,0.6666666666666666,0,2,2,16,29,SUCCESS,75257,OPEN,zL2ksOJ1StOjNPu5igtTEg
UsableTest#8182,1665303862207,3,25173,25000,75521,0.0,0,0,0,3,30,SUCCESS,75521,OPEN,DLoFRg95Srmdf1tWtDH77A
QualifiedSpec#0001,1664982340808,3,25441,25131,76324,0.0,0,0,0,8,31,SUCCESS,76324,OPEN,GACJsVwnSJmBlMcF9pVLLg
Team3-Bruce,1664899346170,3,25443,25067,76329,1.0,0,3,3,12,32,SUCCESS,76329,OPEN,aTiBsL_0Rsinun4EFWoY9Q
MobileSlice#0012,1665278687818,3,25531,25205,76594,0.0,0,0,0,46,33,SUCCESS,76594,OPEN,5nVoxZVbSyG_3GovMu913w
Sliden,1665286108651,3,25996,23527,77988,0.6666666666666666,0,2,2,39,34,SUCCESS,77988,OPEN,vuKlzNPWSeug4c9qjFS5Yw
shoplazza,1665302500494,3,26086,24003,78260,0.3333333333333333,0,1,1,1,35,SUCCESS,78260,OPEN,TClj01nbROSsKsDfRXmpzA
