Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
RayG-DBS,1667254809613,3,15663,15266,46991,0.0,0,0,0,1,1,SUCCESS,46991,OPEN,YNrvM9f5RteeSrCl7oFC5w
Deloitte-OscarYuen,1666269325943,3,16508,16333,49525,0.0,0,0,0,234,2,SUCCESS,49525,OPEN,7cuSsdRBRtmUAJL9jLejxQ
Deloitte-KingsleyHo,1666446213516,3,16749,16134,50247,0.0,0,0,0,47,3,SUCCESS,50247,OPEN,3sX_9UbAR_eDjADyfESm2A
Deloitte-ChloeMow,1666357151463,3,17109,16731,51327,0.0,0,0,0,1,4,SUCCESS,51327,OPEN,dg4wYsumS-iBom2H5FuNgA
TheLannister,1666245948148,3,17419,17199,52257,0.0,0,0,0,22,5,SUCCESS,52257,OPEN,CmRBSkRdSauPbfTSqG69Vg
Carvai,1665577506231,3,17621,17403,52864,0.0,0,0,0,10,6,SUCCESS,52864,OPEN,SsDvF8JeRvaeXye0kQfvpA
TeamCourage,1667050553226,3,17708,17600,53126,0.0,0,0,0,11,7,SUCCESS,53126,OPEN,TllJNiIRQ4mBofBUsOPeWw
NishK-Racer,1666279969551,3,18620,17333,55860,0.0,0,0,0,81,8,SUCCESS,55860,OPEN,BpPc-0niQz-DL6aJQGuovw
Grenader-VMware,1667184614648,3,18775,18468,56326,0.0,0,0,0,30,9,SUCCESS,56326,OPEN,xm7_HyibQji6N4dvndWRcg
Xanthic,1666162907295,3,18863,18271,56591,0.0,0,0,0,11,10,SUCCESS,56591,OPEN,bCGk36IySiGpKF2wet77lQ
thefastandthefurious,1665547141699,3,18975,18660,56926,0.0,0,0,0,70,11,SUCCESS,56926,OPEN,yxXvFBiITS2gw2Ih0vv3Mg
CleanHacker#1729,1665277761583,3,19754,19466,59263,0.0,0,0,0,160,12,SUCCESS,59263,OPEN,2DKXcqsqSKCgFZSLE5b83A
15-3HandsomeGuys,1666932075945,3,20019,19801,60059,0.0,0,0,0,73,13,SUCCESS,60059,OPEN,FelDAGLhStyTxkOEVe3a4A
Sliden,1666268723079,3,21034,19224,63103,0.6666666666666666,0,2,2,62,14,SUCCESS,63103,OPEN,vuKlzNPWSeug4c9qjFS5Yw
HA-HA,1665737403703,3,21398,21065,64195,1.0,0,3,3,5,15,SUCCESS,64195,OPEN,3S-QhhVNSIODbI-SDABMzg
WStratos,1664930315330,3,21487,21206,64461,0.0,0,0,0,33,16,SUCCESS,64461,OPEN,I9d5rCIVQl-eiD9JOXy_XA
BISA-ws,1665360747751,3,21505,20735,64515,0.0,0,0,0,42,17,SUCCESS,64515,OPEN,R8YlP8cSTD-FPTusWff9xg
D55,1667097146541,3,21509,20868,64528,0.0,0,0,0,1179,18,SUCCESS,64528,OPEN,3Dd14zyjStW-AesRnWi6kw
FiniteScript#4638,1666978192933,3,21576,21407,64730,0.0,0,0,0,28,19,SUCCESS,64730,OPEN,7nSfwkUuQrCAWPNSrbjLrA
Incheon-harvard,1665765729862,3,21619,21334,64857,0.0,0,0,0,54,20,SUCCESS,64857,OPEN,Hz9aMekRTCaXYC-YdsHSYw
AlphaRacerGo,1665361270658,3,21973,21198,65919,0.0,0,0,0,55,21,SUCCESS,65919,OPEN,zh5WrIo3QxKpQkrMOC13_g
Pipsqueak6993,1664584394317,3,21998,20999,65994,0.0,0,0,0,2,22,SUCCESS,65994,OPEN,t0OrSHOwSJGIh_E80UL8Jg
YunTechAIGOOO,1667069762887,3,22064,21866,66192,0.0,0,0,0,21,23,SUCCESS,66192,OPEN,5hS3OtbHSj6igtsJtxZ-Ow
Jeremy,1664974676339,3,22149,21264,66447,0.0,0,0,0,15,24,SUCCESS,66447,OPEN,UW_hVf9RQTyNNwcvoEYIbA
ConnectedVariable#9810,1666299246680,3,22197,22003,66591,0.0,0,0,0,67,25,SUCCESS,66591,OPEN,Dq5VT2ddSm6g1Bh8jRYKyg
PrototypeHacker#5452,1665377046259,3,22250,22218,66751,1.0,0,3,3,11,26,SUCCESS,66751,OPEN,jCwOfI-0TCq6IV-72EVlIw
Sp-ace-Cowboys,1666994830499,3,22264,22132,66792,0.0,0,0,0,72,27,SUCCESS,66792,OPEN,jneL7lWHTbq82b8YBmWlDg
Big-Buster,1666384395295,3,22264,21137,66794,0.3333333333333333,0,1,1,10,28,SUCCESS,66794,OPEN,yvnXalGQTUG-yhWSY1Np-Q
kongdebao,1666101141309,3,22331,21996,66995,0.0,0,0,0,20,29,SUCCESS,66995,OPEN,GnEI5sV_SnqIdz1Zij1rNA
d0vahk11n,1666624372194,3,22441,22130,67323,0.0,0,0,0,114,30,SUCCESS,67323,OPEN,u8JgQqx0Sy-aSEUb2z9RZQ
RecursiveCommand#1911,1667010709570,3,22441,22270,67325,0.0,0,0,0,15,31,SUCCESS,67325,OPEN,zEiV4FArTVmvIES36R0PhA
SecureTable#3189,1664732000426,3,22575,22469,67726,0.0,0,0,0,38,32,SUCCESS,67726,OPEN,60xvC_gjQCWt06-MZjCaHg
mtlong,1666365072562,3,22639,21272,67919,0.3333333333333333,0,1,1,14,33,SUCCESS,67919,OPEN,wLNijw2iQHyiiCRqlMyAGg
SequentialValue#6602,1665737995713,3,22663,21269,67991,0.3333333333333333,0,1,1,2,34,SUCCESS,67991,OPEN,Wxlq2ZmuTCSQixJ423ydPQ
SecureLog#5358,1665841098028,3,22749,22065,68248,0.0,0,0,0,3,35,SUCCESS,68248,OPEN,PrUQ0GHLTsaHEufs1PQI7A
rbradaws,1665215220565,3,22776,21724,68328,0.3333333333333333,0,1,1,14,36,SUCCESS,68328,OPEN,aOVC5dMoSjyJMfJHR_qb4g
G3mha,1666748076828,3,22816,19467,68449,1.0,0,3,3,21,37,SUCCESS,68449,OPEN,JVryXiumQDuAvoOWogaTOw
TestableBraces#3863,1665761750705,3,22841,20263,68525,0.6666666666666666,0,2,2,1,38,SUCCESS,68525,OPEN,BAzijyLUS4W80vdIi_-YUQ
DeepRacer-14,1666202274543,3,22888,22798,68665,0.0,0,0,0,12,39,SUCCESS,68665,OPEN,6sGBOIMBRby7dGwzoQ6huw
Schumilton-Senna,1666969789861,3,22909,22597,68729,0.0,0,0,0,111,40,SUCCESS,68729,OPEN,cNe3EejwQHqvicSGALJi7w
SquareNotation#2517,1666102112214,3,22950,22662,68851,0.0,0,0,0,4,41,SUCCESS,68851,OPEN,1j2pjHs8QS6-yLoQKRiuCQ
wainerSchnitz999,1665477208311,3,22962,21338,68887,0.3333333333333333,0,1,1,24,42,SUCCESS,68887,OPEN,ReVhgOJfR82gxF1VENqJcA
Zero-dayGame#0018,1665203167460,3,22975,21859,68925,0.0,0,0,0,22,43,SUCCESS,68925,OPEN,6B4qiUOJTe2bImUQocehxQ
yuyao3,1665463733925,3,23020,21665,69060,0.3333333333333333,0,1,1,13,44,SUCCESS,69060,OPEN,rjBfbZFFS2q-W88TmPtTug
Gr1zzli3,1665339056589,3,23042,21530,69127,0.3333333333333333,0,1,1,64,45,SUCCESS,69127,OPEN,yDIET1T2TTmh48Lj1Kh9kQ
FormulaicDiff#5540,1665670711391,3,23107,22930,69323,0.0,0,0,0,16,46,SUCCESS,69323,OPEN,04aughzVRu2d_asZgi5OQQ
m-610,1664960264282,3,23110,22866,69332,0.0,0,0,0,35,47,SUCCESS,69332,OPEN,KRdA3g_PR4m174s4ezC71w
CurlyConsole#0172,1664895757497,3,23219,22932,69658,0.0,0,0,0,3,48,SUCCESS,69658,OPEN,iJS8ZJKCQKaofwDwOkVQqA
Latteking#6999,1667071379982,3,23269,23075,69809,0.0,0,0,0,37,49,SUCCESS,69809,OPEN,92oUXU1wRjmYrWiHwzucXw
BetaTech#7721,1665559496335,3,23285,23127,69855,0.0,0,0,0,29,50,SUCCESS,69855,OPEN,9VKJEhB3TSKeHXU1VCRoKQ
hansol,1665415207336,3,23329,23062,69988,0.0,0,0,0,12,51,SUCCESS,69988,OPEN,pJ3w5JWmQqSVO2wDPLQUIQ
chongya-chenhao,1667052111731,3,23353,22265,70061,0.3333333333333333,0,1,1,7,52,SUCCESS,70061,OPEN,gX8ExVVJT8WAZF5eys9ysg
RocketHacker#0005,1665206095621,3,23372,23064,70118,0.0,0,0,0,21,53,SUCCESS,70118,OPEN,ZJYCnquRSz66fKFkF2eqYg
CircuitBreakers,1666903135025,3,23441,21460,70323,0.3333333333333333,0,1,1,110,54,SUCCESS,70323,OPEN,81e6aO8oSOacZ-d6hQoHKg
gunwonlee,1666018826193,3,23578,21998,70736,0.3333333333333333,0,1,1,81,55,SUCCESS,70736,OPEN,Vlfhd1sxSKWEoz1om6wwaQ
LASiK,1666254707695,3,23596,21327,70790,0.6666666666666666,0,2,2,70,56,SUCCESS,70790,OPEN,6YcL2isyRP61SSuxyLHsyg
TheStigHimself,1666899910735,3,23597,23200,70791,0.0,0,0,0,9,57,SUCCESS,70791,OPEN,kHA9pGngTKSc-UxFMPR5qA
McClaren,1664863535047,3,23706,23268,71120,0.0,0,0,0,6,58,SUCCESS,71120,OPEN,6Y113pD9THKMdKPhvqpLQg
InnoServe-YunTechAIGO-,1666035293210,3,23753,21528,71260,0.6666666666666666,0,2,2,19,59,SUCCESS,71260,OPEN,CKQaSiaSRLSumCaeeJVVlQ
ScottS,1666720488426,3,23797,22737,71393,0.0,0,0,0,32,60,SUCCESS,71393,OPEN,raTgTE4tQFGqJFPnsqCGIQ
DeepLearning101,1666830089437,3,23828,21136,71485,0.6666666666666666,0,2,2,3,61,SUCCESS,71485,OPEN,R7iALXcFQtiHUgaOJe4ptg
FunRacer-TSN-NS,1667106450859,3,23881,23260,71644,0.0,0,0,0,10,62,SUCCESS,71644,OPEN,A80nUw_WQp6gGTUGstn1jw
tulip#2,1666675990938,3,23887,23802,71661,0.0,0,0,0,895,63,SUCCESS,71661,OPEN,qBkmhwMqRzifmmMEmtQwbQ
Dejavu#YutongZhang,1667042928608,3,23908,23742,71725,0.0,0,0,0,52,64,SUCCESS,71725,OPEN,hvXSlB1SQ562uM6Ex7-qOA
ChongYa-zhoujiaqi,1667027735252,3,23929,21462,71787,0.6666666666666666,0,2,2,22,65,SUCCESS,71787,OPEN,KNKlRQ8fSQKK0Dv8cGttDw
Tang,1665850166157,3,23930,22253,71790,0.3333333333333333,0,1,1,42,66,SUCCESS,71790,OPEN,SbnHFkTLRyqYwvGvtybOGA
zhangzhenjiang,1665740699438,3,23952,21795,71857,0.6666666666666666,0,2,2,10,67,SUCCESS,71857,OPEN,Tu1CfN6GTcOYcbj70BOIeA
dujuan6,1665721446532,3,23996,23731,71989,0.0,0,0,0,26,68,SUCCESS,71989,OPEN,Umvy4G3SSgKoZ2cDbsNhbQ
BrainyPackage#6758,1666910798444,3,23997,23740,71993,0.0,0,0,0,6,69,SUCCESS,71993,OPEN,8-vCA6ZhSpiir3KzwNi61w
ChongYa-FuJia,1667050341889,3,24109,21924,72329,0.6666666666666666,0,2,2,30,70,SUCCESS,72329,OPEN,AC72INeIQ3K3YG_FAQ5RDg
Prarthana-gurav,1666872747465,3,24147,23867,72442,0.0,0,0,0,7,71,SUCCESS,72442,OPEN,syQ0co2xTFaCj7v819iHXA
