Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
JJ,1633590288333,3,23612,23362,70838,0.0,0,0,0,261,1,SUCCESS,70838,PRO,afdcX_4vRH6Ussd0mbg5LQ
Duckworth,1633568046216,3,25837,25317,77512,0.0,0,0,0,628,2,SUCCESS,77512,PRO,VIu9BQ4-Th6gUqu60ztwUQ
Deepak-dpk,1633578617406,3,32930,26472,98790,1.6666666666666667,1,4,5,55,3,SUCCESS,98790,PRO,gDTBFK77TM6wD6uObZlulA
Bandwidth-RnD,1633444669264,3,38945,36063,116835,0.6666666666666666,1,1,2,142,4,SUCCESS,116835,PRO,77V1kp1kRJCO5D4zgSrqxA
kimwooglae,1633230368101,3,41618,38481,124856,3.6666666666666665,0,11,11,1073,5,SUCCESS,124856,PRO,bOqKo-ebR_essdUaZVGO4Q
Aurora-DNPds,1633599574310,3,41735,37776,125206,1.6666666666666667,1,4,5,82,6,SUCCESS,125206,PRO,26fba66bedca4aa3bca47w
atnmn,1633500329476,3,42240,39210,126720,1.6666666666666667,0,5,5,774,7,SUCCESS,126720,PRO,b3960b6c6f58458880ceew
KenyaMpya,1633199826199,3,43584,35754,130752,2.3333333333333335,0,7,7,735,8,SUCCESS,130752,PRO,ttQ3BR0RTiGi0tdduIXIzA
Breadcentric,1633560015913,3,45713,40433,137141,4.666666666666667,1,13,14,8,9,SUCCESS,137141,PRO,SjNec5b-SpOk7y9b6rh4KQ
Ernesto,1633153203610,3,46318,45023,138956,4.0,1,11,12,652,10,SUCCESS,138956,PRO,8zBEAp0-S5yGbcZvytGZGQ
blueberrypie,1633565692015,3,48979,43365,146938,5.333333333333333,0,16,16,197,11,SUCCESS,146938,PRO,EmZsQC41RtW5hhxb6z2-xQ
Xavier,1633327993239,3,49251,44606,147753,3.6666666666666665,1,10,11,338,12,SUCCESS,147753,PRO,pPhTbPBRSg-L3tYPKcCjcA
JPMC-Rogue-Hyderabad,1633499332133,3,52221,44818,156663,6.0,2,16,18,15,13,SUCCESS,156663,PRO,LKdw_hyKTSu7moFuxbmiZw
Yuliya,1633511384590,3,52269,48902,156807,3.3333333333333335,3,7,10,168,14,SUCCESS,156807,PRO,JWJgkv8bSKeMIGYZ9roR-A
ProteusXplorer,1633277213758,3,52395,48266,157185,1.6666666666666667,5,0,5,3,15,SUCCESS,157185,PRO,iRqwbBoKQY-tP2tGpIMlxA
CGS-BigBoson,1633571702506,3,52583,43678,157751,5.333333333333333,0,16,16,1169,16,SUCCESS,157751,PRO,U1DMLV72SSmIjLE-fPGbuw
JPMC-HYD-CircuitBreakers,1633613997066,3,53412,45474,160236,3.6666666666666665,2,9,11,86,17,SUCCESS,160236,PRO,vA_gK0vxTNWI-MTWEWLAxw
ep-dr-racer1,1633568106578,3,53442,48954,160328,6.333333333333333,0,19,19,246,18,SUCCESS,160328,PRO,vEZxFEnhQHeI5tKR4Tz3rQ
AIDeepRacer,1633086000509,3,55926,45579,167779,8.666666666666666,0,26,26,155,19,SUCCESS,167779,PRO,pIRbdCx6QYatgVXm2p5GbA
CGS-LargeLattice,1633077149737,3,56375,50723,169127,6.666666666666667,4,16,20,4,20,SUCCESS,169127,PRO,o6NgljsnTOOelVAsofMR3g
Wingism,1633595591686,3,57730,52679,173192,2.3333333333333335,3,4,7,13,21,SUCCESS,173192,PRO,Spey2yUETeKA1doS2t-McQ
think,1633240481396,3,59423,53926,178270,6.333333333333333,6,13,19,1,22,SUCCESS,178270,PRO,IHHC4YftQLaMAs0VyXFJzw
Fumiaki,1633048076942,3,59994,52393,179983,6.666666666666667,2,18,20,5,23,SUCCESS,179983,PRO,5RzBNYRAQoWVausi3eyhRg
PolishThunder,1633094342869,3,60575,56470,181727,9.0,2,25,27,1,24,SUCCESS,181727,PRO,qi512oGVTry8V-KtP6j2_w
CGS-on-your-12-hopefully,1633483763687,3,60633,51811,181899,6.666666666666667,2,18,20,10,25,SUCCESS,181899,PRO,C4LEAeusQ8uY4gJ45GcKlg
JPMC-MUMBAI-FormulaAI,1633459896956,3,60951,53533,182853,8.0,3,21,24,8,26,SUCCESS,182853,PRO,Gx2StgEoSza3Gxxo4Oghug
JPMC-HYD-Crusaders,1633272460841,3,62250,60777,186752,3.6666666666666665,2,9,11,352,27,SUCCESS,186752,PRO,V0qPcq3FQhyn3gy0ysuUHw
ABaykov,1633060916527,3,62792,59210,188377,7.666666666666667,3,20,23,14,28,SUCCESS,188377,PRO,aa28j7SWTd-LxMzvFoj_bA
Galileo,1633369983264,3,63863,57215,191591,5.333333333333333,2,14,16,116,29,SUCCESS,191591,PRO,Y79AzaaOR-u4LVKMxu1Mdw
SRE-Aidan,1633338508557,3,64658,58785,193975,4.666666666666667,5,9,14,1,30,SUCCESS,193975,PRO,1rXjpWlKRyiBAiYXI8OM1w
Sing-2-SG12,1633311879974,3,64941,54680,194823,7.666666666666667,3,20,23,2,31,SUCCESS,194823,PRO,WSgyYux8TK-P40l8VL8jRg
mayurmadnani,1633066151077,3,66784,57934,200354,8.0,4,20,24,4,32,SUCCESS,200354,PRO,hr8K12KMRhSIDUEJbQT8fg
S-P-,1633087321844,3,67629,60376,202889,10.0,1,29,30,5,33,SUCCESS,202889,PRO,MxT5p4ZvSTOcc6ANa8VZNg
Bayang,1633247041368,3,67933,61460,203799,8.333333333333334,2,23,25,12,34,SUCCESS,203799,PRO,7025becd29d44c3ca24b2Q
BLR-1-AWSTruck,1633316282936,3,68045,66139,204136,10.666666666666666,2,30,32,44,35,SUCCESS,204136,PRO,5QgNJ6hLRwOy2hUwgMKdig
JPMC-HYD-SPD,1633533713545,3,68172,61392,204517,6.333333333333333,3,16,19,35,36,SUCCESS,204517,PRO,u5StnMv9QNmxDwE06MKSbA
Racer0,1633141234468,3,69111,61987,207335,9.666666666666666,5,24,29,2,37,SUCCESS,207335,PRO,dY54GPz6Q4-ri__AZcnzog
NguyenTrungThanh,1633272128308,3,69190,62188,207570,5.666666666666667,2,15,17,9,38,SUCCESS,207570,PRO,kaVGgECET--R_b6c8bHhpQ
AJM-Model-1,1633182977077,3,69540,66546,208622,12.0,3,33,36,2,39,SUCCESS,208622,PRO,gdsU9bkGRWW7LTEHP4rGgQ
BrainyTest#7599,1633236256822,3,69732,57171,209196,4.666666666666667,8,6,14,4,40,SUCCESS,209196,PRO,k_aoSr_DRFq9xHHBn97OKQ
Rober,1633074796569,3,70294,59443,210884,10.666666666666666,7,24,32,1,41,SUCCESS,210884,PRO,KrRSYhzKTfONjRaDUc_ubQ
Carvai,1633575759826,3,70386,60608,211159,9.333333333333334,5,23,28,3,42,SUCCESS,211159,PRO,SsDvF8JeRvaeXye0kQfvpA
Yo-no-fui,1633379517265,3,71279,62242,213838,10.0,3,27,30,2,43,SUCCESS,213838,PRO,BMnfFwxdQECmMf_8A7VHoA
SwethaDeepRacer,1633199729661,3,72051,65488,216155,6.333333333333333,6,13,19,4,44,SUCCESS,216155,PRO,gRScGEGDTKKTiUUdqcb2kg
gcjordi,1633278674438,3,72333,63806,217000,7.666666666666667,4,18,23,8,45,SUCCESS,217000,PRO,4n-0HYIyQ2241dJ4tZirRg
BoogieTimeProductions,1633426079488,3,72496,67753,217490,8.333333333333334,4,21,25,9,46,SUCCESS,217490,PRO,MUyQlFafT0yFhQr1sApn9Q
Groovy-DNPds,1633418990105,3,72910,62307,218732,6.0,5,13,18,2,47,SUCCESS,218732,PRO,a4fb0e167d0e4112942c1Q
anuj-aggarwal,1633156988429,3,73646,61804,220939,11.0,3,30,33,4,48,SUCCESS,220939,PRO,o_BkPc7jTK68tjHZiBRQEw
JPMC-BA-LePibes,1633396405773,3,73867,67726,221601,7.666666666666667,4,19,23,11,49,SUCCESS,221601,PRO,-tV_CPPDRjydYKmXGOaeBw
JPMC-HandsFree-London,1633526825926,3,74127,63856,222383,10.666666666666666,6,25,32,24,50,SUCCESS,222383,PRO,DZAYqyd-Tp6eE15IopWCgQ
JPMC-Delaware-Sandbox05,1633106998278,3,74331,71934,222994,5.666666666666667,4,13,17,15,51,SUCCESS,222994,PRO,ghx1iHPiSMq0RveHSU3pIA
RushingBear-NUK,1633113101556,3,74873,71085,224619,8.666666666666666,2,24,26,8,52,SUCCESS,224619,PRO,R2fKLJClSIyIZKqNmDKkTA
Mentaiko-DevelopersIO,1633068510031,3,75280,72099,225840,5.333333333333333,7,9,16,1,53,SUCCESS,225840,PRO,Wt5C8BPAS0OPlzY3-txb-w
MING-CHUN,1633337041825,3,75783,61024,227351,7.0,7,14,21,1,54,SUCCESS,227351,PRO,qoQoafc4RhGMzWx_fwBp4w
Jacky-LeadingAI,1633072458855,3,75911,63666,227734,13.0,5,34,39,6,55,SUCCESS,227734,PRO,G17n-1ZGRomjX-x9WXUvhw
Kire,1633090521557,3,76193,66628,228579,10.666666666666666,5,27,32,16,56,SUCCESS,228579,PRO,N0y9CR6fQN-a4UlAFsTC5Q
Unsupervised-Racers,1633414071946,3,76748,66953,230246,9.0,6,21,27,11,57,SUCCESS,230246,PRO,owY2-b_kS9aa8-39rBz7Kw
Riyadh,1633607040887,3,77313,74071,231939,10.0,3,27,30,6,58,SUCCESS,231939,PRO,XEDnTwq3S1Kz0rVPu0hfrA
