Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
JJ,1635388933155,3,22192,22121,66578,0.0,0,0,0,6061,1,SUCCESS,66578,PRO,afdcX_4vRH6Ussd0mbg5LQ
Karl-NAB,1635415652507,3,22887,22680,68661,0.0,0,0,0,2453,2,SUCCESS,68661,PRO,4vOOxLIsSjeL2WFaO5o_fQ
rosscomp1,1635223608249,3,24037,23796,72111,0.0,0,0,0,1185,3,SUCCESS,72111,PRO,fb0d597a87f94697aa1c6w
JPMC-HYD-02,1635172893995,3,24142,24100,72428,0.0,0,0,0,286,4,SUCCESS,72428,PRO,LKdw_hyKTSu7moFuxbmiZw
Duckworth,1633961166887,3,24328,24075,72986,0.0,0,0,0,4294,5,SUCCESS,72986,PRO,VIu9BQ4-Th6gUqu60ztwUQ
Ghost-Rider-007,1635530294152,3,24490,24272,73471,0.0,0,0,0,7,6,SUCCESS,73471,PRO,yjfHxWGORWWg1wHFQFBH4g
PolishThunder,1635573084212,3,24526,24063,73578,0.0,0,0,0,1550,7,SUCCESS,73578,PRO,qi512oGVTry8V-KtP6j2_w
Ernesto-PhilJ,1635480963802,3,24542,24498,73626,0.0,0,0,0,3103,8,SUCCESS,73626,PRO,8zBEAp0-S5yGbcZvytGZGQ
Yi-LI-NYCU-CGI,1634104458625,3,24793,24317,74379,0.3333333333333333,0,1,1,196,9,SUCCESS,74379,PRO,jrJHq8pZQAyj4gGqMw8-DQ
Fumiaki,1635633942745,3,24848,24740,74544,0.0,0,0,0,3031,10,SUCCESS,74544,PRO,5RzBNYRAQoWVausi3eyhRg
ZhengYi-NYCU-CGI,1633976540889,3,25322,25060,75966,0.0,0,0,0,440,11,SUCCESS,75966,PRO,qY4J9IzvQS6a1N-KZXwviA
Penguin-DNPds,1635579299658,3,25348,25132,76044,0.0,0,0,0,1303,12,SUCCESS,76044,PRO,Nr3YCYWGTA631Xqa0uDPhw
ZoD,1635397145666,3,25675,25561,77026,0.0,0,0,0,1204,13,SUCCESS,77026,PRO,TFtvCas4TRWchrBPMyGh0A
GT-DevelopersIO,1635498628387,3,25725,25615,77175,0.0,0,0,0,1124,14,SUCCESS,77175,PRO,8WSp4P7ZRn-jJgZLnugwkA
Yoway-NYCU-CGI,1635634756710,3,25758,24820,77274,0.3333333333333333,0,1,1,312,15,SUCCESS,77274,PRO,1fBE9Y-DR4aOhdY6ydu-rA
AJM-Model-1,1635411291484,3,25797,25128,77392,0.0,0,0,0,1620,16,SUCCESS,77392,PRO,gdsU9bkGRWW7LTEHP4rGgQ
JPMC-HYD-09,1635657656616,3,25933,25789,77800,0.0,0,0,0,889,17,SUCCESS,77800,PRO,vA_gK0vxTNWI-MTWEWLAxw
TonyJ,1635697626529,3,26014,25626,78042,0.0,0,0,0,1584,18,SUCCESS,78042,PRO,af962be5a4ed4c57af807w
ADA,1635260170839,3,26063,25272,78191,0.0,0,0,0,354,19,SUCCESS,78191,PRO,KiqOhQPjTamuBXicXnKGEA
CGS-BigBoson,1634188811277,3,26285,25857,78855,0.0,0,0,0,6894,20,SUCCESS,78855,PRO,U1DMLV72SSmIjLE-fPGbuw
Deepak-dpk,1635699880162,3,26345,26166,79035,0.0,0,0,0,2819,21,SUCCESS,79035,PRO,gDTBFK77TM6wD6uObZlulA
CGS-Huge-Hadr0n,1635652501270,3,26469,25047,79409,0.3333333333333333,0,1,1,1869,22,SUCCESS,79409,PRO,63LA0_QCQ1-fRLzXgWmAeQ
JPMC-HYD-SpeedSters,1635708111233,3,26648,24539,79945,0.3333333333333333,1,0,1,41,23,SUCCESS,79945,PRO,6fdcVCAkQtCCsyHEO0LNiA
MattKreder,1634960538575,3,27046,26409,81140,0.0,0,0,0,2767,24,SUCCESS,81140,PRO,cVk-aYKdRUmuL0qmjyzmag
CGS-on-your-12-hopefully,1635546217720,3,27183,26647,81550,0.0,0,0,0,1700,25,SUCCESS,81550,PRO,C4LEAeusQ8uY4gJ45GcKlg
SG-JPMC-03,1635713595294,3,27188,26655,81565,0.0,0,0,0,366,26,SUCCESS,81565,PRO,LJzDpiNuTFeHu9dsqp1APw
CGS-LargeLattice,1635117092423,3,27380,27375,82142,0.0,0,0,0,1376,27,SUCCESS,82142,PRO,o6NgljsnTOOelVAsofMR3g
JPMC-BMTH-RacersOfTheLostArk,1635561251031,3,32001,31661,96003,0.0,0,0,0,900,28,SUCCESS,96003,PRO,4607b3c36ab4490cad7a4w
Bandwidth-RnD,1634632343586,3,33649,33369,100949,0.0,0,0,0,852,29,SUCCESS,100949,PRO,77V1kp1kRJCO5D4zgSrqxA
Aurora-DNPds,1634538250057,3,34740,33757,104222,0.3333333333333333,0,1,1,1524,30,SUCCESS,104222,PRO,26fba66bedca4aa3bca47w
KenyaMpya,1634324869909,3,35367,35298,106102,0.0,0,0,0,3121,31,SUCCESS,106102,PRO,ttQ3BR0RTiGi0tdduIXIzA
UberAllen,1635366499149,3,35829,34286,107489,2.3333333333333335,0,7,7,1420,32,SUCCESS,107489,PRO,ASI6Udz9QCewwoQHEyDbpw
Yuliya,1635698665049,3,36058,33629,108175,0.3333333333333333,1,0,1,2464,33,SUCCESS,108175,PRO,JWJgkv8bSKeMIGYZ9roR-A
barkingdog,1635037476048,3,36283,34280,108851,1.3333333333333333,0,4,4,3281,34,SUCCESS,108851,PRO,b3960b6c6f58458880ceew
JPMC-LONDON-HandsFree,1634746396721,3,38618,29074,115856,2.6666666666666665,0,8,8,536,35,SUCCESS,115856,PRO,DZAYqyd-Tp6eE15IopWCgQ
ep-dr-racer1,1635030126047,3,38633,35493,115900,1.6666666666666667,0,5,5,2814,36,SUCCESS,115900,PRO,vEZxFEnhQHeI5tKR4Tz3rQ
blueberrypie,1634358505323,3,38718,37312,116156,2.6666666666666665,0,8,8,2747,37,SUCCESS,116156,PRO,EmZsQC41RtW5hhxb6z2-xQ
AIDeepRacer,1635522214755,3,38757,37096,116271,3.3333333333333335,0,10,10,175,38,SUCCESS,116271,PRO,pIRbdCx6QYatgVXm2p5GbA
Galileo,1634213827276,3,39721,37552,119165,0.3333333333333333,1,0,1,1156,39,SUCCESS,119165,PRO,Y79AzaaOR-u4LVKMxu1Mdw
S-P-,1635701461710,3,40308,33476,120924,1.3333333333333333,3,1,4,9,40,SUCCESS,120924,PRO,MxT5p4ZvSTOcc6ANa8VZNg
CGS-Slipstream,1635673638935,3,40535,38333,121605,0.3333333333333333,1,0,1,942,41,SUCCESS,121605,PRO,N6W21hRAQAqs-12kYgYM6Q
anuj-aggarwal,1635695207800,3,40654,37127,121962,0.6666666666666666,1,1,2,192,42,SUCCESS,121962,PRO,o_BkPc7jTK68tjHZiBRQEw
kimwooglae,1633230368101,3,41618,38481,124856,3.6666666666666665,0,11,11,2122,43,SUCCESS,124856,PRO,bOqKo-ebR_essdUaZVGO4Q
JPMC-MUM-006,1633903123886,3,41648,36137,124945,1.0,3,0,3,1,44,SUCCESS,124945,PRO,mvhmcw-ET5igAaFz3O6kGw
EnBW-Flitzer,1635309543840,3,41915,32660,125745,3.3333333333333335,1,9,10,39,45,SUCCESS,125745,PRO,je1HIMgRQtibB3H9325TRw
Janesoki,1635705187713,3,41918,39399,125754,0.3333333333333333,1,0,1,95,46,SUCCESS,125754,PRO,3SvT2_04Tl-5RIyNtDNtjA
Breadcentric,1633560015913,3,45713,40433,137141,4.666666666666667,1,13,14,9,47,SUCCESS,137141,PRO,SjNec5b-SpOk7y9b6rh4KQ
KenitoOvbioba,1634126769248,3,46424,42005,139272,0.6666666666666666,2,0,2,27,48,SUCCESS,139272,PRO,iRqwbBoKQY-tP2tGpIMlxA
Xavier,1633327993239,3,49251,44606,147753,3.6666666666666665,1,10,11,917,49,SUCCESS,147753,PRO,pPhTbPBRSg-L3tYPKcCjcA
ABaykov,1634332636530,3,49623,44596,148871,3.6666666666666665,3,8,11,100,50,SUCCESS,148871,PRO,aa28j7SWTd-LxMzvFoj_bA
Ash-DNPds,1635143851736,3,49908,47622,149726,3.3333333333333335,4,6,10,523,51,SUCCESS,149726,PRO,9aced9109a634d11a3134w
Jacky-LeadingAI,1635722488067,3,51874,45206,155624,7.333333333333333,0,22,22,11,52,SUCCESS,155624,PRO,G17n-1ZGRomjX-x9WXUvhw
kapil-kdn,1635719251347,3,52553,49927,157660,1.3333333333333333,2,2,4,79,53,SUCCESS,157660,PRO,vrUZUm-aQQCQ0rEZjXcfOA
ferrite,1635720458051,3,52891,47533,158675,2.0,3,3,6,10,54,SUCCESS,158675,PRO,SRAgn9lMTCmIjaBREP7hxA
Easy,1635484159982,3,53351,50311,160053,3.0,1,8,9,71,55,SUCCESS,160053,PRO,cgLgETS5QCGRqS1C87KqxQ
