Rank,Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,LeaderboardSubmissionStatusType,RankingScore,UserId
1,CodeMachine,1715942331246,1,13865,13865,65457,0.6666666666666666,0,1,2,12,SUCCESS,13865,b_WzN_r8ToGPle_8bl2tMA
2,JJ,1715383398423,1,14270,14270,54924,0.3333333333333333,0,1,1,6,SUCCESS,14270,afdcX_4vRH6Ussd0mbg5LQ
3,Duckworth,1715319932446,1,14472,14472,44668,0.0,0,0,0,1,SUCCESS,14472,VIu9BQ4-Th6gUqu60ztwUQ
4,Nariox,1715154755882,1,14531,14531,64265,0.6666666666666666,0,2,2,2,SUCCESS,14531,AUWR9HasSr2j2V1bbAptNw
5,LeadingAI,1715710893863,1,14594,14594,44394,0.0,0,0,0,11,SUCCESS,14594,VP5wwaH5T4GciaMX2ocEvQ
6,TonyJ,1715074106889,1,14598,14598,44855,0.0,0,0,0,2,SUCCESS,14598,af962be5a4ed4c57af807w
7,PolishThunder,1715337926048,1,14657,14657,56069,0.3333333333333333,0,1,1,7,SUCCESS,14657,qi512oGVTry8V-KtP6j2_w
8,IcePandaBoom,1715773424493,1,14799,14799,56592,0.3333333333333333,0,1,1,10,SUCCESS,14799,BTPWujqqTBOWGAFvEKyRaA
9,BennyLBS,1716084119733,1,14997,14997,56458,0.3333333333333333,0,1,1,5,SUCCESS,14997,wD3fjDFZTJaZd9AU7WRDlA
10,JeffreyMonte-sph,1715346195606,1,14997,14997,89873,1.3333333333333333,0,4,4,8,SUCCESS,14997,GLWDtaYeS2eKxZfMhQ6Xkg
11,Jerec,1715918552116,1,15068,15068,68531,0.6666666666666666,0,2,2,15,SUCCESS,15068,RH6ep-5mRmmVLqHClba8_Q
12,DaVinciDriver,1715146431228,1,15125,15125,45794,0.0,0,0,0,6,SUCCESS,15125,XtzXYz2pRByDnXz90XNGSw
13,Ernesto-PhilJ,1715847590722,1,15131,15131,55919,0.3333333333333333,0,1,1,3,SUCCESS,15131,8zBEAp0-S5yGbcZvytGZGQ
14,JPMC-BA-D3,1715015401668,1,15207,15207,78392,1.0,0,3,3,15,SUCCESS,15207,Fy8bvUIzSN-N-e3D74JhPw
15,DBro,1715854137874,1,15261,15261,68200,0.6666666666666666,0,2,2,1,SUCCESS,15261,jEkEOpjZRhGUbyDZIfTo_A
16,-SANTACLAWS-,1715993884195,1,15327,15327,47193,0.0,0,0,0,5,SUCCESS,15327,X_dNmJilS8SDBQ44yzd2fg
17,Rober-rNiubo,1715807140279,1,15332,15332,57853,0.3333333333333333,0,1,1,5,SUCCESS,15332,KrRSYhzKTfONjRaDUc_ubQ
18,EvidenMarkRoss,1714571035266,1,15534,15534,57659,0.3333333333333333,0,1,1,1,SUCCESS,15534,9OT4p4dXQ2K2J5pOUfeGfg
19,VirtualSystem#0043,1716048407371,1,15591,15591,49335,0.0,0,0,0,1,SUCCESS,15591,8uLbwpT6RSee6_LRpJyBoA
20,Velocity-5dl,1715653922349,1,15596,15596,49058,0.0,0,0,0,12,SUCCESS,15596,DBVc9n_uQ0-r-Cqkz3YweA
21,Jochem,1715278529924,1,15665,15665,48536,0.0,0,0,0,10,SUCCESS,15665,RBPhZc5eTVmEF_gpSV7skg
22,JPMC-London-Griffc,1715001421338,1,15809,15809,48784,0.0,0,0,0,8,SUCCESS,15809,S1EcBZeaRjW2s85WNzBBog
23,Yuliya,1715757136736,1,15868,15868,49590,0.0,0,0,0,30,SUCCESS,15868,JWJgkv8bSKeMIGYZ9roR-A
24,Kamiloj,1715342830779,1,16122,16122,70121,0.6666666666666666,0,2,2,26,SUCCESS,16122,jmVlUw3DTUubDDSk3oOaPA
25,pandora,1715198800746,1,16200,16200,49058,0.0,0,0,0,10,SUCCESS,16200,KidKgjCARCCa5sZHpmzUVQ
26,Marco-Eviden,1714726521320,1,16263,16263,91592,1.3333333333333333,0,4,4,3,SUCCESS,16263,Hg2CJNXMRmijQmd_jMSJyw
27,ryu,1715976303116,1,16264,16264,72394,0.6666666666666666,0,2,2,37,SUCCESS,16264,VJ3BbvBVTJul_5HJYllepg
28,BSi,1714651266917,1,16267,16267,49325,0.0,0,0,0,1,SUCCESS,16267,2eb231b0a43f4940bfed3w
29,Berbbobs,1714899132245,1,16329,16329,81724,1.0,0,3,3,3,SUCCESS,16329,bt0g0Yx0R7KyvbtojGlP4A
30,Cloud-Ultra-Pro,1716089458082,1,16330,16330,60598,0.3333333333333333,0,1,1,31,SUCCESS,16330,R22FBKQsSMKmRaTpNdD76A
31,TimJWhite,1715918552739,1,16330,16330,50058,0.0,0,0,0,21,SUCCESS,16330,3dDHylmQSi-Rzd9uUamhlQ
32,DarkStar,1715999662295,1,16336,16336,60921,0.3333333333333333,0,1,1,4,SUCCESS,16336,RqPwhBT9R1Oxro8xj4XNmA
33,JPMC-Speedy-Gonzales-LATAM,1715001245238,1,16384,16384,59731,0.3333333333333333,0,1,1,5,SUCCESS,16384,McOa_W8cTW2EErfZhOoKxA
34,DustyRacing,1715212137458,1,16396,16396,124795,2.3333333333333335,0,7,7,23,SUCCESS,16396,Vlo2vVAfQrqWadXhqFE38A
35,TestingSlice#9403,1715347884777,1,16401,16401,72659,0.6666666666666666,0,2,2,1,SUCCESS,16401,MUeWp8S5RY-wn2N7jJKyHw
36,PITS-TK,1715573050124,1,16404,16404,61267,0.3333333333333333,0,1,1,8,SUCCESS,16404,PVc7jVR2RxqbPMpBIhjZ0g
37,MrSamtani369,1716005007567,1,16407,16407,70673,0.6666666666666666,0,2,2,4,SUCCESS,16407,VgMTZbfIT9eTfo38xYbINg
38,DoomBuggy,1715059817642,1,16524,16524,70190,0.6666666666666666,0,2,2,2,SUCCESS,16524,QakV_nzOTm2q_NhqUMwIJw
39,MechanicalExpression#6232,1716030786215,1,16591,16591,61730,0.3333333333333333,0,1,1,1,SUCCESS,16591,wTV54CmYSBqJok2Q9GdauQ
40,LeetFormula#6781,1715170792675,1,16592,16592,60995,0.3333333333333333,0,1,1,15,SUCCESS,16592,R5muw8HbTAmpfHCNU9rVpw
41,UnboundLambda#9572,1715841972064,1,16735,16735,62532,0.3333333333333333,0,1,1,1,SUCCESS,16735,IN4O2QHlTGu3fQvcUcPOaQ
42,ReferenceShell#9674,1715842035327,1,16740,16740,72856,0.6666666666666666,0,2,2,1,SUCCESS,16740,H8GNd1zPQ3KYTMvZ6zOT5A
43,InteractiveCallback#4413,1715445560291,1,16796,16796,83655,1.0,0,3,3,1,SUCCESS,16796,VKgGh4hgQ-qJ8R0AtTK_vA
44,tranvietdung-DBS,1714665273486,1,16798,16798,51931,0.0,0,0,0,12,SUCCESS,16798,3OwVWi6tQDCpBzKpWfHj7Q
