Rank,Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,LeaderboardSubmissionStatusType,RankingScore,UserId
1,CodeMachine,1717148936134,1,13408,13408,72729,1.0,0,3,3,33,SUCCESS,13408,b_WzN_r8ToGPle_8bl2tMA
2,ZoD,1717072202707,1,13468,13468,75525,1.0,0,3,3,50,SUCCESS,13468,TFtvCas4TRWchrBPMyGh0A
3,Nariox,1717161602135,1,13476,13476,42334,0.0,0,0,0,50,SUCCESS,13476,AUWR9HasSr2j2V1bbAptNw
4,flatearth,1716946920002,1,13730,13730,127788,2.6666666666666665,0,8,8,44,SUCCESS,13730,9e3a9607a4e04ba2b1a49w
5,rosscomp1,1717181227904,1,13792,13792,53784,0.3333333333333333,0,1,1,50,SUCCESS,13792,fb0d597a87f94697aa1c6w
6,EvidenMarkRoss,1717090687819,1,13805,13805,53189,0.3333333333333333,0,1,1,50,SUCCESS,13805,9OT4p4dXQ2K2J5pOUfeGfg
7,AIDeepRacer,1717180221713,1,13866,13866,64057,0.6666666666666666,0,2,2,50,SUCCESS,13866,pIRbdCx6QYatgVXm2p5GbA
8,JJ,1717196936676,1,14072,14072,54022,0.3333333333333333,0,1,1,50,SUCCESS,14072,afdcX_4vRH6Ussd0mbg5LQ
9,Duckworth,1717142164845,1,14198,14198,44192,0.0,0,0,0,50,SUCCESS,14198,VIu9BQ4-Th6gUqu60ztwUQ
10,TonyJ,1717148045251,1,14201,14201,43523,0.0,0,0,0,50,SUCCESS,14201,af962be5a4ed4c57af807w
11,Version-Infinite,1717176381580,1,14266,14266,66065,0.6666666666666666,0,2,2,43,SUCCESS,14266,N5Bzb-oJTAup8q3QAYGZww
12,TonyD,1716811929071,1,14268,14268,44259,0.0,0,0,0,32,SUCCESS,14268,CqZmW8kHQti0P4KOd0cLdA
13,Deepak-dpk,1717177089094,1,14326,14326,65126,0.6666666666666666,0,2,2,50,SUCCESS,14326,gDTBFK77TM6wD6uObZlulA
14,AJM-Model-1,1717171652402,1,14333,14333,44128,0.0,0,0,0,50,SUCCESS,14333,gdsU9bkGRWW7LTEHP4rGgQ
15,PolishThunder,1716591524293,1,14334,14334,43926,0.0,0,0,0,50,SUCCESS,14334,qi512oGVTry8V-KtP6j2_w
