Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
MattCamp,1657541944163,1,21404,21404,47458,0.5,1,0,1,1,1,SUCCESS,21404,OPEN,9z8BN2mkSj-Dlb_Chg_0Hw
Jochem,1657547822893,1,24002,24002,168105,0.6666666666666666,3,1,4,1,2,SUCCESS,24002,OPEN,RBPhZc5eTVmEF_gpSV7skg
JPMC-RogerRabbit-Houston,1657387442655,1,25261,25261,160399,3.75,11,4,15,1,3,SUCCESS,25261,OPEN,TSoego0RTCazPagbkqTnlw
Ensono-Ernesto,1657550331495,1,30839,30839,30839,2.0,1,1,2,1,4,SUCCESS,30839,OPEN,8zBEAp0-S5yGbcZvytGZGQ
JPMC-TeamOne-BuenosAires,1657488338550,1,36327,36327,166133,8.666666666666666,21,5,26,1,5,SUCCESS,36327,OPEN,Fy8bvUIzSN-N-e3D74JhPw
DaVinciDriver,1657550707733,1,37953,37953,139738,3.0,8,1,9,1,6,SUCCESS,37953,OPEN,XtzXYz2pRByDnXz90XNGSw
Fumiaki,1657548961366,1,38794,38794,38794,3.0,2,1,3,1,7,SUCCESS,38794,OPEN,5RzBNYRAQoWVausi3eyhRg
dartjason,1657499432059,1,104326,104326,104326,19.0,17,2,19,1,8,SUCCESS,104326,OPEN,JSflDq5rQgKEuA5Ots4kDQ
Doug-Racer,1657539516430,1,144442,144442,144442,30.0,16,13,30,1,9,SUCCESS,144442,OPEN,1R021ZoDQrqxSUiHfBvyEw
AJM-Model-1,1657548102117,1,170460,170460,170460,32.0,29,1,32,1,10,SUCCESS,170460,OPEN,gdsU9bkGRWW7LTEHP4rGgQ
RobinCastro-DBS,1657505916298,1,174806,174806,174806,36.0,11,25,36,1,11,SUCCESS,174806,OPEN,7KrbyQXvTBOxnBa0p9YuUA
