Rank,Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,LeaderboardSubmissionStatusType,RankingScore,UserId
1,rosscomp1,1690304004808,3,17971,17685,53915,0.0,0,0,0,8,SUCCESS,53915,fb0d597a87f94697aa1c6w
2,JJ,1690824792575,3,18308,17940,54924,0.0,0,0,0,13,SUCCESS,54924,afdcX_4vRH6Ussd0mbg5LQ
3,CYC-NYCU,1690514205648,3,18486,18054,55459,0.0,0,0,0,16,SUCCESS,55459,j5tp4OH7Tg22hlwnPfhtvQ
4,Duckworth,1690746474677,3,18619,18264,55859,0.0,0,0,0,35,SUCCESS,55859,VIu9BQ4-Th6gUqu60ztwUQ
5,TonyJ,1690791247987,3,18879,18278,56638,0.0,0,0,0,50,SUCCESS,56638,af962be5a4ed4c57af807w
6,TonyD,1690808961289,3,18904,18587,56712,0.0,0,0,0,50,SUCCESS,56712,CqZmW8kHQti0P4KOd0cLdA
7,Karl-NAB,1690836990975,3,18938,18624,56814,0.0,0,0,0,46,SUCCESS,56814,4vOOxLIsSjeL2WFaO5o_fQ
8,DaVinciDriver,1690785499033,3,19173,18932,57520,0.0,0,0,0,48,SUCCESS,57520,XtzXYz2pRByDnXz90XNGSw
9,BennyLBS,1690811968274,3,19194,19128,57583,0.0,0,0,0,39,SUCCESS,57583,wD3fjDFZTJaZd9AU7WRDlA
10,IcePandaBoom,1690832543633,3,19218,18596,57654,0.0,0,0,0,50,SUCCESS,57654,BTPWujqqTBOWGAFvEKyRaA
11,Liao,1690809684979,3,19286,19200,57859,0.0,0,0,0,13,SUCCESS,57859,1mW7p6I1Q0-cB3Up-esBeQ
12,MadCross,1690827972545,3,19330,18802,57991,0.0,0,0,0,32,SUCCESS,57991,Msh-oGccTR2Yn31a5coUHA
13,GiangCao,1690548958919,3,19396,18790,58188,0.0,0,0,0,12,SUCCESS,58188,SvCT5KRiSwSjBHDgsrmksg
14,flatearth,1690845501845,3,19397,18941,58193,0.0,0,0,0,6,SUCCESS,58193,9e3a9607a4e04ba2b1a49w
15,CodeMachine,1689761604500,3,19530,19192,58590,0.0,0,0,0,14,SUCCESS,58590,b_WzN_r8ToGPle_8bl2tMA
16,nickyl,1689642360007,3,19530,19126,58590,0.0,0,0,0,16,SUCCESS,58590,O0GALYAoRfGA0kUV6ftgqQ
17,MattCamp,1690317507686,3,19534,19196,58602,0.0,0,0,0,15,SUCCESS,58602,9z8BN2mkSj-Dlb_Chg_0Hw
18,ferrite,1689527722676,3,19798,19602,59394,0.0,0,0,0,27,SUCCESS,59394,SRAgn9lMTCmIjaBREP7hxA
19,JPMC-Spyder-HongKong,1690534933345,3,19842,19196,59528,0.0,0,0,0,16,SUCCESS,59528,zKdKXknwQVCObGdEgutObQ
20,RayG-DBS,1690846388826,3,19885,19675,59656,0.0,0,0,0,46,SUCCESS,59656,YNrvM9f5RteeSrCl7oFC5w
21,Marco-Solo,1690841939018,3,19908,19388,59726,0.0,0,0,0,50,SUCCESS,59726,Hg2CJNXMRmijQmd_jMSJyw
22,PolishThunder,1690222872281,3,19994,19472,59984,0.0,0,0,0,25,SUCCESS,59984,qi512oGVTry8V-KtP6j2_w
23,Off-track,1690847362015,3,20195,19594,60587,0.0,0,0,0,39,SUCCESS,60587,1R021ZoDQrqxSUiHfBvyEw
24,RobinCastro-DBS,1690846945362,3,20246,19538,60738,0.0,0,0,0,35,SUCCESS,60738,7KrbyQXvTBOxnBa0p9YuUA
25,JPMC-LONDON-HandsFree,1690821565719,3,20305,20126,60916,0.0,0,0,0,21,SUCCESS,60916,DZAYqyd-Tp6eE15IopWCgQ
26,Deepak-dpk,1690839745216,3,20418,19933,61254,0.0,0,0,0,29,SUCCESS,61254,gDTBFK77TM6wD6uObZlulA
27,Rober-rNiubo,1690540781811,3,20457,19990,61372,0.0,0,0,0,50,SUCCESS,61372,KrRSYhzKTfONjRaDUc_ubQ
28,BSi,1690822216109,3,20462,19655,61386,0.0,0,0,0,50,SUCCESS,61386,2eb231b0a43f4940bfed3w
29,Velocity-5dl,1690809050017,3,20533,20153,61601,0.0,0,0,0,25,SUCCESS,61601,DBVc9n_uQ0-r-Cqkz3YweA
30,Eviden-Mark-Ross,1689791708098,3,20640,20271,61921,0.0,0,0,0,50,SUCCESS,61921,F_ThjPFRSx-guPadHlwEuA
31,Hins,1689478894876,3,20794,20457,62383,0.0,0,0,0,1,SUCCESS,62383,TrdfMZyuRVWfUUCH-IYRKg
32,DoomBuggy,1690218800082,3,20817,20661,62452,0.0,0,0,0,8,SUCCESS,62452,QakV_nzOTm2q_NhqUMwIJw
33,JPMC-HYD-02,1689597700482,3,20818,20595,62454,0.0,0,0,0,17,SUCCESS,62454,LKdw_hyKTSu7moFuxbmiZw
34,Lephin,1690819022881,3,20930,20790,62792,0.0,0,0,0,48,SUCCESS,62792,Aelm8CG7RkK_A_87CZy1Pw
35,AJM-Model-1,1690761200665,3,20973,20070,62919,0.0,0,0,0,13,SUCCESS,62919,gdsU9bkGRWW7LTEHP4rGgQ
36,JPMC-Speedy-Gonzales-LATAM,1689767188704,3,21041,20804,63124,0.0,0,0,0,13,SUCCESS,63124,McOa_W8cTW2EErfZhOoKxA
37,m45,1690765084992,3,21242,20745,63728,0.0,0,0,0,50,SUCCESS,63728,EUSWllrrTRep0vB4VQ4RSg
38,Ernesto-PhilJ,1688371108958,3,21307,21066,63921,0.0,0,0,0,1,SUCCESS,63921,8zBEAp0-S5yGbcZvytGZGQ
39,tranvietdung-DBS,1688997681364,3,21423,20594,64271,0.0,0,0,0,3,SUCCESS,64271,3OwVWi6tQDCpBzKpWfHj7Q
40,DarkStar,1690722707961,3,21439,20866,64319,0.0,0,0,0,17,SUCCESS,64319,RqPwhBT9R1Oxro8xj4XNmA
41,kashi,1690839865124,3,21447,21140,64342,0.0,0,0,0,43,SUCCESS,64342,oq7yCLy5QAeEP6k7o53L8A
42,JPMC-HYD-CircuitBreakers,1690839688320,3,21574,21265,64722,0.0,0,0,0,16,SUCCESS,64722,5Z9lAFNASzesOzD7FFfSHw
43,londoso-monst,1690762517140,3,21619,21261,64857,0.0,0,0,0,42,SUCCESS,64857,mQQF2PEFSvmDfnR4HGLM1Q
44,Atubee,1690845828231,3,21712,21529,65138,0.0,0,0,0,3,SUCCESS,65138,1z0O0ZjuQH6joGqmg1qXtA
45,Galileo,1690632763468,3,22083,21600,66249,0.0,0,0,0,41,SUCCESS,66249,Y79AzaaOR-u4LVKMxu1Mdw
46,Yi-LI-NYCU-CGI,1689649614938,3,22117,20333,66352,0.3333333333333333,0,1,1,1,SUCCESS,66352,jrJHq8pZQAyj4gGqMw8-DQ
47,Thoughtworks-AV-SDV,1690824406405,3,22131,21539,66393,0.0,0,0,0,44,SUCCESS,66393,chMgM6ZjRSqs4DrQzXNyrw
48,Bort,1690493422471,3,22244,22119,66733,0.0,0,0,0,18,SUCCESS,66733,ja9G8Oc5R82GvO0xrE7OHg
49,FocusedTest#1892,1690787522441,3,22440,22201,67322,0.0,0,0,0,28,SUCCESS,67322,L5fWMLwORF6XlcDzi83xYA
50,barkingdog,1690816705134,3,22569,22256,67707,0.0,0,0,0,20,SUCCESS,67707,b3960b6c6f58458880ceew
51,JPMC-Columbus-006,1689905644591,3,22574,22258,67723,0.0,0,0,0,4,SUCCESS,67723,rIIziACfQnGou4zeDTbyTg
52,Chinyero,1690231027115,3,23172,22870,69518,0.0,0,0,0,22,SUCCESS,69518,6tZZhsuTQ4KWJW8J8eRekg
53,JPMC-DriftKing-Houston,1690843308624,3,23236,21984,69709,0.3333333333333333,0,1,1,31,SUCCESS,69709,fngewpiZSZm11yX7YgwnMA
54,makit,1690803061653,3,23381,22881,70144,0.0,0,0,0,31,SUCCESS,70144,FQ4kxx42Rn-ywzWMVEad0A
55,anuj-aggarwal,1690829795310,3,23454,22150,70362,0.3333333333333333,0,1,1,3,SUCCESS,70362,o_BkPc7jTK68tjHZiBRQEw
56,Echo1911,1690429279215,3,23483,22875,70450,0.0,0,0,0,18,SUCCESS,70450,4WgpazINRpS1KD3yKMjkrA
57,JerryLee,1690734647578,3,23533,22999,70599,0.0,0,0,0,19,SUCCESS,70599,BMjoJ3L7ShGsF5gA1lHdkw
58,GoodEveningWeAreFromUkraine,1688818811205,3,23906,23603,71718,0.0,0,0,0,6,SUCCESS,71718,oX4dpYxLTFG2UU6NprA-7g
59,nero-DNPds,1690820693115,3,24017,23662,72052,0.0,0,0,0,46,SUCCESS,72052,fdqnbHDPSbKcnf8kE5xuMQ
60,Completeddebug#9527,1690732903917,3,24219,23997,72659,0.0,0,0,0,12,SUCCESS,72659,G3O2N8lNSdCS3l-V8OMpNw
61,rapirapi-BIP,1690810315588,3,24275,23268,72825,0.3333333333333333,0,1,1,50,SUCCESS,72825,qsYR-A-0S2OHA1cvbeFfSg
62,Nariox,1690809014468,3,24303,23728,72910,0.0,0,0,0,18,SUCCESS,72910,AUWR9HasSr2j2V1bbAptNw
63,Ash-DNPds,1689209259036,3,24619,24338,73858,0.0,0,0,0,10,SUCCESS,73858,9aced9109a634d11a3134w
64,TheGreatMax#1,1688295252195,3,24753,22587,74259,1.0,0,3,3,4,SUCCESS,74259,_lLRY-ShQyG1-SUhAeHzlQ
65,D55-MK,1690623602385,3,24774,24466,74322,0.0,0,0,0,1,SUCCESS,74322,Nkang7fMRci-B9H63pj3LA
66,JPMC-HYD-SmartAccelerators,1689523647541,3,24862,24415,74588,0.0,0,0,0,15,SUCCESS,74588,6jJ_fiuUQb2PZXOGkr3V7g
67,D55-Hatton,1690703443191,3,24886,24553,74658,0.0,0,0,0,49,SUCCESS,74658,Zl7c5ziyTHuLBQSu71FPlw
68,TimJWhite,1690337787707,3,25017,24714,75053,0.0,0,0,0,34,SUCCESS,75053,3dDHylmQSi-Rzd9uUamhlQ
69,zzg,1690468370497,3,25041,24267,75125,0.0,0,0,0,15,SUCCESS,75125,dgJgsyw2SL-ozyo4T1b-QA
70,BrutusRacer,1688547372436,3,25292,23796,75878,0.3333333333333333,0,1,1,26,SUCCESS,75878,Gln6WrbiT3-hGmI_zhujUw
71,MattKreder,1689629843570,3,25352,25065,76056,0.0,0,0,0,5,SUCCESS,76056,cVk-aYKdRUmuL0qmjyzmag
72,CH-Shin#technopro,1689985322519,3,25374,24799,76124,0.0,0,0,0,37,SUCCESS,76124,z_o7oTr8SwyPS6Qq-D4Uvw
73,JPMC-London-Griffc,1690448673366,3,25444,24004,76332,0.3333333333333333,0,1,1,1,SUCCESS,76332,S1EcBZeaRjW2s85WNzBBog
74,PITS-Kura,1690503485984,3,25931,24739,77794,0.0,0,0,0,50,SUCCESS,77794,0KlPowM7Rsm-6depdUzXOg
75,-Just-Be-Better-,1690623103297,3,25999,25068,77999,0.0,0,0,0,38,SUCCESS,77999,X_dNmJilS8SDBQ44yzd2fg
76,UberAllen,1690661438132,3,26087,23518,78262,0.6666666666666666,0,2,2,41,SUCCESS,78262,ASI6Udz9QCewwoQHEyDbpw
77,maarhe,1689302797256,3,26358,24203,79075,0.6666666666666666,0,2,2,1,SUCCESS,79075,BS0tJLCeQtGwTZ7NKBl1eQ
78,Maximus-KK,1689904474796,3,26507,25465,79521,0.0,0,0,0,50,SUCCESS,79521,SUzu0ImUSkOv8U68lX_4Pg
79,MemoryDiff#4998,1690361859110,3,26529,26268,79587,0.0,0,0,0,26,SUCCESS,79587,K1gX9ApVRua9_GpqTyAXCw
80,SteveW-BJSS,1690750956807,3,26620,25945,79860,0.0,0,0,0,50,SUCCESS,79860,bt0g0Yx0R7KyvbtojGlP4A
81,512074587813-SG23-mhaikalr,1690410252457,3,26725,26259,80175,0.0,0,0,0,50,SUCCESS,80175,sCFSLDNhRZCB8tZSHAqOyg
82,JavaString#1315,1690371740719,3,26751,25183,80254,0.3333333333333333,0,1,1,20,SUCCESS,80254,LdHr9ZDoT7-Y0lLuqDv6Dw
83,Parmila,1690823767845,3,27019,24199,81057,1.0,0,3,3,6,SUCCESS,81057,PPllYOoFTxm_aJyzm_Jz4A
84,Aurora-DNPds,1690463292175,3,27331,25397,81993,1.3333333333333333,0,4,4,4,SUCCESS,81993,26fba66bedca4aa3bca47w
85,Wingism,1688619652465,3,27535,25517,82606,0.3333333333333333,0,1,1,14,SUCCESS,82606,Spey2yUETeKA1doS2t-McQ
86,ITS-yam,1690781785704,3,27710,27524,83131,0.0,0,0,0,47,SUCCESS,83131,4VWteXpBTQePbAKgQCbTjw
87,Chicken-and-rabbit-craziest-duo,1689812344794,3,27861,27592,83585,1.0,0,3,3,7,SUCCESS,83585,eocuTuXWSKOXBRTqs1nhEw
88,RaptorsCA,1690844375799,3,27865,27463,83597,2.0,0,6,6,2,SUCCESS,83597,SLiCNy3KQr-X3LCO9wrkoA
89,glay666,1688821675808,3,27905,26782,83717,0.3333333333333333,0,1,1,1,SUCCESS,83717,VgLsDdENTeGHQBKuEIQOxA
90,SuperShawn,1689907249239,3,28229,27947,84688,2.0,0,6,6,5,SUCCESS,84688,ua_u7fduQnCT1hn-GumqVQ
91,MPCLab,1690816530038,3,28624,21666,85873,2.0,0,6,6,1,SUCCESS,85873,EKNQWBKfS5e6Xcswuv0BNg
92,C3R0,1688658368678,3,29155,27859,87465,0.6666666666666666,0,2,2,15,SUCCESS,87465,61QIIR_GTpCM0JoUAsdwew
93,PITS-YUME,1690816491779,3,29175,28590,87527,1.0,0,3,3,34,SUCCESS,87527,CThkSPLERtyRM5OptykzEQ
94,SamAu,1690822241557,3,29245,28265,87736,0.0,0,0,0,42,SUCCESS,87736,BteX7647QUyM2a2hexL2ZA
95,HanzUndFranz,1689730559449,3,29554,28789,88663,0.0,0,0,0,3,SUCCESS,88663,nYFieBhqQeK2QnSvXYx4ig
96,TPC-Tech,1688318410834,3,29884,28520,89654,1.3333333333333333,0,4,4,2,SUCCESS,89654,iEfWhIPLS865MMzpmLNdqQ
97,Joffe,1688926752574,3,30196,30000,90588,0.0,0,0,0,6,SUCCESS,90588,ce17e3bfe82649448e2f3w
98,AI-Castle,1690827369800,3,30227,24848,90681,1.6666666666666667,0,5,5,50,SUCCESS,90681,iORNK7j_T9S0UBu_ofHlQw
99,ThiagoD,1690844264805,3,30289,28923,90869,0.3333333333333333,0,1,1,5,SUCCESS,90869,hEXm0S5DSuKhb9giUIfrwA
100,JPMC-DFW-DeepRacer10,1690150149057,3,30310,30129,90932,1.0,0,3,3,4,SUCCESS,90932,lu9IPjxGSSmnbtbQ6ic8Hw
101,NicoloRace,1690844155711,3,30376,29265,91128,0.3333333333333333,0,1,1,3,SUCCESS,91128,vr1lMXTfS2Gu6RIv8M6lAA
102,Langley-BIP,1689653307971,3,30690,28399,92072,1.6666666666666667,0,5,5,2,SUCCESS,92072,8JXLSKkhQVin2JwAVdbPzw
103,sivas,1688371729099,3,30929,28197,92789,1.0,0,3,3,2,SUCCESS,92789,mOcZW4PTTy2BWQZjxxHPHA
104,PeterXing,1690830182171,3,30930,28529,92790,1.3333333333333333,0,4,4,3,SUCCESS,92790,KeNqy3aaRBCJuIpm57QBhw
105,Mike211,1689868916665,3,31487,30987,94461,0.0,0,0,0,41,SUCCESS,94461,rgZhd0J7TBGwBO4GPYC3yg
106,ProgrammingAnalyst#5035,1690830787124,3,31535,31271,94606,1.0,0,3,3,7,SUCCESS,94606,Ka4pfqmRSIihkBUInIO2SQ
