Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
Karl-NAB,1643789007363,3,8642,8403,25928,0.0,0,0,0,260,1,SUCCESS,25928,OPEN,4vOOxLIsSjeL2WFaO5o_fQ
PolishThunder,1643740859775,3,9001,8805,27003,0.0,0,0,0,365,2,SUCCESS,27003,OPEN,qi512oGVTry8V-KtP6j2_w
TonyJ,1643768226535,3,9308,8666,27924,0.0,0,0,0,275,3,SUCCESS,27924,OPEN,af962be5a4ed4c57af807w
AJM-Model-1,1643737245201,3,10021,9336,30063,0.0,0,0,0,7,4,SUCCESS,30063,OPEN,gdsU9bkGRWW7LTEHP4rGgQ
atnmn,1643827515097,3,10348,9728,31045,0.0,0,0,0,431,5,SUCCESS,31045,OPEN,b3960b6c6f58458880ceew
Ash-DNPds,1643758007998,3,10775,10400,32325,0.0,0,0,0,2,6,SUCCESS,32325,OPEN,9aced9109a634d11a3134w
JJ,1643676429921,3,10819,10328,32457,0.0,0,0,0,3,7,SUCCESS,32457,OPEN,afdcX_4vRH6Ussd0mbg5LQ
Aurora-DNPds,1643679414217,3,13266,10799,39799,0.6666666666666666,0,2,2,2,8,SUCCESS,39799,OPEN,26fba66bedca4aa3bca47w
Yuliya,1643807985473,3,13976,9398,41930,1.3333333333333333,0,4,4,33,9,SUCCESS,41930,OPEN,JWJgkv8bSKeMIGYZ9roR-A
gcjordi,1643811142622,3,14131,13733,42393,0.0,0,0,0,6,10,SUCCESS,42393,OPEN,4n-0HYIyQ2241dJ4tZirRg
Kire,1643720394064,3,14164,12530,42494,0.3333333333333333,0,1,1,3,11,SUCCESS,42494,OPEN,N0y9CR6fQN-a4UlAFsTC5Q
ferrite,1643680738766,3,14467,10734,43401,1.0,0,3,3,5,12,SUCCESS,43401,OPEN,SRAgn9lMTCmIjaBREP7hxA
Doug-Racer,1643681731896,3,14947,12068,44842,0.6666666666666666,0,2,2,3,13,SUCCESS,44842,OPEN,1R021ZoDQrqxSUiHfBvyEw
SPDSTR-Aiden,1643689633641,3,15044,13595,45133,0.6666666666666666,0,2,2,4,14,SUCCESS,45133,OPEN,6rVVb7HXQzigAsVTVyLg0Q
