Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
JJ,1645573012625,3,7550,7257,22652,0.0,0,0,0,7571,1,SUCCESS,22652,OPEN,afdcX_4vRH6Ussd0mbg5LQ
flatearth,1646039364974,3,7820,7663,23462,0.0,0,0,0,681,2,SUCCESS,23462,OPEN,9e3a9607a4e04ba2b1a49w
Karl-NAB,1645413728293,3,7972,7660,23918,0.0,0,0,0,9597,3,SUCCESS,23918,OPEN,4vOOxLIsSjeL2WFaO5o_fQ
TonyJ,1645339986288,3,8108,7736,24325,0.0,0,0,0,7677,4,SUCCESS,24325,OPEN,af962be5a4ed4c57af807w
Duckworth,1645980727931,3,8128,7928,24384,0.0,0,0,0,2438,5,SUCCESS,24384,OPEN,VIu9BQ4-Th6gUqu60ztwUQ
AJM-Model-1,1645021530575,3,8133,7869,24399,0.0,0,0,0,28,6,SUCCESS,24399,OPEN,gdsU9bkGRWW7LTEHP4rGgQ
CGS-Huge-Hadr0n,1646043638855,3,8144,7940,24434,0.0,0,0,0,2390,7,SUCCESS,24434,OPEN,63LA0_QCQ1-fRLzXgWmAeQ
Off-track,1645824004435,3,8196,7928,24589,0.0,0,0,0,4043,8,SUCCESS,24589,OPEN,1R021ZoDQrqxSUiHfBvyEw
PolishThunder,1646087621277,3,8197,7733,24593,0.0,0,0,0,9080,9,SUCCESS,24593,OPEN,qi512oGVTry8V-KtP6j2_w
ZoD,1645575246110,3,8217,8004,24652,0.0,0,0,0,1741,10,SUCCESS,24652,OPEN,TFtvCas4TRWchrBPMyGh0A
JPMC-LONDON-HandsFree,1644968159658,3,8240,7859,24721,0.0,0,0,0,703,11,SUCCESS,24721,OPEN,DZAYqyd-Tp6eE15IopWCgQ
RobinCastro-DBS,1644889986008,3,8242,8006,24728,0.0,0,0,0,497,12,SUCCESS,24728,OPEN,7KrbyQXvTBOxnBa0p9YuUA
AIDeepRacer,1645600354480,3,8350,8141,25050,0.0,0,0,0,143,13,SUCCESS,25050,OPEN,pIRbdCx6QYatgVXm2p5GbA
Penguin-DNPds,1645492807606,3,8398,8069,25194,0.0,0,0,0,99,14,SUCCESS,25194,OPEN,Nr3YCYWGTA631Xqa0uDPhw
rosscomp1,1646057303807,3,8398,8069,25195,0.0,0,0,0,1266,15,SUCCESS,25195,OPEN,fb0d597a87f94697aa1c6w
DBro,1646062781925,3,8416,8071,25249,0.0,0,0,0,169,16,SUCCESS,25249,OPEN,jEkEOpjZRhGUbyDZIfTo_A
Ernesto-PhilJ,1646046303382,3,8484,8330,25454,0.0,0,0,0,4273,17,SUCCESS,25454,OPEN,8zBEAp0-S5yGbcZvytGZGQ
Dug-Racer,1645906718022,3,8510,8207,25530,0.0,0,0,0,2021,18,SUCCESS,25530,OPEN,ebaac7d1eb7b4d3f9ae5cQ
MattKreder,1646079726280,3,8596,8404,25788,0.0,0,0,0,6570,19,SUCCESS,25788,OPEN,cVk-aYKdRUmuL0qmjyzmag
JPMC-DriftKing-Houston,1646062266601,3,8601,8344,25804,0.0,0,0,0,26,20,SUCCESS,25804,OPEN,fngewpiZSZm11yX7YgwnMA
BennyLBS,1645600753995,3,8620,8398,25861,0.0,0,0,0,1174,21,SUCCESS,25861,OPEN,wD3fjDFZTJaZd9AU7WRDlA
Joffe,1645186451685,3,8704,8130,26112,0.0,0,0,0,487,22,SUCCESS,26112,OPEN,ce17e3bfe82649448e2f3w
dartjason,1645031799624,3,8732,8534,26198,0.0,0,0,0,1355,23,SUCCESS,26198,OPEN,JSflDq5rQgKEuA5Ots4kDQ
DoomBuggy,1645619397314,3,8862,8734,26588,0.0,0,0,0,782,24,SUCCESS,26588,OPEN,QakV_nzOTm2q_NhqUMwIJw
Madsmon,1645535931742,3,8929,8141,26788,0.0,0,0,0,41,25,SUCCESS,26788,OPEN,NV8Djo1HQ8-VUdqY2jtJ1w
Rober-rNiubo,1644166644323,3,8930,8668,26791,0.0,0,0,0,40,26,SUCCESS,26791,OPEN,KrRSYhzKTfONjRaDUc_ubQ
Aurora-DNPds,1644212459359,3,9021,8663,27065,0.0,0,0,0,83,27,SUCCESS,27065,OPEN,26fba66bedca4aa3bca47w
DaVinciDriver,1645181374916,3,9066,8999,27198,0.0,0,0,0,51,28,SUCCESS,27198,OPEN,XtzXYz2pRByDnXz90XNGSw
Yupa-DNPds,1645403567064,3,9086,8660,27260,0.0,0,0,0,129,29,SUCCESS,27260,OPEN,jgRyYla-RkS2kr2rVBdEZA
LeadingAI,1645465664261,3,9263,9000,27791,0.0,0,0,0,88,30,SUCCESS,27791,OPEN,VP5wwaH5T4GciaMX2ocEvQ
TimC,1645173211861,3,9349,8798,28047,0.0,0,0,0,29,31,SUCCESS,28047,OPEN,5uT4nmOrSdWr814lPIdrGg
nalbam-me,1646055325784,3,9417,9128,28253,0.0,0,0,0,3599,32,SUCCESS,28253,OPEN,PnRru4vBRkeyT4xX6LOCtw
Deepak-dpk,1646006531968,3,9466,9276,28398,0.0,0,0,0,7,33,SUCCESS,28398,OPEN,gDTBFK77TM6wD6uObZlulA
EnBW-Flitzer,1646046885429,3,9553,9399,28660,0.0,0,0,0,562,34,SUCCESS,28660,OPEN,je1HIMgRQtibB3H9325TRw
BackloggedLoop#1107,1644236505238,3,9819,9465,29457,0.0,0,0,0,57,35,SUCCESS,29457,OPEN,CxLK5itDR7u7cqofttCr_A
BA-CircuitSwitching,1644801305437,3,9843,9398,29531,0.0,0,0,0,51,36,SUCCESS,29531,OPEN,1nhNKBkaQMKwuxDtW6koQw
ep-dr-racer1,1644207201437,3,9931,9478,29795,0.0,0,0,0,54,37,SUCCESS,29795,OPEN,vEZxFEnhQHeI5tKR4Tz3rQ
barkingdog,1644907116894,3,9965,9666,29896,0.0,0,0,0,8142,38,SUCCESS,29896,OPEN,b3960b6c6f58458880ceew
George-Ogden,1645281601622,3,10310,10064,30931,0.0,0,0,0,11,39,SUCCESS,30931,OPEN,qc3M_AUPQYm7aArDQ-X3Kg
rapirapi-BIP,1646020391894,3,10347,10202,31041,0.0,0,0,0,199,40,SUCCESS,31041,OPEN,qsYR-A-0S2OHA1cvbeFfSg
ferrite,1644381320799,3,10427,10265,31281,0.0,0,0,0,27,41,SUCCESS,31281,OPEN,SRAgn9lMTCmIjaBREP7hxA
Ash-DNPds,1643758007998,3,10775,10400,32325,0.0,0,0,0,2,42,SUCCESS,32325,OPEN,9aced9109a634d11a3134w
U8ntVerstappen-1b,1645699576605,3,10795,10403,32385,0.0,0,0,0,11,43,SUCCESS,32385,OPEN,CQe3VgWbSbOBjPw37HgVng
S-P-,1645627979427,3,10952,10668,32857,0.0,0,0,0,11,44,SUCCESS,32857,OPEN,MxT5p4ZvSTOcc6ANa8VZNg
GoodEveningWeAreFromUkraine,1645642340226,3,11114,9671,33343,0.3333333333333333,0,1,1,1427,45,SUCCESS,33343,OPEN,oX4dpYxLTFG2UU6NprA-7g
ABaykov,1644158446696,3,11239,10789,33719,0.0,0,0,0,18,46,SUCCESS,33719,OPEN,aa28j7SWTd-LxMzvFoj_bA
Fumiaki,1646091791777,3,11393,9670,34180,0.3333333333333333,0,1,1,9,47,SUCCESS,34180,OPEN,5RzBNYRAQoWVausi3eyhRg
Paradesi,1644968515331,3,11397,10940,34191,0.0,0,0,0,23,48,SUCCESS,34191,OPEN,67697a7edfac47709d52dQ
SG-JPMC-03,1644035042994,3,11486,10656,34460,0.3333333333333333,0,1,1,22,49,SUCCESS,34460,OPEN,LJzDpiNuTFeHu9dsqp1APw
SPDSTR-Aiden,1645331352390,3,11529,11134,34589,0.0,0,0,0,83,50,SUCCESS,34589,OPEN,6rVVb7HXQzigAsVTVyLg0Q
Yuliya,1644508919954,3,11695,9320,35085,0.6666666666666666,0,2,2,236,51,SUCCESS,35085,OPEN,JWJgkv8bSKeMIGYZ9roR-A
BoltronRacingTeam,1646035344060,3,11730,11663,35190,0.0,0,0,0,4,52,SUCCESS,35190,OPEN,Lkrg6gQPQ5qwn61K16MHhg
Greenhive,1646058877773,3,11884,11135,35654,0.0,0,0,0,383,53,SUCCESS,35654,OPEN,bHj4ARa2QxaqpIhff1Xf_Q
drunken-monkey,1644583777814,3,12060,11730,36182,0.0,0,0,0,30,54,SUCCESS,36182,OPEN,c7a82cb998e44f9abd469Q
KasztP,1645538252325,3,12064,11196,36192,0.0,0,0,0,423,55,SUCCESS,36192,OPEN,B_NHhZzIT7yLboMZHKC3Qw
Jochem,1645732262843,3,12353,10732,37061,0.3333333333333333,0,1,1,15,56,SUCCESS,37061,OPEN,RBPhZc5eTVmEF_gpSV7skg
GoodmanKR,1644746363313,3,12998,12128,38995,0.0,0,0,0,102,57,SUCCESS,38995,OPEN,f905b742ca594aadb529eQ
2deep4racer,1645925428837,3,13019,12673,39057,0.0,0,0,0,13,58,SUCCESS,39057,OPEN,YW6oHeuKTWyoG1MyvzGA6w
SolvableEngineer#9469,1644109818904,3,13266,12934,39798,0.0,0,0,0,48,59,SUCCESS,39798,OPEN,iut90qU-R_S8xqd5hjCdUw
UpTheChels-BIP,1645750678297,3,13509,13081,40527,0.0,0,0,0,63,60,SUCCESS,40527,OPEN,ntayOBVbRpGbK_E5zCuZ5g
awskrug-team,1644169525634,3,13596,13200,40790,0.0,0,0,0,3244,61,SUCCESS,40790,OPEN,PA_rSZ4sR06bVOwmyibxJg
RiyadhUddin,1645505840883,3,13642,13336,40927,0.0,0,0,0,11,62,SUCCESS,40927,OPEN,XEDnTwq3S1Kz0rVPu0hfrA
SuperShawn,1646059924714,3,13885,13329,41657,0.0,0,0,0,6,63,SUCCESS,41657,OPEN,ua_u7fduQnCT1hn-GumqVQ
VishOr,1644501767163,3,13894,13397,41683,0.0,0,0,0,23,64,SUCCESS,41683,OPEN,vVLldFpfR32KUaZOn6LfKA
Xavier,1643915701316,3,13999,13802,41997,0.0,0,0,0,5,65,SUCCESS,41997,OPEN,pPhTbPBRSg-L3tYPKcCjcA
ssm-DevelopersIO,1644462158712,3,14019,13801,42059,0.0,0,0,0,14,66,SUCCESS,42059,OPEN,XWuPseyZQLOMJ31jSvdfog
DO-BIP,1645074807341,3,14020,12465,42062,0.3333333333333333,0,1,1,30,67,SUCCESS,42062,OPEN,76nNoQ0nSDm0H1YlUhHLXw
SHIBAZAKI-Tetsuya#technopro,1645625333257,3,14131,13867,42393,0.0,0,0,0,57,68,SUCCESS,42393,OPEN,zGkD2T4QSY26nKoy_pOsbA
gcjordi,1643811142622,3,14131,13733,42393,0.0,0,0,0,23,69,SUCCESS,42393,OPEN,4n-0HYIyQ2241dJ4tZirRg
Kire,1643720394064,3,14164,12530,42494,0.3333333333333333,0,1,1,6,70,SUCCESS,42494,OPEN,N0y9CR6fQN-a4UlAFsTC5Q
Janesoki,1644321066976,3,14241,14133,42723,0.0,0,0,0,6,71,SUCCESS,42723,OPEN,3SvT2_04Tl-5RIyNtDNtjA
SlashMon-Annie1,1646091431181,3,14376,13398,43130,0.0,0,0,0,17,72,SUCCESS,43130,OPEN,7sF2Hc8NSkeO_SG4jF5C2Q
Federico,1644601686504,3,14420,14133,43260,0.0,0,0,0,26,73,SUCCESS,43260,OPEN,n9KSkxcXT9iH-FhUE3wxfA
Mungi,1645525149656,3,14472,13131,43418,0.3333333333333333,0,1,1,2,74,SUCCESS,43418,OPEN,RgTvucbNQja7yiYbgh2p9A
CurlyPackage#8465,1644039085563,3,14486,14144,43458,0.0,0,0,0,13,75,SUCCESS,43458,OPEN,W3zqvlFOT3yXMpfPdbbUWg
TorontoBill,1646010921380,3,14486,13538,43459,0.0,0,0,0,6,76,SUCCESS,43459,OPEN,BYJnwsm1RZya9TK3DltTsQ
RL-y-Fast,1646077338998,3,14535,14067,43607,1.0,0,3,3,108,77,SUCCESS,43607,OPEN,AhxoXkedQYG58-HgMQM9Ag
DraftUpgrade#7429,1644086149815,3,14661,14336,43985,0.0,0,0,0,19,78,SUCCESS,43985,OPEN,TeED7MxlQN2msc9hX6c1kw
Dolphin-DNPds,1644378350739,3,15020,13935,45060,0.3333333333333333,0,1,1,33,79,SUCCESS,45060,OPEN,btC_8cWwQoGQwFZKwxyuRQ
AnniGue,1644962520608,3,15130,12273,45390,0.6666666666666666,0,2,2,53,80,SUCCESS,45390,OPEN,hNnROr_rSJyIS6doNw1_aA
idiotlabs,1645664461590,3,15175,15063,45527,0.0,0,0,0,7,81,SUCCESS,45527,OPEN,JVfUcseeSj6WWmPGlo2S8g
Bazinga-73,1645570209162,3,15177,14131,45533,0.0,0,0,0,19,82,SUCCESS,45533,OPEN,7b59005b189b443fb6433w
Galileo,1644320046714,3,15213,12773,45640,1.0,0,3,3,37,83,SUCCESS,45640,OPEN,Y79AzaaOR-u4LVKMxu1Mdw
ShangChenKuo,1644714439065,3,15243,14061,45730,0.3333333333333333,0,1,1,14,84,SUCCESS,45730,OPEN,u6BeTwNQQRmmApxoSDGDVQ
CCH-IVE,1645163010720,3,15313,13791,45940,0.3333333333333333,0,1,1,22,85,SUCCESS,45940,OPEN,fCOG9ZFISAeOccZDkTC_GA
youjin,1645726340110,3,15419,14193,46257,0.3333333333333333,0,1,1,31,86,SUCCESS,46257,OPEN,zVyhEQGHRM2QHvbBTfknOw
CoolCrowTW,1644366107279,3,15466,14400,46399,0.3333333333333333,0,1,1,24,87,SUCCESS,46399,OPEN,tXoki5aeTM2BukpHfYsZgg
bruce,1644920643375,3,15706,13731,47119,1.6666666666666667,0,5,5,4,88,SUCCESS,47119,OPEN,JtMdJkbkRZ2Fcedl-6IqEg
TechnicalDigit#0658,1644729901381,3,15820,15135,47462,0.0,0,0,0,26,89,SUCCESS,47462,OPEN,5uM1WJ6vSZeWu3m8qJC1MQ
CaliSchwiizer,1645419921936,3,15824,14131,47474,0.3333333333333333,0,1,1,4,90,SUCCESS,47474,OPEN,5058375c4d2440908e5b1Q
Wasabi-DevelopersIO,1644322257402,3,15953,15133,47859,0.0,0,0,0,616,91,SUCCESS,47859,OPEN,Fmb5j9UgQ_2xkleK0vwXOg
Jaime-Quiros-FormulaJuan,1644509782372,3,16087,15859,48261,0.0,0,0,0,7,92,SUCCESS,48261,OPEN,sLVkg1SVTZCdGgSo7WVBbw
mayurmadnani,1646059490569,3,16110,14262,48330,0.3333333333333333,0,1,1,3,93,SUCCESS,48330,OPEN,hr8K12KMRhSIDUEJbQT8fg
BlockchainSequence#9698,1645291957112,3,16244,13865,48732,0.6666666666666666,0,2,2,44,94,SUCCESS,48732,OPEN,2lxe5KdbR5K_z-WHpZlR2w
Derby#0958,1646071007064,3,16262,16055,48786,0.0,0,0,0,2,95,SUCCESS,48786,OPEN,JZq09pL7QeWfkH_a74cIjg
Shazbot,1644103966362,3,16488,15071,49466,0.3333333333333333,0,1,1,5,96,SUCCESS,49466,OPEN,4KDqS-tGQJmCQbqzcwUDMA
SuperRunner,1646085233100,3,16508,15735,49524,0.0,0,0,0,9,97,SUCCESS,49524,OPEN,m63_q1KWSJe8-MUg5wEgqQ
SeraphiusNoctisbane,1646088452554,3,16576,12733,49728,1.3333333333333333,0,4,4,13,98,SUCCESS,49728,OPEN,C6zOAXgPSOyrzQlqRDNSfQ
TheOldTrackBoss,1645058879869,3,16642,14264,49928,0.3333333333333333,0,1,1,8,99,SUCCESS,49928,OPEN,hbVXmPNNTAGt_ndmy0JCtg
super-lady,1645321842433,3,16752,16534,50258,0.0,0,0,0,4,100,SUCCESS,50258,OPEN,TDhlgM32TDibNtWMgBXesA
trente,1644248231159,3,16754,11597,50262,1.3333333333333333,0,4,4,4,101,SUCCESS,50262,OPEN,b8VcMQUZQTuGw6XzTZA5gg
shimizutsuneaki#technopro,1646062642270,3,16887,16664,50663,0.0,0,0,0,3,102,SUCCESS,50663,OPEN,ZG4lP9FbS2GYqab2_5Du1w
Eisemane,1645828284894,3,16961,15667,50885,0.3333333333333333,0,1,1,31,103,SUCCESS,50885,OPEN,uBunM5dFShaZfCz77k2Nqw
AM730,1645797451871,3,16975,12004,50927,1.3333333333333333,0,4,4,198,104,SUCCESS,50927,OPEN,BVyCq7XIT-ObuDsJfFVtDA
Breadcentric,1643676886323,3,16998,16734,50995,0.0,0,0,0,4,105,SUCCESS,50995,OPEN,SjNec5b-SpOk7y9b6rh4KQ
