Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision
Karl-NAB,1617926520504,1,32232.0,32232.0,159984.0,1.25,1,4,5,0,1,SUCCESS,32232,OPEN
JJ,1617920410943,1,34285.0,34285.0,154147.0,0.75,0,3,3,0,2,SUCCESS,34285,OPEN
flatearth,1617918588918,1,34899.0,34899.0,156114.0,3.0,7,2,9,0,3,SUCCESS,34899,OPEN
Jochem,1617922529472,1,36937.0,36937.0,130567.0,0.6666666666666666,1,1,2,0,4,SUCCESS,36937,OPEN
Maikel,1617918670871,1,38589.0,38589.0,136299.0,2.0,4,2,6,0,5,SUCCESS,38589,OPEN
GT-DevelopersIO,1617926180543,1,39540.0,39540.0,168398.0,1.25,2,3,5,0,6,SUCCESS,39540,OPEN
RogerRabbit,1617893672100,1,40833.0,40833.0,81759.0,1.0,0,2,2,0,7,SUCCESS,40833,OPEN
RobinCastro-DBS,1617927637203,1,40925.0,40925.0,134525.0,1.6666666666666667,5,0,5,0,8,SUCCESS,40925,OPEN
JPMC-DriftKing,1617894070718,1,41887.0,41887.0,137242.0,1.6666666666666667,4,1,5,0,9,SUCCESS,41887,OPEN
Ernesto,1617898873779,1,44158.0,44158.0,142794.0,1.6666666666666667,2,3,5,0,10,SUCCESS,44158,OPEN
DBro,1617926637987,1,46259.0,46259.0,155843.0,3.0,4,5,9,0,11,SUCCESS,46259,OPEN
Duckworth,1617657060318,1,47783.0,47783.0,157692.0,3.0,2,7,9,0,12,SUCCESS,47783,OPEN
dartjason,1617932662436,1,50504.0,50504.0,50504.0,2.0,0,2,2,1,13,SUCCESS,50504,OPEN
PolishThunder,1617925789156,1,52021.0,52021.0,166291.0,3.3333333333333335,4,5,10,0,14,SUCCESS,52021,OPEN
Fumiaki,1617932622389,1,57055.0,57055.0,127738.0,5.0,2,8,10,0,15,SUCCESS,57055,OPEN
Joffe,1617922422583,0,,,,0.0,0,0,0,0,16,SUCCESS,9223372036854775758,OPEN
