Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
Karl-NAB,1617932584399,1,31151.0,31151.0,164206.0,0.2,0,1,1,0,1,SUCCESS,31151,OPEN,4vOOxLIsSjeL2WFaO5o_fQ
JJ,1617932801469,1,32864.0,32864.0,149725.0,0.75,0,3,3,0,2,SUCCESS,32864,OPEN,afdcX_4vRH6Ussd0mbg5LQ
DBro,1617932943399,1,33338.0,33338.0,171756.0,1.25,3,2,5,4,3,SUCCESS,33338,OPEN,jEkEOpjZRhGUbyDZIfTo_A
flatearth,1617918588918,1,34899.0,34899.0,156114.0,3.0,7,2,9,0,4,SUCCESS,34899,OPEN,9e3a9607a4e04ba2b1a49w
PolishThunder,1617932614670,1,36618.0,36618.0,141956.0,2.0,1,5,6,0,5,SUCCESS,36618,OPEN,qi512oGVTry8V-KtP6j2_w
Jochem,1617922529472,1,36937.0,36937.0,130567.0,0.6666666666666666,1,1,2,0,6,SUCCESS,36937,OPEN,RBPhZc5eTVmEF_gpSV7skg
Maikel,1617918670871,1,38589.0,38589.0,136299.0,2.0,4,2,6,0,7,SUCCESS,38589,OPEN,FeKoIRn0Tsa6tACAWZ_2gw
GT-DevelopersIO,1617926180543,1,39540.0,39540.0,168398.0,1.25,2,3,5,0,8,SUCCESS,39540,OPEN,8WSp4P7ZRn-jJgZLnugwkA
Ernesto,1617932600635,1,39711.0,39711.0,127698.0,0.6666666666666666,0,2,2,0,9,SUCCESS,39711,OPEN,8zBEAp0-S5yGbcZvytGZGQ
JPMC-RogerRabbit,1617893672100,1,40833.0,40833.0,81759.0,1.0,0,2,2,0,10,SUCCESS,40833,OPEN,DXXOncNRR1iiqhBvpPO-_A
RobinCastro-DBS,1617927637203,1,40925.0,40925.0,134525.0,1.6666666666666667,5,0,5,1,11,SUCCESS,40925,OPEN,7KrbyQXvTBOxnBa0p9YuUA
JPMC-DriftKing-Houston,1617894070718,1,41887.0,41887.0,137242.0,1.6666666666666667,4,1,5,0,12,SUCCESS,41887,OPEN,fngewpiZSZm11yX7YgwnMA
Duckworth,1617657060318,1,47783.0,47783.0,157692.0,3.0,2,7,9,0,13,SUCCESS,47783,OPEN,VIu9BQ4-Th6gUqu60ztwUQ
dartjason,1617932662436,1,50504.0,50504.0,50504.0,2.0,0,2,2,1,14,SUCCESS,50504,OPEN,JSflDq5rQgKEuA5Ots4kDQ
Fumiaki,1617932622389,1,57055.0,57055.0,127738.0,5.0,2,8,10,0,15,SUCCESS,57055,OPEN,5RzBNYRAQoWVausi3eyhRg
Joffe,1617922422583,0,,,,0.0,0,0,0,0,16,SUCCESS,9223372036854775758,OPEN,ce17e3bfe82649448e2f3w
