Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,UserId
JJ,1608405924248,3,18709,18068,56127,0.0,0,0,0,6452,1,SUCCESS,56127,afdcX_4vRH6Ussd0mbg5LQ
ChihYu-NCTU-CGI,1608588247760,3,19744,19411,59232,0.0,0,0,0,359,2,SUCCESS,59232,ihXnNlRDTz2-KvgATVkREw
Duckworth,1607270466473,3,19816,19205,59448,0.0,0,0,0,710,3,SUCCESS,59448,VIu9BQ4-Th6gUqu60ztwUQ
Karl-NAB,1609118811139,3,19939,19342,59819,0.0,0,0,0,6829,4,SUCCESS,59819,4vOOxLIsSjeL2WFaO5o_fQ
Jochem,1608847620980,3,19998,19656,59994,0.0,0,0,0,397,5,SUCCESS,59994,RBPhZc5eTVmEF_gpSV7skg
dartjason,1608490996326,3,20164,19811,60493,0.0,0,0,0,2615,6,SUCCESS,60493,JSflDq5rQgKEuA5Ots4kDQ
condoriano,1609335719111,3,20201,20138,60603,0.0,0,0,0,186,7,SUCCESS,60603,xq_a3388T3Ob0PANJ2qulQ
JPMC-Rogue-Hyderabad,1609307374832,3,20281,20108,60844,0.0,0,0,0,527,8,SUCCESS,60844,LKdw_hyKTSu7moFuxbmiZw
AJM-Model-1,1608614193171,3,20382,19868,61148,0.0,0,0,0,3118,9,SUCCESS,61148,gdsU9bkGRWW7LTEHP4rGgQ
Fumiaki,1609359065456,3,20436,20131,61310,0.0,0,0,0,2605,10,SUCCESS,61310,5RzBNYRAQoWVausi3eyhRg
PolishThunder,1609381891180,3,20655,20269,61966,0.0,0,0,0,5619,11,SUCCESS,61966,qi512oGVTry8V-KtP6j2_w
Deepak-dpk,1608612250014,3,20964,20600,62894,0.0,0,0,0,674,12,SUCCESS,62894,gDTBFK77TM6wD6uObZlulA
Ensono-Ernesto,1609454258529,3,21012,20991,63038,0.0,0,0,0,774,13,SUCCESS,63038,8zBEAp0-S5yGbcZvytGZGQ
GT-DevelopersIO,1608459705922,3,21014,20738,63043,0.0,0,0,0,117,14,SUCCESS,63043,8WSp4P7ZRn-jJgZLnugwkA
JPMC-RogerRabbit-Houston,1606877518499,3,21178,20543,63536,0.0,0,0,0,8,15,SUCCESS,63536,DXXOncNRR1iiqhBvpPO-_A
S-P-,1608175165465,3,21328,21066,63984,0.0,0,0,0,840,16,SUCCESS,63984,MxT5p4ZvSTOcc6ANa8VZNg
Robin-Castro,1609242211310,3,21335,20793,64006,0.0,0,0,0,7053,17,SUCCESS,64006,qaH8R2-8TlG79mslpdPfGg
YUTAM-DENSO,1608875505119,3,21378,20739,64136,0.0,0,0,0,723,18,SUCCESS,64136,WUTaHFXwRfioIE1WfyD7nQ
JPMC-DriftKing-Houston,1609255161111,3,21606,21203,64820,0.0,0,0,0,38,19,SUCCESS,64820,fngewpiZSZm11yX7YgwnMA
JPMC-Vega-Hyderabad,1609363775531,3,21623,20921,64870,0.0,0,0,0,239,20,SUCCESS,64870,yQSFail2SLGaFehqTOx1dA
Yxcas-DBS,1609176759808,3,21719,21065,65159,0.0,0,0,0,2562,21,SUCCESS,65159,NdVUBlBJRqiz_zbY7Xn-2g
CGS-LargeLattice,1608757098673,3,21746,21121,65240,0.0,0,0,0,19,22,SUCCESS,65240,o6NgljsnTOOelVAsofMR3g
RayG,1608265127036,3,21795,21468,65386,0.0,0,0,0,1223,23,SUCCESS,65386,YNrvM9f5RteeSrCl7oFC5w
kimmizian,1609042590539,3,22242,21858,66727,0.0,0,0,0,6426,24,SUCCESS,66727,t6NwFsqgS4mYnFeR3KVxsg
