Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,UserId,TeamName
JJ,1603852025632,3,17815,17316,53447,0.0,0,0,0,6321,1,SUCCESS,53447,afdcX_4vRH6Ussd0mbg5LQ,
flatearth,1604022145716,3,18824,18411,56472,0.0,0,0,0,2,2,SUCCESS,56472,9e3a9607a4e04ba2b1a49w,
ChihYu-NCTU-CGI,1603909207162,3,18859,18403,56579,0.0,0,0,0,3675,3,SUCCESS,56579,ihXnNlRDTz2-KvgATVkREw,
McMurphy,1603906402932,3,18878,18190,56635,0.0,0,0,0,1071,4,SUCCESS,56635,hBmKoUwjQ_mahp-kv7jm8A,
dartjason,1602624929660,3,20031,19875,60093,0.0,0,0,0,704,5,SUCCESS,60093,JSflDq5rQgKEuA5Ots4kDQ,
Duckworth,1602637867292,3,20527,20420,61581,0.0,0,0,0,1726,6,SUCCESS,61581,VIu9BQ4-Th6gUqu60ztwUQ,Accenture
Ernesto-PhilJ,1603989367368,3,21066,20588,63200,0.0,0,0,0,3954,7,SUCCESS,63200,8zBEAp0-S5yGbcZvytGZGQ,
JPMC-HYD-02,1603407990961,3,21916,21406,65750,0.0,0,0,0,444,8,SUCCESS,65750,LKdw_hyKTSu7moFuxbmiZw,JPMorgan Chase
ep-dr-racer1,1603649049307,3,22055,21206,66166,0.0,0,0,0,2017,9,SUCCESS,66166,vEZxFEnhQHeI5tKR4Tz3rQ,
PolishThunder,1603362569245,3,22062,21309,66188,0.0,0,0,0,6463,10,SUCCESS,66188,qi512oGVTry8V-KtP6j2_w,
blueberrypie,1604087434395,3,22078,21277,66236,0.0,0,0,0,1428,11,SUCCESS,66236,EmZsQC41RtW5hhxb6z2-xQ,
JonathanRacer,1603944158221,3,22144,21584,66434,0.0,0,0,0,1613,12,SUCCESS,66434,nya9ln7uRZ6yFkb9tRzrOw,
CGS-LargeLattice,1603916800517,3,22726,22322,68178,0.0,0,0,0,225,13,SUCCESS,68178,o6NgljsnTOOelVAsofMR3g,
kimmizian,1603541158553,3,23479,23062,70438,0.0,0,0,0,4828,14,SUCCESS,70438,t6NwFsqgS4mYnFeR3KVxsg,
skoota,1604042880977,3,23828,23583,71485,0.0,0,0,0,952,15,SUCCESS,71485,-1lhRLeeRTCRUGoxx3ybDA,
S-P-,1602899857536,3,24872,24195,74616,0.0,0,0,0,86,16,SUCCESS,74616,MxT5p4ZvSTOcc6ANa8VZNg,
Tyler1,1602669441319,3,24979,24531,74937,0.0,0,0,0,4,17,SUCCESS,74937,__WUQ2m5TtCjeNkJGhNtBw,
JPMC-London-Kachow,1604046263346,3,25038,24267,75115,0.0,0,0,0,73,18,SUCCESS,75115,yQSFail2SLGaFehqTOx1dA,
RogerRabbit,1603736262613,3,25312,20732,75938,0.6666666666666666,0,2,2,5,19,SUCCESS,75938,DXXOncNRR1iiqhBvpPO-_A,JPMorgan Chase
ABaykov,1603719926499,3,25642,23732,76927,0.3333333333333333,0,1,1,123,20,SUCCESS,76927,aa28j7SWTd-LxMzvFoj_bA,
nalbam-me,1602908671168,3,25678,25146,77036,0.0,0,0,0,547,21,SUCCESS,77036,PnRru4vBRkeyT4xX6LOCtw,
MiLKB-DBS,1604114173375,3,26141,21804,78423,0.6666666666666666,0,2,2,50,22,SUCCESS,78423,bcGuDYpCSdeyBCKwgMDOgg,DBS
UncleGK-DBS,1603904326181,3,26171,25667,78514,0.0,0,0,0,91,23,SUCCESS,78514,244me6w0SIqlFPoljSZJsw,DBS
Arcjude,1603917758315,3,26909,26561,80728,0.0,0,0,0,456,24,SUCCESS,80728,9uDvvD4JRjWEWMYrxDGdFg,
VaughanDiesel,1604158386335,3,27226,26925,81680,0.0,0,0,0,14,25,SUCCESS,81680,ca37b6d347cd4f69aa20bw,
MattKreder,1602768326328,3,27248,26423,81745,0.0,0,0,0,303,26,SUCCESS,81745,cVk-aYKdRUmuL0qmjyzmag,
Richard-Fan,1602426038921,3,27761,26996,83285,0.0,0,0,0,44,27,SUCCESS,83285,oxm3h2AtTpGqAnGZ4vzYpg,
Yxcas-DBS,1601600593313,3,27885,27419,83657,0.0,0,0,0,3,28,SUCCESS,83657,NdVUBlBJRqiz_zbY7Xn-2g,DBS
Mungi,1604040053044,3,27993,26939,83981,0.0,0,0,0,73,29,SUCCESS,83981,RgTvucbNQja7yiYbgh2p9A,
Jochem,1604171648792,3,28347,24467,85043,0.6666666666666666,0,2,2,35,30,SUCCESS,85043,RBPhZc5eTVmEF_gpSV7skg,
Tyler1-KMITL,1604187937937,3,28442,22671,85326,1.0,0,3,3,8,31,SUCCESS,85326,vxkt_NhrSvCurVqPKFkH5Q,
Jianlong,1602110161111,3,28962,27739,86887,0.0,0,0,0,1704,32,SUCCESS,86887,vpsHYdBtSIq__1M9j1R21Q,DBS
WaveLabCup-test,1604111511091,3,29755,27276,89266,0.3333333333333333,0,1,1,58,33,SUCCESS,89266,VoDpVnVvR6CwWViNtPYWXA,
TienHoang-DBS,1601650673711,3,30129,27684,90387,0.3333333333333333,0,1,1,5,34,SUCCESS,90387,6IwkeVP_SV-fxpC-59lOog,DBS
Airborne,1603385828457,3,30529,29742,91587,0.0,0,0,0,4,35,SUCCESS,91587,7_kPZw4kTcGRKGqVoLSa6g,
SK-DENSO,1602569037475,3,30627,30179,91883,0.0,0,0,0,49,36,SUCCESS,91883,OY7PidANQca_8oV6j3LJ2g,
