Rank,Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,LeaderboardSubmissionStatusType,RankingScore,UserId
1,rosscomp1,1719101354629,5,14646,10934,71693,0.6,3,0,3,2,SUCCESS,14646,fb0d597a87f94697aa1c6w
2,Origami,1719059659777,5,18205,16797,92757,1.0,4,1,5,2,SUCCESS,18205,xOcXWdU4QdeaSGZy6VYZjQ
3,kashi,1719134322478,5,20598,16136,123258,2.4,12,0,12,4,SUCCESS,20598,oq7yCLy5QAeEP6k7o53L8A
4,UnboundHypothesis,1719027245287,5,23232,19098,124902,2.0,5,5,10,1,SUCCESS,23232,AKKdsaEmSTSB-MONeM3cbw
5,EvidenMarkRoss,1719127922228,5,25754,23863,130826,2.4,12,0,12,2,SUCCESS,25754,9OT4p4dXQ2K2J5pOUfeGfg
6,HashableScope,1719027201075,5,25938,19620,150819,2.8,11,3,14,1,SUCCESS,25938,hETjovPkS1y0n1VzFbrqcA
7,Project-Zero,1719060598332,5,25976,22331,151492,3.4,10,7,17,2,SUCCESS,25976,YSbI1jRjSbazQENoTf3hBQ
8,Rads1212,1719056005055,5,27688,21733,145116,3.2,9,7,16,7,SUCCESS,27688,3keqP30TQMS6jO8SRw_1uw
9,CodeMachine,1719069051545,5,31334,24074,176257,4.0,17,3,20,2,SUCCESS,31334,b_WzN_r8ToGPle_8bl2tMA
10,nickyl,1719099848082,5,32125,23670,169104,2.6,13,0,13,1,SUCCESS,32125,O0GALYAoRfGA0kUV6ftgqQ
11,NateVroomMorr,1719028694315,5,32576,23804,148119,2.8,11,3,14,7,SUCCESS,32576,EGDiUP6VTJuqsCLUTdP7Qw
12,BennyLBS,1719046229608,5,32666,30532,187695,5.2,22,4,26,1,SUCCESS,32666,wD3fjDFZTJaZd9AU7WRDlA
13,THEYA,1719085257178,5,34201,29073,195601,5.0,21,4,25,1,SUCCESS,34201,lEMJa_knTkmYUf8sZq7p8w
14,FocusedInterface,1719027081984,5,34356,30802,171370,3.6,13,5,18,1,SUCCESS,34356,r3aBxr_LTr6oaaHKYRj68Q
15,Sampath-Kinthali,1719050041417,5,34421,26730,190257,5.0,20,5,25,4,SUCCESS,34421,zXpwqzARTui25ZaeepLDyw
16,761242500723-SG23-prakashph,1719035002256,5,35830,33693,180361,4.4,22,0,22,1,SUCCESS,35830,z3Dr5_R7TpSBzhiXoJKspw
17,Cloud-Ultra-Pro,1719108971744,5,41098,37627,224166,5.4,26,1,27,1,SUCCESS,41098,R22FBKQsSMKmRaTpNdD76A
18,AravindVCyber,1719027139330,5,43018,37805,232988,5.6,19,9,28,2,SUCCESS,43018,4WpVgL2TRrW0orrL7I6wpA
19,RobotError#5411,1719074972438,5,43689,32834,214705,1.8,7,2,9,3,SUCCESS,43689,DFUFWR13RDS0LgVBfwSIfA
20,onlythree,1719043489860,5,44244,36133,209971,5.2,18,8,26,1,SUCCESS,44244,23e254b25ea0443389ed6w
21,FormulaicLog,1719027184472,5,45444,37932,240244,5.8,21,8,29,1,SUCCESS,45444,_2DyfqG0R-OD66cZ-A49VQ
22,MSalie,1719067178676,5,46443,42128,227752,5.4,26,1,27,1,SUCCESS,46443,hEzNKV4vR1mcLP8PRdw_JQ
23,RacingPhoenix,1719027157711,5,46944,39204,253229,7.0,15,20,35,1,SUCCESS,46944,czOx0b4wS2uL4vzU92TnCg
24,HCAlsos,1719054823702,5,48400,40669,264524,5.2,26,0,26,1,SUCCESS,48400,Munh160SQROTssQHBnCB4A
25,Vahan-OP,1719127848937,5,48622,37534,253884,5.0,11,14,25,1,SUCCESS,48622,YUOli6BmSeS9nVZMBqGnbQ
26,Master-Racer,1719123682323,5,48799,48331,261263,6.6,31,2,33,3,SUCCESS,48799,Z0pY0075Sp24N9Wlx5sbAQ
27,Reference486,1719027220500,5,49100,40998,257771,6.8,25,9,34,1,SUCCESS,49100,zmf8l8rHQ36Lpy6Y0qYepA
28,Wolfking7,1719121795727,5,49885,33727,230256,6.0,6,24,30,1,SUCCESS,49885,zDhMPmTYSn6gduZ26KjthA
29,CarrerDelBlanquer2,1719084374098,5,51577,43998,281873,7.6,38,0,38,1,SUCCESS,51577,4gTWESbfSMOefvxyse-nlw
30,AB4,1719052171954,5,58463,48934,296356,8.8,24,20,44,1,SUCCESS,58463,qLNx-qkYRvKrZ5cZBWB6mg
31,FungiblePackage#7437,1719065043348,5,68021,63263,358750,8.6,29,14,43,1,SUCCESS,68021,a5xwc0_7TcKYcm7mK7dsEw
