Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
Bandwidth-RnD,1630468960230,3,23375,21125,70127,0.6666666666666666,0,2,2,6,1,SUCCESS,70127,OPEN,77V1kp1kRJCO5D4zgSrqxA
CGS-BigBoson,1630481616506,3,24955,24611,74866,0.0,0,0,0,87,2,SUCCESS,74866,OPEN,U1DMLV72SSmIjLE-fPGbuw
Hyd-Batch1-League-1,1630467040399,3,26534,25069,79604,0.3333333333333333,0,1,1,16,3,SUCCESS,79604,OPEN,V0qPcq3FQhyn3gy0ysuUHw
DeepRacer02,1630475168313,3,32558,30125,97676,0.6666666666666666,0,2,2,5,4,SUCCESS,97676,OPEN,YYT8Cpu9TSOuIFRHbfxvtw
Hyd-06,1630479075219,3,33459,29132,100377,3.0,0,9,9,5,5,SUCCESS,100377,OPEN,u5StnMv9QNmxDwE06MKSbA
CGS-1st-percentile,1630455210413,3,34646,30731,103938,1.0,0,3,3,1,6,SUCCESS,103938,OPEN,bO07gKagTNOeBrl6ttqy0Q
LeoVim,1630476340722,3,34971,30582,104913,2.3333333333333335,0,7,7,2,7,SUCCESS,104913,OPEN,-vr0ppK9Sei4dXrz_iibXw
Aniket10,1630466424332,3,35134,34743,105404,0.0,0,0,0,1,8,SUCCESS,105404,OPEN,DDrXrwRtTCqOws9Ozvqq3A
StructuredNetwork#9355,1630486285834,3,36406,35800,109220,0.0,0,0,0,1,9,SUCCESS,109220,OPEN,wJn9Z5yNRKa8xRMPz2KjKg
Mike211,1630456010828,3,37329,36004,111987,3.3333333333333335,0,10,10,11,10,SUCCESS,111987,OPEN,rgZhd0J7TBGwBO4GPYC3yg
UpgradedNumber#6962,1630468948880,3,37364,35530,112092,1.3333333333333333,0,4,4,1,11,SUCCESS,112092,OPEN,JFK92XXwTbe71bcr7bl9gA
HongKong-2-HK4,1630455782527,3,37998,31874,113994,4.666666666666667,0,14,14,6,12,SUCCESS,113994,OPEN,wQl2h07uTuOPY9Uvk9DIEw
ragrama007,1630478524411,3,38137,36199,114412,1.6666666666666667,0,5,5,1,13,SUCCESS,114412,OPEN,M9lU4elYRqSC_il2XwZ9mg
AndhyMao,1630459755954,3,38423,38405,115271,4.0,0,12,12,1,14,SUCCESS,115271,OPEN,3EPgVWiPTHS3dlwOt5hEbQ
RMIT-CODE-BADGER,1630469919015,3,38961,37272,116884,0.6666666666666666,0,2,2,2,15,SUCCESS,116884,OPEN,Rtccp4dtQI2Kb45_A_moaQ
Robomon,1630481372849,3,39131,33468,117395,3.6666666666666665,0,11,11,3,16,SUCCESS,117395,OPEN,9-gHhYn6T_KJjCTZQ0kLFQ
Arigatou,1630482567841,3,39379,36937,118139,2.0,0,6,6,1,17,SUCCESS,118139,OPEN,Z4T-uNG8QJyA-cWj3wkFMQ
AutomatedHypothesis#3418,1630480622978,3,39815,38670,119445,0.6666666666666666,0,2,2,3,18,SUCCESS,119445,OPEN,4i6G_hahR9uaUIlKlGIfMA
HongKong-1-HK5,1630465570045,3,40918,37759,122754,5.0,0,15,15,2,19,SUCCESS,122754,OPEN,VpvceE1oSh6YMrECcvArOQ
Dug,1630465507671,3,41780,39279,125341,5.333333333333333,0,16,16,1,20,SUCCESS,125341,OPEN,ebaac7d1eb7b4d3f9ae5ce8ad863869f
Mafia,1630469535763,3,43070,39270,129212,3.3333333333333335,0,10,10,1,21,SUCCESS,129212,OPEN,vMBkxqxlRT2Zvl9TH9v-5w
TestingShell#7785,1630469669790,3,45910,43678,137731,6.666666666666667,0,20,20,1,22,SUCCESS,137731,OPEN,w_U1qiixRlCzIUI0N6B7aA
