Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
Racer0,1633008176550,3,19172,19069,57518,0.0,0,0,0,41,1,SUCCESS,57518,OPEN,dY54GPz6Q4-ri__AZcnzog
JPMC-MUMBAI-FormulaAI,1632379000354,3,20212,19651,60637,0.0,0,0,0,82,2,SUCCESS,60637,OPEN,Gx2StgEoSza3Gxxo4Oghug
NguyenTrungThanh,1632162934634,3,20222,19926,60666,0.0,0,0,0,466,3,SUCCESS,60666,OPEN,kaVGgECET--R_b6c8bHhpQ
HoD-Robotics,1633042307205,3,20643,18975,61929,0.3333333333333333,0,1,1,32,4,SUCCESS,61929,OPEN,w_U1qiixRlCzIUI0N6B7aA
Bandwidth-RnD,1630468960230,3,23375,21125,70127,0.6666666666666666,0,2,2,6,5,SUCCESS,70127,OPEN,77V1kp1kRJCO5D4zgSrqxA
Ghost-Rider-007,1632804217451,3,23614,18547,70842,2.3333333333333335,0,7,7,58,6,SUCCESS,70842,OPEN,yjfHxWGORWWg1wHFQFBH4g
DeepAlchemy,1632935769027,3,23907,22604,71721,0.3333333333333333,0,1,1,38,7,SUCCESS,71721,OPEN,gCJD3S3BSwqznD259gwCYQ
Edgar-Samaz-Rup,1631581631978,3,24680,24645,74041,0.0,0,0,0,37,8,SUCCESS,74041,OPEN,B7vhutbnSeaF681SK00pMg
Bayang,1632825314419,3,24706,24267,74119,0.0,0,0,0,80,9,SUCCESS,74119,OPEN,7025becd29d44c3ca24b2Q
VishOr,1632397304001,3,24798,23395,74396,0.3333333333333333,0,1,1,8,10,SUCCESS,74396,OPEN,vVLldFpfR32KUaZOn6LfKA
CGS-BigBoson,1630481616506,3,24955,24611,74866,0.0,0,0,0,163,11,SUCCESS,74866,OPEN,U1DMLV72SSmIjLE-fPGbuw
DigitalBrackets#0327,1632621243848,3,25125,24588,75376,0.0,0,0,0,1,12,SUCCESS,75376,OPEN,gqL3GnrURmaCMDX7dUmeJw
Wingism,1632473265569,3,25218,23838,75655,0.3333333333333333,0,1,1,78,13,SUCCESS,75655,OPEN,Spey2yUETeKA1doS2t-McQ
anuj-aggarwal,1632836914375,3,25643,24539,76931,0.3333333333333333,0,1,1,119,14,SUCCESS,76931,OPEN,o_BkPc7jTK68tjHZiBRQEw
Yo-no-fui,1632955437696,3,25814,20668,77443,1.6666666666666667,0,5,5,16,15,SUCCESS,77443,OPEN,BMnfFwxdQECmMf_8A7VHoA
Singapore-F1-Team,1632064438740,3,25908,25790,77724,0.0,0,0,0,28,16,SUCCESS,77724,OPEN,Va-EJb_GTyqNSrzsa6vc2A
CS26,1632980824356,3,26040,25798,78121,1.0,0,3,3,30,17,SUCCESS,78121,OPEN,FDJhasexR4KMZJoky8tWbQ
RDFZ-bruh,1631784303147,3,26126,24910,78380,0.3333333333333333,0,1,1,45,18,SUCCESS,78380,OPEN,pe0W4l8eTsiF5BkYll6TPw
M1,1631649155635,3,26174,24791,78524,0.3333333333333333,0,1,1,11,19,SUCCESS,78524,OPEN,Xn0RvzBNTR284yu49EG8XA
Cypr,1631864532473,3,26222,26131,78666,0.0,0,0,0,1,20,SUCCESS,78666,OPEN,0AzQC7kSQvqZldzfngXJiA
TeslaModel,1632324424578,3,26406,24156,79219,0.6666666666666666,0,2,2,23,21,SUCCESS,79219,OPEN,SrKyXIJ-StKK5snHftP0iA
JPMC-HYD-FANTASTIC-FOUR,1630497555436,3,26444,25136,79333,0.3333333333333333,0,1,1,43,22,SUCCESS,79333,OPEN,V0qPcq3FQhyn3gy0ysuUHw
JPMC-DFW-DeepRacer2,1632520521618,3,26481,24728,79443,0.3333333333333333,0,1,1,6,23,SUCCESS,79443,OPEN,0bHKxSFCR2aL2CUrGAZRVQ
SG-Chetak,1633042286948,3,26590,25992,79772,1.0,0,3,3,3,24,SUCCESS,79772,OPEN,WSgyYux8TK-P40l8VL8jRg
ADLexues,1632977070520,3,26647,24061,79942,0.6666666666666666,0,2,2,27,25,SUCCESS,79942,OPEN,HOXuxFMuQ_mNu7fn_3VWZw
JPMC-HYD-09,1631605918363,3,26943,25628,80829,0.3333333333333333,0,1,1,58,26,SUCCESS,80829,OPEN,vA_gK0vxTNWI-MTWEWLAxw
JPMC-BLR-TeamRocket,1632813206641,3,27096,24130,81289,1.0,0,3,3,30,27,SUCCESS,81289,OPEN,862178ae6d6947ff88c95Q
gcjordi,1632741024161,3,27625,27466,82875,0.0,0,0,0,18,28,SUCCESS,82875,OPEN,4n-0HYIyQ2241dJ4tZirRg
CreativeSlice#2954,1632937169029,3,28002,27534,84006,1.0,0,3,3,3,29,SUCCESS,84006,OPEN,a0cNMAG4RrmJIzqTGVqezw
Oluwatomisin,1633043361710,3,28084,25331,84254,0.6666666666666666,0,2,2,80,30,SUCCESS,84254,OPEN,EF2zp7I7Q96CSDzQAT2W_w
HelpfulParameter#4412,1630520819136,3,28102,28068,84307,2.0,0,6,6,4,31,SUCCESS,84307,OPEN,eKbtti16Ria56C2pHUoIYQ
Michael-Ip,1630954020396,3,28244,28143,84734,0.0,0,0,0,81,32,SUCCESS,84734,OPEN,jX6MOpKUQ3i2sRBCHWcAbw
Robomon,1630775723317,3,28324,27386,84973,0.6666666666666666,0,2,2,48,33,SUCCESS,84973,OPEN,9-gHhYn6T_KJjCTZQ0kLFQ
LeoVim,1632896622985,3,28336,27797,85009,0.0,0,0,0,28,34,SUCCESS,85009,OPEN,-vr0ppK9Sei4dXrz_iibXw
El-Andujar,1632687534469,3,28413,26588,85240,0.3333333333333333,0,1,1,36,35,SUCCESS,85240,OPEN,vLkMMIiPQW-J31_KWyknoQ
Madikho,1631613595074,3,28471,27000,85413,1.3333333333333333,0,4,4,1,36,SUCCESS,85413,OPEN,Dj_YWkFjRhOUtnVIYIY_JQ
ContinuousGlyph#3877,1632916339908,3,29029,24199,87089,1.3333333333333333,0,4,4,58,37,SUCCESS,87089,OPEN,re9uYj4gQ3GhNBuFUC6BwA
DO-BIP,1631708108904,3,29046,28863,87140,1.0,0,3,3,45,38,SUCCESS,87140,OPEN,76nNoQ0nSDm0H1YlUhHLXw
HelpfulError#3162,1631858605199,3,29157,29063,87473,0.0,0,0,0,45,39,SUCCESS,87473,OPEN,LVlFh13-Q8KGMBruC9z60Q
DeepRacer-08-1,1632827954650,3,29245,26725,87736,0.6666666666666666,0,2,2,37,40,SUCCESS,87736,OPEN,R2fKLJClSIyIZKqNmDKkTA
