Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
DBro,1652106024274,1,23001.0,23001.0,173855.0,0.2857142857142857,2,0,2,1,1,SUCCESS,23001.0,OPEN,jEkEOpjZRhGUbyDZIfTo_A
Karl-NAB,1652104941166,1,23739.0,23739.0,171194.0,0.0,0,0,0,1,2,SUCCESS,23739.0,OPEN,4vOOxLIsSjeL2WFaO5o_fQ
PolishThunder,1652106337168,1,24003.0,24003.0,164388.0,0.6666666666666666,0,4,4,1,3,SUCCESS,24003.0,OPEN,qi512oGVTry8V-KtP6j2_w
ADA,1652104462794,1,24267.0,24267.0,160439.0,0.6666666666666666,1,3,4,1,4,SUCCESS,24267.0,OPEN,KiqOhQPjTamuBXicXnKGEA
TonyJ,1652108156110,1,24533.0,24533.0,178643.0,1.3333333333333333,4,4,8,1,5,SUCCESS,24533.0,OPEN,af962be5a4ed4c57af807w
AIDeepRacer,1652104795739,1,24932.0,24932.0,160646.0,0.5,2,1,3,1,6,SUCCESS,24932.0,OPEN,pIRbdCx6QYatgVXm2p5GbA
CGS-Huge-Hadr0n,1652107121997,1,25810.0,25810.0,167856.0,0.3333333333333333,0,1,2,1,7,SUCCESS,25810.0,OPEN,63LA0_QCQ1-fRLzXgWmAeQ
Duckworth,1652104538324,1,27853.0,27853.0,161260.0,1.4,2,5,7,1,8,SUCCESS,27853.0,OPEN,VIu9BQ4-Th6gUqu60ztwUQ
AJM-Model-1,1652104963245,1,30066.0,30066.0,167729.0,1.8,7,2,9,1,9,SUCCESS,30066.0,OPEN,gdsU9bkGRWW7LTEHP4rGgQ
Ensono-Ernesto,1652107074515,1,32598.0,32598.0,168775.0,2.2,10,1,11,1,10,SUCCESS,32598.0,OPEN,8zBEAp0-S5yGbcZvytGZGQ
Fumiaki,1652105009211,1,33877.0,33877.0,176747.0,3.5,10,4,14,1,11,SUCCESS,33877.0,OPEN,5RzBNYRAQoWVausi3eyhRg
DoomBuggy,1652105653183,1,38531.0,38531.0,169729.0,4.0,15,1,16,1,12,SUCCESS,38531.0,OPEN,QakV_nzOTm2q_NhqUMwIJw
Rober,1652104797871,1,55278.0,55278.0,176943.0,7.666666666666667,16,7,23,1,13,SUCCESS,55278.0,OPEN,KrRSYhzKTfONjRaDUc_ubQ
Deepak-dpk,1652106354273,0,,,,0.0,0,0,0,1,14,SUCCESS,9.223372036854776e+18,OPEN,gDTBFK77TM6wD6uObZlulA
dartjason,1652106777682,0,,,,0.0,0,0,0,1,15,SUCCESS,,OPEN,JSflDq5rQgKEuA5Ots4kDQ
