Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
DBro,1652106024274,1,23001.0,23001.0,173855.0,0.2857142857142857,2,0,2,2,1,SUCCESS,23001,OPEN,jEkEOpjZRhGUbyDZIfTo_A
PolishThunder,1652112956943,1,23129.0,23129.0,167802.0,1.0,2,4,6,2,2,SUCCESS,23129,OPEN,qi512oGVTry8V-KtP6j2_w
Karl-NAB,1652104941166,1,23739.0,23739.0,171194.0,0.0,0,0,0,2,3,SUCCESS,23739,OPEN,4vOOxLIsSjeL2WFaO5o_fQ
AIDeepRacer,1652112953514,1,24073.0,24073.0,176596.0,0.14285714285714285,1,0,1,2,4,SUCCESS,24073,OPEN,pIRbdCx6QYatgVXm2p5GbA
ADA,1652104462794,1,24267.0,24267.0,160439.0,0.6666666666666666,1,3,4,2,5,SUCCESS,24267,OPEN,KiqOhQPjTamuBXicXnKGEA
TonyJ,1652108156110,1,24533.0,24533.0,178643.0,1.3333333333333333,4,4,8,2,6,SUCCESS,24533,OPEN,af962be5a4ed4c57af807w
CGS-Huge-Hadr0n,1652112939231,1,25396.0,25396.0,176666.0,0.8333333333333334,1,4,5,2,7,SUCCESS,25396,OPEN,63LA0_QCQ1-fRLzXgWmAeQ
AJM-Model-1,1652113193916,1,25406.0,25406.0,153866.0,1.2,4,2,6,2,8,SUCCESS,25406,OPEN,gdsU9bkGRWW7LTEHP4rGgQ
Duckworth,1652104538324,1,27853.0,27853.0,161260.0,1.4,2,5,7,2,9,SUCCESS,27853,OPEN,VIu9BQ4-Th6gUqu60ztwUQ
dartjason,1652113069640,1,31794.0,31794.0,111869.0,3.0,7,2,9,2,10,SUCCESS,31794,OPEN,JSflDq5rQgKEuA5Ots4kDQ
Rober-rNiubo,1652112958299,1,32446.0,32446.0,168707.0,2.75,6,5,11,2,11,SUCCESS,32446,OPEN,KrRSYhzKTfONjRaDUc_ubQ
Ernesto-PhilJ,1652107074515,1,32598.0,32598.0,168775.0,2.2,10,1,11,2,12,SUCCESS,32598,OPEN,8zBEAp0-S5yGbcZvytGZGQ
Fumiaki,1652112946600,1,32670.0,32670.0,147855.0,2.0,4,4,8,2,13,SUCCESS,32670,OPEN,5RzBNYRAQoWVausi3eyhRg
DoomBuggy,1652105653183,1,38531.0,38531.0,169729.0,4.0,15,1,16,2,14,SUCCESS,38531,OPEN,QakV_nzOTm2q_NhqUMwIJw
Deepak-dpk,1652106354273,0,,,,0.0,0,0,0,1,15,SUCCESS,9223372036854775724,OPEN,gDTBFK77TM6wD6uObZlulA
