Rank,Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,LeaderboardSubmissionStatusType,RankingScore,UserId
1,rosscomp1,1692671171378,3,23197,22986,69591,0.0,0,0,0,9,SUCCESS,69591,fb0d597a87f94697aa1c6w
2,dcongtinh,1692076835427,3,23396,23128,70190,0.0,0,0,0,48,SUCCESS,70190,CqZmW8kHQti0P4KOd0cLdA
3,Duckworth,1692363728443,3,24152,23929,72456,0.0,0,0,0,10,SUCCESS,72456,VIu9BQ4-Th6gUqu60ztwUQ
4,CodeMachine,1692004800846,3,24263,24192,72789,0.0,0,0,0,29,SUCCESS,72789,b_WzN_r8ToGPle_8bl2tMA
5,TonyJ,1692269890110,3,24311,23854,72935,0.0,0,0,0,6,SUCCESS,72935,af962be5a4ed4c57af807w
6,IcePandaBoom,1692366376920,3,24419,23947,73257,0.0,0,0,0,50,SUCCESS,73257,BTPWujqqTBOWGAFvEKyRaA
7,AJM-Model-1,1692907990358,3,24799,24469,74397,0.0,0,0,0,6,SUCCESS,74397,gdsU9bkGRWW7LTEHP4rGgQ
8,GiangCao,1692502556649,3,24819,23324,74457,0.3333333333333333,0,1,1,1,SUCCESS,74457,SvCT5KRiSwSjBHDgsrmksg
9,ferrite,1692924247388,3,24956,24600,74870,0.0,0,0,0,7,SUCCESS,74870,SRAgn9lMTCmIjaBREP7hxA
10,RobinCastro-DBS,1692800900078,3,25041,24662,75123,0.0,0,0,0,17,SUCCESS,75123,7KrbyQXvTBOxnBa0p9YuUA
11,PolishThunder,1692632039586,3,25062,24873,75187,0.0,0,0,0,21,SUCCESS,75187,qi512oGVTry8V-KtP6j2_w
12,Off-track,1692497757776,3,25106,24723,75319,0.0,0,0,0,3,SUCCESS,75319,1R021ZoDQrqxSUiHfBvyEw
13,BSi,1691844765272,3,25374,24992,76124,0.0,0,0,0,30,SUCCESS,76124,2eb231b0a43f4940bfed3w
14,DaVinciDriver,1692533607544,3,25419,25136,76257,0.0,0,0,0,14,SUCCESS,76257,XtzXYz2pRByDnXz90XNGSw
15,DecisionTransformer,1690983959462,3,25616,24344,76848,0.3333333333333333,0,1,1,3,SUCCESS,76848,1mW7p6I1Q0-cB3Up-esBeQ
16,Eviden-Mark-Ross,1692375486931,3,25661,25461,76983,0.0,0,0,0,12,SUCCESS,76983,F_ThjPFRSx-guPadHlwEuA
17,Rober-rNiubo,1691722106777,3,25681,25473,77045,0.0,0,0,0,50,SUCCESS,77045,KrRSYhzKTfONjRaDUc_ubQ
