Rank,Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,LeaderboardSubmissionStatusType,RankingScore,UserId
1,rosscomp1,1693452255644,3,22862,22608,68587,0.0,0,0,0,49,SUCCESS,68587,fb0d597a87f94697aa1c6w
2,JJ,1693452402957,3,23306,22926,69919,0.0,0,0,0,40,SUCCESS,69919,afdcX_4vRH6Ussd0mbg5LQ
3,TonyD,1692076835427,3,23396,23128,70190,0.0,0,0,0,48,SUCCESS,70190,CqZmW8kHQti0P4KOd0cLdA
4,GiangCao,1693403354717,3,23460,23200,70382,0.0,0,0,0,2,SUCCESS,70382,SvCT5KRiSwSjBHDgsrmksg
5,ZhengYi-NYCU-CGI,1693138799567,3,23927,23464,71782,0.0,0,0,0,1,SUCCESS,71782,qY4J9IzvQS6a1N-KZXwviA
6,Duckworth,1693250232427,3,24083,23663,72251,0.0,0,0,0,31,SUCCESS,72251,VIu9BQ4-Th6gUqu60ztwUQ
7,TonyJ,1693449039139,3,24248,23881,72746,0.0,0,0,0,35,SUCCESS,72746,af962be5a4ed4c57af807w
8,CodeMachine,1692004800846,3,24263,24192,72789,0.0,0,0,0,42,SUCCESS,72789,b_WzN_r8ToGPle_8bl2tMA
9,IcePandaBoom,1692366376920,3,24419,23947,73257,0.0,0,0,0,50,SUCCESS,73257,BTPWujqqTBOWGAFvEKyRaA
10,Off-track,1693508178420,3,24640,24192,73920,0.0,0,0,0,50,SUCCESS,73920,1R021ZoDQrqxSUiHfBvyEw
11,MattCamp,1693346364514,3,24685,24260,74057,0.0,0,0,0,47,SUCCESS,74057,9z8BN2mkSj-Dlb_Chg_0Hw
12,DaVinciDriver,1693338263755,3,24708,24137,74126,0.0,0,0,0,37,SUCCESS,74126,XtzXYz2pRByDnXz90XNGSw
13,AJM-Model-1,1692907990358,3,24799,24469,74397,0.0,0,0,0,36,SUCCESS,74397,gdsU9bkGRWW7LTEHP4rGgQ
14,ferrite,1692924247388,3,24956,24600,74870,0.0,0,0,0,28,SUCCESS,74870,SRAgn9lMTCmIjaBREP7hxA
