Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision
ZhengYi-NYCU-CGI,1628773429912,1,22686.0,22686.0,168054.0,1.1666666666666667,2,5,7,0,1,SUCCESS,22686,OPEN
Yi-LI-NYCU-CGI,1628813129728,1,23108.0,23108.0,164186.0,1.0,0,6,6,0,2,SUCCESS,23108,OPEN
rosscomp1,1628812906657,1,23268.0,23268.0,164031.0,4.0,8,8,16,0,3,SUCCESS,23268,OPEN
Ernesto,1628690308154,1,24329.0,24329.0,153583.0,1.4,5,2,7,0,4,SUCCESS,24329,OPEN
JPMC-Ace-Hyderabad,1628814277316,1,26170.0,26170.0,159357.0,6.666666666666667,8,12,20,0,5,SUCCESS,26170,OPEN
SorinB,1628708287082,1,27269.0,27269.0,176082.0,2.6,6,7,13,0,6,SUCCESS,27269,OPEN
GT-DevelopersIO,1628810602731,1,31278.0,31278.0,164053.0,1.6,0,7,8,0,7,SUCCESS,31278,OPEN
AIDeepRacer,1628812788778,1,33065.0,33065.0,149277.0,3.0,5,7,12,0,8,SUCCESS,33065,OPEN
Matt,1628814002783,1,33872.0,33872.0,160320.0,12.0,22,2,24,0,9,SUCCESS,33872,OPEN
JPMC-Rogue-Hyderabad,1628791330554,1,36276.0,36276.0,176161.0,5.0,6,14,20,0,10,SUCCESS,36276,OPEN
AJM-Model-1,1628813234018,1,47395.0,47395.0,174871.0,7.666666666666667,14,9,23,1,11,SUCCESS,47395,OPEN
CGS-LargeLattice,1628815708942,1,55384.0,55384.0,123305.0,8.5,10,7,17,0,12,SUCCESS,55384,OPEN
TonyJ,1628812106216,1,66960.0,66960.0,165434.0,14.5,4,25,29,0,13,SUCCESS,66960,OPEN
RobinCastro-DBS,1628813719031,1,120699.0,120699.0,120699.0,20.0,19,1,20,0,14,SUCCESS,120699,OPEN
dartjason,1628816775765,0,,,,0.0,0,0,0,2,15,SUCCESS,9223372036854775797,OPEN
