Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
ZhengYi-NYCU-CGI,1628773429912,1,22686.0,22686.0,168054.0,1.1666666666666667,2,5,7,0,1,SUCCESS,22686,OPEN,qY4J9IzvQS6a1N-KZXwviA
Yi-LI-NYCU-CGI,1628813129728,1,23108.0,23108.0,164186.0,1.0,0,6,6,1,2,SUCCESS,23108,OPEN,jrJHq8pZQAyj4gGqMw8-DQ
rosscomp1,1628812906657,1,23268.0,23268.0,164031.0,4.0,8,8,16,1,3,SUCCESS,23268,OPEN,fb0d597a87f94697aa1c6w
Ensono-Ernesto,1628690308154,1,24329.0,24329.0,153583.0,1.4,5,2,7,0,4,SUCCESS,24329,OPEN,8zBEAp0-S5yGbcZvytGZGQ
TonyJ,1628820325023,1,25000.0,25000.0,170727.0,2.8,2,12,14,1,5,SUCCESS,25000,OPEN,af962be5a4ed4c57af807w
JPMC-Ace-Hyderabad,1628814277316,1,26170.0,26170.0,159357.0,6.666666666666667,8,12,20,1,6,SUCCESS,26170,OPEN,6fdcVCAkQtCCsyHEO0LNiA
GT-DevelopersIO,1628820306968,1,26390.0,26390.0,155900.0,1.2,0,6,6,0,7,SUCCESS,26390,OPEN,8WSp4P7ZRn-jJgZLnugwkA
SorinB,1628708287082,1,27269.0,27269.0,176082.0,2.6,6,7,13,0,8,SUCCESS,27269,OPEN,TFtvCas4TRWchrBPMyGh0A
JPMC-Rogue-Hyderabad,1628820510016,1,28239.0,28239.0,148689.0,3.0,3,9,12,1,9,SUCCESS,28239,OPEN,LKdw_hyKTSu7moFuxbmiZw
AIDeepRacer,1628820659119,1,28801.0,28801.0,167964.0,2.0,5,5,10,1,10,SUCCESS,28801,OPEN,pIRbdCx6QYatgVXm2p5GbA
AJM-Model-1,1628820339258,1,29703.0,29703.0,171953.0,4.25,9,8,17,2,11,SUCCESS,29703,OPEN,gdsU9bkGRWW7LTEHP4rGgQ
CGS-LargeLattice,1628821018891,1,31807.0,31807.0,129261.0,9.0,15,3,18,1,12,SUCCESS,31807,OPEN,o6NgljsnTOOelVAsofMR3g
Matt,1628814002783,1,33872.0,33872.0,160320.0,12.0,22,2,24,1,13,SUCCESS,33872,OPEN,cVk-aYKdRUmuL0qmjyzmag
RobinCastro-DBS,1628813719031,1,120699.0,120699.0,120699.0,20.0,19,1,20,1,14,SUCCESS,120699,OPEN,7KrbyQXvTBOxnBa0p9YuUA
dartjason,1628816775765,0,,,,0.0,0,0,0,2,15,SUCCESS,9223372036854775797,OPEN,JSflDq5rQgKEuA5Ots4kDQ
