Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
Ensono-Ernesto,1668422065923,1,19863,19863,171330,0.25,1,1,2,1,1,SUCCESS,19863,OPEN,8zBEAp0-S5yGbcZvytGZGQ
ferrite,1668440267049,1,19994,19994,174669,0.25,1,1,2,1,2,SUCCESS,19994,OPEN,SRAgn9lMTCmIjaBREP7hxA
Joffe,1668435942991,1,20138,20138,163194,0.5714285714285714,1,3,4,1,3,SUCCESS,20138,OPEN,ce17e3bfe82649448e2f3w
JPMC-MUMBAI-FormulaAI,1668438255229,1,20400,20400,172305,1.0,3,4,7,1,4,SUCCESS,20400,OPEN,Gx2StgEoSza3Gxxo4Oghug
S-P-,1668431263588,1,20867,20867,156062,1.3333333333333333,1,7,8,1,5,SUCCESS,20867,OPEN,MxT5p4ZvSTOcc6ANa8VZNg
JPMC-KWGKMY-HongKong,1668397454738,1,20868,20868,169528,1.8333333333333333,4,7,11,1,6,SUCCESS,20868,OPEN,zKdKXknwQVCObGdEgutObQ
TimC,1668437650445,1,22659,22659,176100,1.5714285714285714,2,9,11,1,7,SUCCESS,22659,OPEN,5uT4nmOrSdWr814lPIdrGg
JPMC-HYD-CircuitBreakers,1668392718324,1,23067,23067,156860,0.6666666666666666,3,1,4,1,8,SUCCESS,23067,OPEN,5Z9lAFNASzesOzD7FFfSHw
JPMC-TeamOne-BuenosAires,1668439603990,1,24132,24132,108594,1.5,3,3,6,1,9,SUCCESS,24132,OPEN,Fy8bvUIzSN-N-e3D74JhPw
JPMC-Chetak-Singapore,1668433020482,1,25133,25133,175470,2.0,7,3,10,1,10,SUCCESS,25133,OPEN,LJzDpiNuTFeHu9dsqp1APw
DaVinciDriver,1668426654409,1,27197,27197,146809,1.4,7,0,7,1,11,SUCCESS,27197,OPEN,XtzXYz2pRByDnXz90XNGSw
barkingdog,1668436922577,1,29038,29038,143243,1.75,1,6,7,1,12,SUCCESS,29038,OPEN,b3960b6c6f58458880ceew
Doug-Racer,1668382607399,1,29458,29458,129325,10.5,19,2,21,1,13,SUCCESS,29458,OPEN,1R021ZoDQrqxSUiHfBvyEw
nero-DNPds,1668428776080,1,29732,29732,157455,4.75,6,13,19,1,14,SUCCESS,29732,OPEN,fdqnbHDPSbKcnf8kE5xuMQ
Fumiaki,1668427824699,1,32262,32262,172056,5.5,20,2,22,1,15,SUCCESS,32262,OPEN,5RzBNYRAQoWVausi3eyhRg
Bort,1668424182323,1,160781,160781,160781,26.0,24,2,26,1,16,SUCCESS,160781,OPEN,ja9G8Oc5R82GvO0xrE7OHg
